"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","4.40","4.40","4.42","4.39","149.52K","0.00%"
"10/10/2024","4.40","4.43","4.43","4.39","1.21M","0.00%"
"10/09/2024","4.40","4.43","4.43","4.40","403.34K","-0.20%"
"10/08/2024","4.41","4.42","4.45","4.40","1.17M","0.00%"
"10/07/2024","4.41","4.43","4.43","4.40","1.08M","0.00%"
"10/04/2024","4.41","4.47","4.47","4.41","1.11M","-1.15%"
"10/03/2024","4.46","4.48","4.48","4.45","700.95K","0.00%"
"10/02/2024","4.46","4.49","4.49","4.46","444.60K","-0.66%"
"10/01/2024","4.49","4.50","4.50","4.48","661.23K","0.00%"
"09/30/2024","4.49","4.52","4.52","4.49","558.57K","0.00%"
"09/27/2024","4.49","4.50","4.50","4.49","539.53K","0.00%"
"09/26/2024","4.49","4.50","4.50","4.48","258.75K","0.00%"
"09/25/2024","4.48","4.49","4.50","4.48","834.63K","-0.26%"
"09/24/2024","4.49","4.49","4.50","4.48","400.94K","0.31%"
"09/23/2024","4.48","4.48","4.49","4.47","548.15K","0.00%"
"09/20/2024","4.48","4.49","4.50","4.47","403.61K","0.00%"
"09/19/2024","4.48","4.50","4.50","4.48","355.74K","0.00%"
"09/18/2024","4.49","4.50","4.51","4.49","120.36K","-0.18%"
"09/17/2024","4.50","4.50","4.54","4.49","198.36K","-0.28%"
"09/16/2024","4.51","4.50","4.52","4.50","","0.29%"
"09/13/2024","4.50","4.49","4.51","4.48","108.14K","0.67%"
"09/12/2024","4.47","4.49","4.49","4.46","87.42K","-0.33%"
"09/11/2024","4.48","4.46","4.49","4.46","339.75K","0.45%"
"09/10/2024","4.46","4.48","4.48","4.45","89.00K","0.00%"
"09/09/2024","4.46","4.47","4.48","4.45","2.10M","-0.50%"
"09/06/2024","4.48","4.49","4.49","4.45","570.34K","0.48%"
"09/05/2024","4.46","4.46","4.47","4.45","999.60K","0.42%"
"09/04/2024","4.44","4.45","4.45","4.43","876.49K","0.32%"
"09/03/2024","4.42","4.43","4.43","4.41","287.61K","0.41%"
"09/02/2024","4.41","4.43","4.43","4.40","74.10K","-0.32%"
"08/30/2024","4.42","4.45","4.45","4.42","1.17M","-0.12%"
"08/29/2024","4.43","4.46","4.49","4.42","257.66K","-0.42%"
"08/28/2024","4.44","4.46","4.46","4.43","619.22K","0.19%"
"08/27/2024","4.44","4.50","4.55","4.43","1.81M","0.00%"
"08/26/2024","4.44","4.44","4.44","4.44","225.41K","0.00%"
"08/23/2024","4.44","4.42","4.45","4.41","195.17K","0.59%"
"08/22/2024","4.41","4.42","4.44","4.41","445.53K","-0.52%"
"08/21/2024","4.44","4.42","4.44","4.42","655.60K","0.31%"
"08/20/2024","4.42","4.43","4.43","4.41","89.45K","0.39%"
"08/19/2024","4.41","4.39","4.42","4.39","190.35K","0.43%"
"08/16/2024","4.39","4.38","4.39","4.38","212.63K","0.14%"
"08/15/2024","4.38","4.40","4.41","4.37","204.84K","-0.44%"
"08/14/2024","4.40","4.38","4.41","4.38","336.25K","0.45%"
"08/13/2024","4.38","4.40","4.40","4.37","37.43K","0.29%"
"08/12/2024","4.37","4.38","4.38","4.36","321.41K","0.13%"
"08/09/2024","4.36","4.34","4.40","4.33","1.47M","0.28%"
"08/08/2024","4.35","4.37","4.38","4.35","240.57K","-0.11%"
"08/07/2024","4.36","4.37","4.37","4.36","779.26K","-0.40%"
"08/06/2024","4.37","4.40","4.40","4.35","330.55K","-0.53%"
"08/05/2024","4.40","4.39","4.44","4.39","937.43K","0.23%"
"08/02/2024","4.39","4.35","4.39","4.34","423.43K","1.36%"
"08/01/2024","4.33","4.32","4.34","4.32","232.27K","0.22%"
"07/31/2024","4.32","4.29","4.32","4.29","250.53K","0.76%"
"07/30/2024","4.29","4.29","4.29","4.28","56.24K","-0.16%"
"07/29/2024","4.29","4.30","4.30","4.28","59.05K","0.29%"
"07/26/2024","4.28","4.27","4.29","4.27","115.56K","0.22%"
