Date,AGGG,FXI,HYG,S&P
2024-10-11,4.4,33.37,79.57,5815.03
2024-10-10,4.4,33.22,79.36,5780.05
2024-10-09,4.4,32.79,79.4,5792.04
2024-10-08,4.41,33.33,79.45,5751.13
2024-10-07,4.41,36.69,79.26,5695.94
2024-10-04,4.41,35.71,79.6,5751.07
2024-10-03,4.46,34.5,79.69,5699.94
2024-10-02,4.46,35.48,79.88,5709.54
2024-10-01,4.49,33.1,79.87,5708.75
2024-09-30,4.49,31.78,80.3,5762.48
2024-09-27,4.49,32.17,80.36,5738.17
2024-09-26,4.49,31.92,80.16,5745.37
2024-09-25,4.48,29.56,80.03,5722.26
2024-09-24,4.49,30.4,80.12,5732.93
2024-09-23,4.48,27.68,80.11,5718.57
2024-09-20,4.48,27.15,80.26,5702.55
2024-09-19,4.48,27.13,80.16,5713.64
2024-09-18,4.49,26.19,79.92,5618.26
2024-09-17,4.5,26.34,79.85,5634.58
2024-09-16,4.51,26.01,79.83,5633.09
2024-09-13,4.5,25.86,79.63,5626.02
2024-09-12,4.47,25.71,79.41,5595.76
2024-09-11,4.48,25.72,79.3,5554.13
2024-09-10,4.46,25.46,79.18,5495.52
2024-09-09,4.46,25.52,79.33,5471.05
2024-09-06,4.48,25.5,79.14,5408.42
2024-09-05,4.46,25.85,79.24,5503.41
2024-09-04,4.44,25.98,78.97,5520.07
2024-09-03,4.42,26.0,78.68,5528.93
2024-08-30,4.42,26.46,79.34,5648.4
2024-08-29,4.43,26.33,79.33,5591.96
2024-08-28,4.44,26.14,79.25,5592.18
2024-08-27,4.44,26.56,79.29,5625.8
2024-08-26,4.44,26.27,79.24,5616.84
2024-08-23,4.44,26.48,79.4,5634.61
2024-08-22,4.41,26.07,78.98,5570.64
2024-08-21,4.44,26.27,79.08,5620.85
2024-08-20,4.42,26.0,78.9,5597.12
2024-08-19,4.41,26.6,78.97,5608.25
2024-08-16,4.39,26.36,78.84,5554.25
2024-08-15,4.38,25.84,78.59,5543.22
2024-08-14,4.4,25.32,78.52,5455.21
2024-08-13,4.38,25.8,78.38,5434.43
2024-08-12,4.37,25.65,78.02,5344.39
2024-08-09,4.36,25.45,77.97,5344.16
2024-08-08,4.35,25.49,77.98,5319.31
2024-08-07,4.36,24.89,77.66,5199.5
2024-08-06,4.37,24.78,77.51,5240.03
2024-08-05,4.4,25.03,77.22,5186.33
2024-08-02,4.39,25.2,77.7,5346.56
2024-08-01,4.33,25.32,77.96,5446.68
2024-07-31,4.32,25.68,78.54,5522.3
2024-07-30,4.29,25.33,78.26,5436.44
2024-07-29,4.29,25.56,78.22,5463.54
2024-07-26,4.28,25.52,78.29,5459.1
2024-07-25,4.27,25.39,78.04,5399.22
2024-07-24,4.28,25.7,78.03,5427.13
2024-07-23,4.27,25.99,78.28,5555.74
2024-07-22,4.27,26.36,78.27,5564.41
2024-07-19,4.26,25.82,77.98,5505.0
2024-07-18,4.29,26.01,78.04,5544.59
2024-07-17,4.35,26.25,78.2,5588.27
2024-07-16,4.34,26.61,78.29,5667.2
2024-07-15,4.33,26.61,77.99,5631.22
2024-07-12,4.32,27.22,77.98,5615.35
2024-07-11,4.33,26.94,77.78,5584.54
2024-07-10,4.29,26.38,77.5,5633.91
2024-07-09,4.28,26.5,77.32,5576.98
2024-07-08,4.3,26.23,77.41,5572.85
2024-07-05,4.29,26.44,77.43,5567.19
2024-07-03,4.27,26.9,77.2,5537.02
2024-07-02,4.25,26.43,76.93,5509.01
2024-07-01,4.24,26.08,76.72,5475.09
2024-06-28,4.27,25.99,77.14,5460.48
2024-06-27,4.27,25.89,77.33,5482.87
2024-06-26,4.27,26.52,77.24,5477.9
2024-06-25,4.28,26.51,77.41,5469.3
2024-06-24,4.28,26.72,77.31,5447.87
2024-06-21,4.28,26.42,77.39,5464.62
2024-06-20,4.28,26.88,77.3,5473.17
