sep=;
"Date";"Open(QEURIBOR1MD=)";"High(QEURIBOR1MD=)";"Low(QEURIBOR1MD=)";"Last(QEURIBOR1MD=)"
"13.11.2024";"";"";"";"3,099"
"12.11.2024";"";"";"";"3,088"
"11.11.2024";"";"";"";"3,08"
"08.11.2024";"";"";"";"3,087"
"07.11.2024";"";"";"";"3,095"
"06.11.2024";"";"";"";"3,102"
"05.11.2024";"";"";"";"3,092"
"04.11.2024";"";"";"";"3,128"
"01.11.2024";"";"";"";"3,119"
"31.10.2024";"";"";"";"3,135"
"30.10.2024";"";"";"";"3,13"
"29.10.2024";"";"";"";"3,146"
"28.10.2024";"";"";"";"3,152"
"25.10.2024";"";"";"";"3,127"
"24.10.2024";"";"";"";"3,102"
"23.10.2024";"";"";"";"3,105"
"22.10.2024";"";"";"";"3,131"
"21.10.2024";"";"";"";"3,145"
"18.10.2024";"";"";"";"3,147"
"17.10.2024";"";"";"";"3,174"
"16.10.2024";"";"";"";"3,207"
"15.10.2024";"";"";"";"3,235"
"14.10.2024";"";"";"";"3,258"
"11.10.2024";"";"";"";"3,245"
"10.10.2024";"";"";"";"3,255"
"09.10.2024";"";"";"";"3,256"
"08.10.2024";"";"";"";"3,272"
"07.10.2024";"";"";"";"3,282"
"04.10.2024";"";"";"";"3,27"
"03.10.2024";"";"";"";"3,293"
"02.10.2024";"";"";"";"3,329"
"01.10.2024";"";"";"";"3,33"
"30.09.2024";"";"";"";"3,353"
"27.09.2024";"";"";"";"3,365"
"26.09.2024";"";"";"";"3,378"
"25.09.2024";"";"";"";"3,375"
"24.09.2024";"";"";"";"3,358"
"23.09.2024";"";"";"";"3,346"
"20.09.2024";"";"";"";"3,374"
"19.09.2024";"";"";"";"3,395"
"18.09.2024";"";"";"";"3,398"
"17.09.2024";"";"";"";"3,414"
"16.09.2024";"";"";"";"3,412"
"13.09.2024";"";"";"";"3,405"
"12.09.2024";"";"";"";"3,436"
"11.09.2024";"";"";"";"3,444"
"10.09.2024";"";"";"";"3,489"
"09.09.2024";"";"";"";"3,51"
"06.09.2024";"";"";"";"3,521"
"05.09.2024";"";"";"";"3,542"
"04.09.2024";"";"";"";"3,536"
"03.09.2024";"";"";"";"3,561"
"02.09.2024";"";"";"";"3,588"
"30.08.2024";"";"";"";"3,589"
"29.08.2024";"";"";"";"3,602"
"28.08.2024";"";"";"";"3,592"
"27.08.2024";"";"";"";"3,584"
"26.08.2024";"";"";"";"3,583"
"23.08.2024";"";"";"";"3,595"
"22.08.2024";"";"";"";"3,608"
"21.08.2024";"";"";"";"3,596"
"20.08.2024";"";"";"";"3,587"
"19.08.2024";"";"";"";"3,584"
"16.08.2024";"";"";"";"3,595"
"15.08.2024";"";"";"";"3,599"
"14.08.2024";"";"";"";"3,606"
"13.08.2024";"";"";"";"3,635"
"12.08.2024";"";"";"";"3,625"
"09.08.2024";"";"";"";"3,618"
"08.08.2024";"";"";"";"3,592"
"07.08.2024";"";"";"";"3,594"
"06.08.2024";"";"";"";"3,558"
"05.08.2024";"";"";"";"3,569"
"02.08.2024";"";"";"";"3,611"
"01.08.2024";"";"";"";"3,606"
"31.07.2024";"";"";"";"3,63"
"30.07.2024";"";"";"";"3,611"
"29.07.2024";"";"";"";"3,596"
"26.07.2024";"";"";"";"3,621"
"25.07.2024";"";"";"";"3,604"
"24.07.2024";"";"";"";"3,598"
"23.07.2024";"";"";"";"3,618"
"22.07.2024";"";"";"";"3,63"
"19.07.2024";"";"";"";"3,626"
"18.07.2024";"";"";"";"3,633"
"17.07.2024";"";"";"";"3,601"
"16.07.2024";"";"";"";"3,583"
"15.07.2024";"";"";"";"3,572"
"12.07.2024";"";"";"";"3,625"
"11.07.2024";"";"";"";"3,611"
"10.07.2024";"";"";"";"3,598"
"09.07.2024";"";"";"";"3,615"
"08.07.2024";"";"";"";"3,628"
"05.07.2024";"";"";"";"3,635"
"04.07.2024";"";"";"";"3,624"
"03.07.2024";"";"";"";"3,635"
"02.07.2024";"";"";"";"3,654"
"01.07.2024";"";"";"";"3,655"
"28.06.2024";"";"";"";"3,632"
"27.06.2024";"";"";"";"3,664"
"26.06.2024";"";"";"";"3,646"
"25.06.2024";"";"";"";"3,642"
"24.06.2024";"";"";"";"3,622"
"21.06.2024";"";"";"";"3,6"
"20.06.2024";"";"";"";"3,598"
"19.06.2024";"";"";"";"3,608"
"18.06.2024";"";"";"";"3,606"
"17.06.2024";"";"";"";"3,602"
"14.06.2024";"";"";"";"3,579"
"13.06.2024";"";"";"";"3,599"
"12.06.2024";"";"";"";"3,63"
"11.06.2024";"";"";"";"3,613"
"10.06.2024";"";"";"";"3,654"
"07.06.2024";"";"";"";"3,679"
"06.06.2024";"";"";"";"3,688"
"05.06.2024";"";"";"";"3,676"
"04.06.2024";"";"";"";"3,666"
"03.06.2024";"";"";"";"3,69"
"31.05.2024";"";"";"";"3,717"
"30.05.2024";"";"";"";"3,75"
"29.05.2024";"";"";"";"3,772"
"28.05.2024";"";"";"";"3,764"
"27.05.2024";"";"";"";"3,792"
"24.05.2024";"";"";"";"3,792"
"23.05.2024";"";"";"";"3,805"
"22.05.2024";"";"";"";"3,797"
"21.05.2024";"";"";"";"3,785"
"20.05.2024";"";"";"";"3,807"
"17.05.2024";"";"";"";"3,799"
"16.05.2024";"";"";"";"3,817"
"15.05.2024";"";"";"";"3,83"
"14.05.2024";"";"";"";"3,838"
"13.05.2024";"";"";"";"3,828"
"10.05.2024";"";"";"";"3,856"
"09.05.2024";"";"";"";"3,862"
"08.05.2024";"";"";"";"3,87"
"07.05.2024";"";"";"";"3,875"
"06.05.2024";"";"";"";"3,852"
"03.05.2024";"";"";"";"3,865"
"02.05.2024";"";"";"";"3,877"
"30.04.2024";"";"";"";"3,873"
"29.04.2024";"";"";"";"3,858"
"26.04.2024";"";"";"";"3,848"
"25.04.2024";"";"";"";"3,862"
"24.04.2024";"";"";"";"3,852"
"23.04.2024";"";"";"";"3,815"
"22.04.2024";"";"";"";"3,819"
"19.04.2024";"";"";"";"3,837"
"18.04.2024";"";"";"";"3,855"
"17.04.2024";"";"";"";"3,828"
"16.04.2024";"";"";"";"3,855"
"15.04.2024";"";"";"";"3,846"
"12.04.2024";"";"";"";"3,836"
"11.04.2024";"";"";"";"3,879"
"10.04.2024";"";"";"";"3,854"
"09.04.2024";"";"";"";"3,837"
"08.04.2024";"";"";"";"3,877"
"05.04.2024";"";"";"";"3,888"
"04.04.2024";"";"";"";"3,877"
"03.04.2024";"";"";"";"3,852"
"02.04.2024";"";"";"";"3,855"
"28.03.2024";"";"";"";"3,855"
"27.03.2024";"";"";"";"3,835"
"26.03.2024";"";"";"";"3,83"
"25.03.2024";"";"";"";"3,842"
"22.03.2024";"";"";"";"3,853"
"21.03.2024";"";"";"";"3,848"
"20.03.2024";"";"";"";"3,862"
"19.03.2024";"";"";"";"3,862"
"18.03.2024";"";"";"";"3,855"
"15.03.2024";"";"";"";"3,862"
"14.03.2024";"";"";"";"3,843"
"13.03.2024";"";"";"";"3,859"
"12.03.2024";"";"";"";"3,847"
"11.03.2024";"";"";"";"3,871"
"08.03.2024";"";"";"";"3,878"
"07.03.2024";"";"";"";"3,868"
"06.03.2024";"";"";"";"3,865"
"05.03.2024";"";"";"";"3,868"
"04.03.2024";"";"";"";"3,839"
