sep=;
"Date";"Line(Q.MERER00)"
"08.11.2024";"305,046"
"07.11.2024";"304,496"
"06.11.2024";"304,699"
"05.11.2024";"303,59"
"04.11.2024";"303,847"
"01.11.2024";"304,051"
"31.10.2024";"303,247"
"30.10.2024";"303,94"
"29.10.2024";"304,783"
"28.10.2024";"305,365"
"25.10.2024";"305,189"
"24.10.2024";"305,691"
"23.10.2024";"304,752"
"22.10.2024";"304,622"
"21.10.2024";"304,92"
"18.10.2024";"305,941"
"17.10.2024";"305,335"
"16.10.2024";"305,199"
"15.10.2024";"304,617"
"14.10.2024";"303,855"
"11.10.2024";"303,693"
"10.10.2024";"303,712"
"09.10.2024";"303,688"
"08.10.2024";"303,689"
"07.10.2024";"303,69"
"04.10.2024";"304,032"
"03.10.2024";"304,778"
"02.10.2024";"304,948"
"01.10.2024";"305,551"
"30.09.2024";"304,459"
"27.09.2024";"304,262"
"26.09.2024";"303,89"
"25.09.2024";"303,648"
"24.09.2024";"304,238"
"23.09.2024";"303,607"
"20.09.2024";"302,824"
"19.09.2024";"303,203"
"18.09.2024";"302,526"
"17.09.2024";"302,974"
"16.09.2024";"303,106"
"13.09.2024";"302,568"
"12.09.2024";"302,398"
"11.09.2024";"303,048"
"10.09.2024";"302,741"
"09.09.2024";"302,593"
"06.09.2024";"302,43"
"05.09.2024";"301,705"
"04.09.2024";"301,569"
"03.09.2024";"300,911"
"02.09.2024";"300,201"
"31.08.2024";"300,785"
"30.08.2024";"300,765"
"29.08.2024";"300,786"
"28.08.2024";"300,82"
"27.08.2024";"300,603"
"26.08.2024";"300,937"
"23.08.2024";"301,135"
"22.08.2024";"300,751"
"21.08.2024";"301,191"
"20.08.2024";"300,881"
"19.08.2024";"300,325"
"16.08.2024";"300,29"
"15.08.2024";"299,936"
"14.08.2024";"300,785"
"13.08.2024";"300,728"
"12.08.2024";"300,018"
"09.08.2024";"300,148"
"08.08.2024";"299,688"
"07.08.2024";"299,593"
"06.08.2024";"300,017"
"05.08.2024";"299,853"
"02.08.2024";"300,955"
"01.08.2024";"300,628"
"31.07.2024";"299,882"
"30.07.2024";"299,427"
"29.07.2024";"299,03"
"26.07.2024";"298,567"
"25.07.2024";"298,341"
"24.07.2024";"298,07"
"23.07.2024";"297,802"
"22.07.2024";"297,202"
"19.07.2024";"297,372"
"18.07.2024";"297,858"
"17.07.2024";"297,449"
"16.07.2024";"297,417"
"15.07.2024";"297,09"
"12.07.2024";"296,762"
"11.07.2024";"297,166"
"10.07.2024";"296,159"
"09.07.2024";"295,767"
"08.07.2024";"296,197"
"05.07.2024";"295,84"
"04.07.2024";"295,101"
"03.07.2024";"295,375"
"02.07.2024";"294,443"
"01.07.2024";"294,213"
"30.06.2024";"294,842"
"28.06.2024";"294,803"
"27.06.2024";"295,008"
"26.06.2024";"294,87"
"25.06.2024";"295,242"
"24.06.2024";"294,941"
"21.06.2024";"295,122"
"20.06.2024";"294,659"
"19.06.2024";"294,961"
"18.06.2024";"294,925"
"17.06.2024";"294,526"
"14.06.2024";"295,46"
"13.06.2024";"294,464"
"12.06.2024";"294,255"
"11.06.2024";"293,153"
"10.06.2024";"292,646"
"07.06.2024";"293,171"
"06.06.2024";"294,041"
"05.06.2024";"294,573"
"04.06.2024";"294,331"
"03.06.2024";"293,768"
"31.05.2024";"292,655"
"30.05.2024";"292,48"
"29.05.2024";"292,333"
"28.05.2024";"293,245"
"27.05.2024";"293,443"
"24.05.2024";"292,93"
"23.05.2024";"292,625"
"22.05.2024";"293,548"
"21.05.2024";"293,843"
"20.05.2024";"293,42"
"17.05.2024";"293,585"
"16.05.2024";"294,401"
"15.05.2024";"294,558"
"14.05.2024";"293,197"
"13.05.2024";"293,65"
"10.05.2024";"293,413"
"09.05.2024";"293,703"
"08.05.2024";"293,947"
"07.05.2024";"294,312"
"06.05.2024";"293,699"
"03.05.2024";"293,256"
"02.05.2024";"292,416"
"01.05.2024";"291,962"
"30.04.2024";"291,966"
"29.04.2024";"292,807"
"26.04.2024";"292,066"
"25.04.2024";"291,462"
"24.04.2024";"292,057"
"23.04.2024";"292,917"
"22.04.2024";"292,793"
"19.04.2024";"292,156"
"18.04.2024";"292,498"
"17.04.2024";"292,656"
"16.04.2024";"292,237"
"15.04.2024";"293,368"
"12.04.2024";"294,47"
"11.04.2024";"293,217"
"10.04.2024";"293,798"
"09.04.2024";"294,577"
"08.04.2024";"293,803"
"05.04.2024";"294,142"
"04.04.2024";"294,61"
"03.04.2024";"293,796"
"02.04.2024";"293,655"
"01.04.2024";"294,435"
"31.03.2024";"294,439"
"28.03.2024";"294,384"
"27.03.2024";"294,206"
"26.03.2024";"293,406"
"25.03.2024";"293,195"
"22.03.2024";"293,772"
"21.03.2024";"292,994"
"20.03.2024";"292,339"
"19.03.2024";"292,425"
"18.03.2024";"292,133"
"15.03.2024";"292,214"
"14.03.2024";"292,481"
"13.03.2024";"293,071"
"12.03.2024";"293"
"11.03.2024";"293,151"
"08.03.2024";"293,421"
"07.03.2024";"292,514"
"06.03.2024";"291,897"
"05.03.2024";"292,137"
"04.03.2024";"291,209"
"01.03.2024";"291,138"
"29.02.2024";"290,909"
"28.02.2024";"290,448"
"27.02.2024";"290,776"
"26.02.2024";"291,112"
"23.02.2024";"291,579"
"22.02.2024";"290,864"
"21.02.2024";"290,693"
"20.02.2024";"291,304"
"19.02.2024";"290,718"
"16.02.2024";"290,582"
"15.02.2024";"291,182"
"14.02.2024";"290,878"
"13.02.2024";"290,325"
"12.02.2024";"290,721"
"09.02.2024";"290,418"
"08.02.2024";"290,789"
"07.02.2024";"291,482"
"06.02.2024";"291,494"
"05.02.2024";"291,188"
"02.02.2024";"292,141"
"01.02.2024";"293,513"
"31.01.2024";"293,517"
"30.01.2024";"292,145"
"29.01.2024";"292,603"
"26.01.2024";"291,651"
"25.01.2024";"291,519"
"24.01.2024";"290,513"
"23.01.2024";"290,378"
"22.01.2024";"290,722"
"19.01.2024";"289,951"
"18.01.2024";"289,858"
"17.01.2024";"289,66"
"16.01.2024";"290,804"
"15.01.2024";"291,099"
"12.01.2024";"291,554"
"11.01.2024";"290,613"
"10.01.2024";"290,237"
"09.01.2024";"290,343"
"08.01.2024";"290,737"
"05.01.2024";"290,686"
"04.01.2024";"291,12"
"03.01.2024";"292,161"
"02.01.2024";"292,711"
"31.12.2023";"293,262"
"29.12.2023";"293,227"
"28.12.2023";"294,008"
"27.12.2023";"294,082"
"26.12.2023";"293,463"
"22.12.2023";"293,404"
"21.12.2023";"293,211"
"20.12.2023";"292,849"
"19.12.2023";"292,29"
"18.12.2023";"291,696"
"15.12.2023";"292,155"
"14.12.2023";"291,049"
"13.12.2023";"289,243"
"12.12.2023";"288,477"
"11.12.2023";"288,18"
"08.12.2023";"288,126"
"07.12.2023";"289,076"
"06.12.2023";"288,889"
"05.12.2023";"288,43"
"04.12.2023";"287,397"
"01.12.2023";"286,8"
"30.11.2023";"285,39"
