sep=;
"Date";"Line(Q.MERG0BC)"
"08.11.2024";"337,836"
"07.11.2024";"336,886"
"06.11.2024";"335,26"
"05.11.2024";"336,404"
"04.11.2024";"336,103"
"01.11.2024";"333,812"
"31.10.2024";"335,84"
"30.10.2024";"336,28"
"29.10.2024";"336,574"
"28.10.2024";"336,608"
"25.10.2024";"336,836"
"24.10.2024";"337,319"
"23.10.2024";"336,593"
"22.10.2024";"337,043"
"21.10.2024";"337,373"
"18.10.2024";"339,392"
"17.10.2024";"339,184"
"16.10.2024";"340,225"
"15.10.2024";"339,548"
"14.10.2024";"338,354"
"11.10.2024";"338,225"
"10.10.2024";"338,194"
"09.10.2024";"338,151"
"08.10.2024";"338,594"
"07.10.2024";"338,479"
"04.10.2024";"339,222"
"03.10.2024";"340,933"
"02.10.2024";"341,734"
"01.10.2024";"342,404"
"30.09.2024";"341,387"
"27.09.2024";"341,756"
"26.09.2024";"340,966"
"25.09.2024";"341,016"
"24.09.2024";"342,009"
"23.09.2024";"341,504"
"20.09.2024";"341,244"
"19.09.2024";"341,518"
"18.09.2024";"341,053"
"17.09.2024";"341,934"
"16.09.2024";"342,131"
"13.09.2024";"341,091"
"12.09.2024";"340,432"
"11.09.2024";"340,761"
"10.09.2024";"340,766"
"09.09.2024";"340,063"
"06.09.2024";"339,659"
"05.09.2024";"339,145"
"04.09.2024";"338,591"
"03.09.2024";"337,322"
"02.09.2024";"336,158"
"31.08.2024";"336,303"
"30.08.2024";"336,287"
"29.08.2024";"336,912"
"28.08.2024";"337,237"
"27.08.2024";"337,35"
"26.08.2024";"337,534"
"23.08.2024";"337,651"
"22.08.2024";"336,563"
"21.08.2024";"337,545"
"20.08.2024";"337,085"
"19.08.2024";"336,246"
"16.08.2024";"335,772"
"15.08.2024";"335,242"
"14.08.2024";"336,082"
"13.08.2024";"335,308"
"12.08.2024";"334,156"
"09.08.2024";"333,681"
"08.08.2024";"332,715"
"07.08.2024";"332,979"
"06.08.2024";"333,616"
"05.08.2024";"334,802"
"02.08.2024";"335,728"
"01.08.2024";"333,477"
"31.07.2024";"332,559"
"30.07.2024";"331,212"
"29.07.2024";"330,832"
"26.07.2024";"330,223"
"25.07.2024";"329,294"
"24.07.2024";"328,814"
"23.07.2024";"329,479"
"22.07.2024";"329,295"
"19.07.2024";"329,491"
"18.07.2024";"330,233"
"17.07.2024";"330,667"
"16.07.2024";"330,623"
"15.07.2024";"329,649"
"12.07.2024";"330,03"
"11.07.2024";"329,623"
"10.07.2024";"328,205"
"09.07.2024";"327,868"
"08.07.2024";"328,305"
"05.07.2024";"327,934"
