sep=;
"Date";"Line(Q.MERHE00)"
"08.11.2024";"369,934"
"07.11.2024";"369,756"
"06.11.2024";"369,846"
"05.11.2024";"369,253"
"04.11.2024";"369,322"
"01.11.2024";"369,228"
"31.10.2024";"369,242"
"30.10.2024";"369,589"
"29.10.2024";"369,578"
"28.10.2024";"369,447"
"25.10.2024";"369,134"
"24.10.2024";"369,094"
"23.10.2024";"368,878"
"22.10.2024";"368,809"
"21.10.2024";"369,152"
"18.10.2024";"369,031"
"17.10.2024";"368,821"
"16.10.2024";"368,243"
"15.10.2024";"368,131"
"14.10.2024";"367,842"
"11.10.2024";"367,349"
"10.10.2024";"367,125"
"09.10.2024";"367,052"
"08.10.2024";"366,98"
"07.10.2024";"367,103"
"04.10.2024";"367,238"
"03.10.2024";"367,314"
"02.10.2024";"367,32"
"01.10.2024";"367,283"
"30.09.2024";"366,995"
"27.09.2024";"366,929"
"26.09.2024";"366,708"
"25.09.2024";"366,433"
"24.09.2024";"366,451"
"23.09.2024";"365,957"
"20.09.2024";"365,73"
"19.09.2024";"365,7"
"18.09.2024";"364,745"
"17.09.2024";"364,635"
"16.09.2024";"364,204"
"13.09.2024";"363,831"
"12.09.2024";"363,441"
"11.09.2024";"363,003"
"10.09.2024";"363,554"
"09.09.2024";"363,552"
"06.09.2024";"363,314"
"05.09.2024";"363,124"
"04.09.2024";"362,92"
"03.09.2024";"363,316"
"02.09.2024";"363,371"
"31.08.2024";"363,248"
"30.08.2024";"363,202"
"29.08.2024";"362,936"
"28.08.2024";"362,6"
"27.08.2024";"362,219"
"26.08.2024";"361,659"
"23.08.2024";"361,717"
"22.08.2024";"361,491"
"21.08.2024";"361,344"
"20.08.2024";"361,134"
"19.08.2024";"360,953"
"16.08.2024";"360,637"
"15.08.2024";"360,144"
"14.08.2024";"359,85"
"13.08.2024";"359,452"
"12.08.2024";"359,184"
"09.08.2024";"358,766"
"08.08.2024";"358,395"
"07.08.2024";"358,303"
"06.08.2024";"357,216"
"05.08.2024";"356,69"
"02.08.2024";"358,497"
"01.08.2024";"359,309"
"31.07.2024";"359,065"
"30.07.2024";"358,634"
"29.07.2024";"358,305"
"26.07.2024";"358,043"
"25.07.2024";"357,951"
"24.07.2024";"358,191"
"23.07.2024";"358,033"
"22.07.2024";"357,774"
"19.07.2024";"357,54"
"18.07.2024";"357,555"
"17.07.2024";"357,429"
"16.07.2024";"357,389"
"15.07.2024";"357,235"
"12.07.2024";"357,075"
"11.07.2024";"356,865"
"10.07.2024";"356,5"
"09.07.2024";"356,444"
"08.07.2024";"356,41"
"05.07.2024";"355,998"
"04.07.2024";"355,753"
"03.07.2024";"355,521"
"02.07.2024";"355,104"
"01.07.2024";"355,152"
"30.06.2024";"354,644"
"28.06.2024";"354,554"
"27.06.2024";"354,62"
"26.06.2024";"354,705"
"25.06.2024";"354,652"
"24.06.2024";"354,518"
"21.06.2024";"354,403"
"20.06.2024";"354,341"
"19.06.2024";"354,161"
"18.06.2024";"353,882"
"17.06.2024";"353,292"
"14.06.2024";"353,703"
"13.06.2024";"354,507"
"12.06.2024";"354,561"
"11.06.2024";"354,089"
"10.06.2024";"354,256"
"07.06.2024";"354,555"
"06.06.2024";"354,632"
"05.06.2024";"354,323"
"04.06.2024";"354,105"
"03.06.2024";"353,927"
"31.05.2024";"352,738"
"30.05.2024";"352,734"
"29.05.2024";"352,748"
"28.05.2024";"353,006"
"27.05.2024";"352,613"
"24.05.2024";"352,55"
"23.05.2024";"352,687"
"22.05.2024";"352,702"
"21.05.2024";"352,651"
"20.05.2024";"352,48"
"17.05.2024";"352,287"
"16.05.2024";"352,301"
