sep=,
Date,Line(Q.MIWO00000PUS)
08.11.2024,3791
07.11.2024,3787
06.11.2024,3752
05.11.2024,3693
04.11.2024,3656
01.11.2024,3660
31.10.2024,3647
30.10.2024,3706
29.10.2024,3718
28.10.2024,3717
25.10.2024,3706
24.10.2024,3707
23.10.2024,3698
22.10.2024,3731
21.10.2024,3740
18.10.2024,3753
17.10.2024,3738
16.10.2024,3735
15.10.2024,3728
14.10.2024,3753
11.10.2024,3732
10.10.2024,3711
09.10.2024,3716
08.10.2024,3694
07.10.2024,3679
04.10.2024,3698
03.10.2024,3676
02.10.2024,3686
01.10.2024,3694
30.09.2024,3723
27.09.2024,3727
26.09.2024,3721
25.09.2024,3696
24.09.2024,3702
23.09.2024,3688
20.09.2024,3677
19.09.2024,3690
18.09.2024,3630
17.09.2024,3641
16.09.2024,3641
13.09.2024,3635
12.09.2024,3611
11.09.2024,3579
10.09.2024,3552
09.09.2024,3546
06.09.2024,3519
05.09.2024,3567
04.09.2024,3580
03.09.2024,3595
02.09.2024,3659
30.08.2024,3661
29.08.2024,3632
28.08.2024,3631
27.08.2024,3647
26.08.2024,3642
23.08.2024,3650
22.08.2024,3608
21.08.2024,3631
20.08.2024,3616
19.08.2024,3618
16.08.2024,3584
15.08.2024,3568
14.08.2024,3522
13.08.2024,3502
12.08.2024,3446
09.08.2024,3448
08.08.2024,3428
07.08.2024,3372
06.08.2024,3381
05.08.2024,3343
02.08.2024,3449
01.08.2024,3518
31.07.2024,3572
30.07.2024,3514
29.07.2024,3527
26.07.2024,3524
25.07.2024,3491
24.07.2024,3516
23.07.2024,3581
22.07.2024,3585
19.07.2024,3554
18.07.2024,3580
17.07.2024,3608
16.07.2024,3643
15.07.2024,3630
12.07.2024,3628
11.07.2024,3606
10.07.2024,3614
09.07.2024,3579
08.07.2024,3583
05.07.2024,3581
04.07.2024,3569
03.07.2024,3562
02.07.2024,3538
01.07.2024,3520
28.06.2024,3512
27.06.2024,3522
26.06.2024,3520
