"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","33.37","32.67","33.65","32.50","80.11M","0.45%"
"10/10/2024","33.22","33.41","33.57","32.72","101.47M","1.31%"
"10/09/2024","32.79","32.22","33.13","32.18","100.52M","-1.62%"
"10/08/2024","33.33","33.38","33.81","32.27","322.81M","-9.16%"
"10/07/2024","36.69","36.54","37.50","36.02","218.99M","2.74%"
"10/04/2024","35.71","35.59","35.82","35.32","107.08M","3.51%"
"10/03/2024","34.50","34.16","34.95","34.10","113.21M","-2.76%"
"10/02/2024","35.48","35.11","35.55","34.45","222.09M","7.19%"
"10/01/2024","33.10","32.00","33.13","31.80","96.80M","4.15%"
"09/30/2024","31.78","32.78","32.81","31.75","98.53M","-1.21%"
"09/27/2024","32.17","31.74","32.44","31.70","100.74M","0.78%"
"09/26/2024","31.92","31.86","32.09","31.26","165.22M","7.98%"
"09/25/2024","29.56","29.44","29.89","29.42","77.31M","-2.76%"
"09/24/2024","30.40","29.40","30.50","29.28","167.71M","9.83%"
"09/23/2024","27.68","27.50","27.89","27.47","44.18M","1.95%"
"09/20/2024","27.15","27.28","27.36","27.11","29.82M","0.07%"
"09/19/2024","27.13","26.97","27.17","26.77","55.03M","3.59%"
"09/18/2024","26.19","26.45","26.47","26.16","24.63M","-0.57%"
"09/17/2024","26.34","26.33","26.52","26.30","29.94M","1.27%"
"09/16/2024","26.01","26.02","26.08","25.96","18.26M","0.58%"
"09/13/2024","25.86","25.93","25.94","25.76","20.13M","0.58%"
"09/12/2024","25.71","25.68","25.78","25.55","19.72M","-0.04%"
"09/11/2024","25.72","25.51","25.74","25.41","31.30M","1.02%"
"09/10/2024","25.46","25.53","25.54","25.29","20.72M","-0.24%"
"09/09/2024","25.52","25.41","25.61","25.36","23.50M","0.08%"
"09/06/2024","25.50","25.82","25.85","25.45","32.99M","-1.35%"
"09/05/2024","25.85","25.89","26.02","25.82","22.75M","-0.50%"
"09/04/2024","25.98","26.00","26.13","25.96","19.39M","-0.08%"
"09/03/2024","26.00","26.04","26.11","25.92","36.86M","-1.74%"
"08/30/2024","26.46","26.62","26.63","26.30","27.29M","0.49%"
"08/29/2024","26.33","26.30","26.39","26.27","22.19M","0.73%"
"08/28/2024","26.14","26.31","26.43","26.07","40.47M","-1.58%"
"08/27/2024","26.56","26.62","26.68","26.49","24.45M","1.10%"
"08/26/2024","26.27","26.23","26.37","26.15","29.55M","-0.79%"
"08/23/2024","26.48","26.31","26.57","26.24","29.29M","1.57%"
"08/22/2024","26.07","26.36","26.36","25.96","34.90M","-0.76%"
"08/21/2024","26.27","26.01","26.29","26.01","25.55M","1.04%"
"08/20/2024","26.00","26.34","26.34","25.97","42.30M","-2.26%"
