"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","79.57","79.34","79.59","79.34","26.97M","0.26%"
"10/10/2024","79.36","79.40","79.40","79.25","30.09M","-0.05%"
"10/09/2024","79.40","79.44","79.48","79.34","42.43M","-0.06%"
"10/08/2024","79.45","79.37","79.46","79.30","40.95M","0.24%"
"10/07/2024","79.26","79.54","79.54","79.25","69.20M","-0.43%"
"10/04/2024","79.60","79.68","79.71","79.54","40.12M","-0.11%"
"10/03/2024","79.69","79.78","79.81","79.63","31.15M","-0.24%"
"10/02/2024","79.88","79.78","79.88","79.69","41.21M","0.01%"
"10/01/2024","79.87","79.99","80.00","79.79","45.99M","-0.54%"
"09/30/2024","80.30","80.33","80.37","80.18","33.01M","-0.07%"
"09/27/2024","80.36","80.22","80.37","80.20","36.71M","0.25%"
"09/26/2024","80.16","80.19","80.19","80.02","32.73M","0.16%"
"09/25/2024","80.03","80.08","80.11","80.02","28.90M","-0.11%"
"09/24/2024","80.12","80.12","80.18","80.00","28.67M","0.01%"
"09/23/2024","80.11","80.19","80.21","80.08","29.05M","-0.19%"
"09/20/2024","80.26","80.16","80.26","80.00","43.63M","0.12%"
"09/19/2024","80.16","80.29","80.33","80.09","48.79M","0.30%"
"09/18/2024","79.92","79.88","80.28","79.79","39.55M","0.09%"
"09/17/2024","79.85","79.90","79.94","79.79","27.42M","0.03%"
"09/16/2024","79.83","79.66","79.90","79.64","31.40M","0.25%"
"09/13/2024","79.63","79.52","79.68","79.50","31.81M","0.28%"
"09/12/2024","79.41","79.25","79.49","79.21","28.51M","0.14%"
"09/11/2024","79.30","79.09","79.31","78.97","42.34M","0.15%"
"09/10/2024","79.18","79.34","79.37","79.10","38.35M","-0.19%"
"09/09/2024","79.33","79.27","79.38","79.16","24.82M","0.24%"
"09/06/2024","79.14","79.27","79.38","78.99","49.89M","-0.13%"
"09/05/2024","79.24","79.11","79.28","79.05","44.39M","0.34%"
"09/04/2024","78.97","78.66","79.05","78.66","32.37M","0.37%"
"09/03/2024","78.68","78.88","78.96","78.65","31.60M","-0.83%"
"08/30/2024","79.34","79.42","79.42","79.24","27.63M","0.01%"
"08/29/2024","79.33","79.33","79.36","79.23","18.35M","0.10%"
"08/28/2024","79.25","79.31","79.32","79.18","22.35M","-0.05%"
"08/27/2024","79.29","79.15","79.37","79.11","22.78M","0.06%"
"08/26/2024","79.24","79.39","79.43","79.23","20.46M","-0.20%"
"08/23/2024","79.40","79.18","79.40","79.08","32.59M","0.53%"
"08/22/2024","78.98","79.08","79.09","78.89","29.29M","-0.13%"
"08/21/2024","79.08","78.98","79.11","78.90","34.27M","0.23%"
"08/20/2024","78.90","79.01","79.03","78.77","33.19M","-0.09%"
"08/19/2024","78.97","78.81","79.00","78.75","29.60M","0.16%"
"08/16/2024","78.84","78.55","78.88","78.54","33.68M","0.32%"
"08/15/2024","78.59","78.56","78.62","78.45","39.41M","0.09%"
"08/14/2024","78.52","78.36","78.55","78.30","36.09M","0.18%"
"08/13/2024","78.38","78.11","78.39","78.09","37.31M","0.46%"
"08/12/2024","78.02","78.04","78.04","77.87","33.88M","0.06%"
