Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,119.41,-0.00100393206726349,119.32,118.95,119.595,653784,78022416.0
2024-10-09,119.53,0.00411626344086017,118.7,118.61,119.64,1163028,138805055.0
2024-10-08,119.04,0.00261096605744127,118.72,118.54,119.14,1346099,159973099.0
2024-10-07,118.73,-0.00627720120522263,119.35,118.395,119.38,2220201,263942542.0
2024-10-04,119.48,0.00844024307900067,119.24,118.63,119.575,907360,108049421.0
2024-10-03,118.48,-0.00495506844713185,118.46,118.13,118.87,1287768,152523958.0
2024-10-02,119.07,0.00235710076605764,118.7,118.31,119.19,5192665,618088692.0
2024-10-01,118.79,-0.00635717273107479,119.45,118.17,119.58,2631129,312030172.0
2024-09-30,119.55,-8.36400133824449e-05,119.43,118.63,119.635,3410483,407042634.0
2024-09-27,119.56,-0.00233644859813085,119.99,119.35,120.235,1619180,193918425.0
2024-09-26,119.84,0.0111373607829903,119.91,119.415,120.19,1331668,159571427.0
2024-09-25,118.52,-0.00420097462611326,119.01,118.42,119.11,2631249,312189184.0
2024-09-24,119.02,0.00685221216479149,118.73,118.2601,119.06,1765889,209735620.0
2024-09-23,118.21,0.00382133152173903,118.165,117.9401,118.36,1127110,133191943.0
2024-09-20,117.76,-0.00397530237672333,117.85,117.28,118.0,2584019,303613748.0
2024-09-19,118.23,0.0178202479338844,118.19,117.55,118.5726,2830679,334575519.0
2024-09-18,116.16,-0.00283286118980169,116.55,116.03,117.6,1133562,132111687.0
2024-09-17,116.49,-0.00102907126318501,116.96,116.08,117.13,1563862,182464481.0
2024-09-16,116.61,0.00344204457447729,116.33,115.95,116.665,3171767,369005980.0
2024-09-13,116.21,0.00501599930813801,115.91,115.77,116.39,1015090,117929943.0
2024-09-12,115.63,0.00872371979412021,114.82,114.4,115.705,1991333,229923483.0
2024-09-11,114.63,0.00880049282759835,113.61,112.07,114.815,2528123,288636957.0
2024-09-10,113.63,0.00141006433418522,113.68,112.635,113.71,1075782,121936860.0
2024-09-09,113.47,0.0103285548927077,113.24,112.89,113.79,1101549,124888623.0
2024-09-06,112.31,-0.016980306345733,114.25,112.12,114.5699,1865682,210555689.0
2024-09-05,114.25,-0.00122388320657401,114.41,113.79,114.93,1311853,149888126.0
