Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,37.05,0.00297780184082294,36.94,36.86,37.07,74923,2773139.0
2024-10-09,36.94,-0.00725611394786356,36.74,36.57,36.96,80326,2963918.0
2024-10-08,37.21,-0.0197576396206533,37.72,37.0001,37.72,89898,3342783.0
2024-10-07,37.96,0.0106496272630458,37.84,37.7374,38.15,75711,2869530.0
2024-10-04,37.56,0.0,37.51,37.43,37.75,115484,4335736.0
2024-10-03,37.56,-0.0105374077976817,37.55,37.41,37.71,49201,1847783.0
2024-10-02,37.96,0.00479634080489597,37.85,37.825,38.06,175954,6673985.0
2024-10-01,37.7788,0.00288823997876281,37.77,37.44,37.8,35175,1324638.0
2024-09-30,37.67,-0.00852766226246244,37.84,37.54,37.84,61098,2302307.0
2024-09-27,37.994,-0.00876597965040435,38.11,37.8878,38.2899,100377,3820438.0
2024-09-26,38.33,0.0180610889774236,38.52,38.17,38.96,100173,3841550.0
2024-09-25,37.65,-0.00868878357030011,39.16,37.65,39.23,87583,3321929.0
2024-09-24,37.98,0.0253779697624189,37.8,37.69,38.085,289454,10943683.0
2024-09-23,37.04,-0.0109505715605566,37.01,37.0,37.1888,53807,1997071.0
2024-09-20,37.4501,-0.00319137609795053,37.57,36.5394,37.8599,24011,900669.0
2024-09-19,37.57,0.0115778136779752,37.44,37.36,37.6388,27301,1024235.0
2024-09-18,37.14,0.0018883193957378,37.13,37.0134,37.41,25980,966516.0
2024-09-17,37.07,0.00351922035733629,37.04,36.9576,37.1699,96999,3594232.0
2024-09-16,36.94,0.00489662676822633,36.92,36.85,36.95,26234,968512.0
2024-09-13,36.76,0.00795174115711541,36.72,36.72,37.025,16288,600163.0
2024-09-12,36.47,0.00137287204832502,36.34,36.2801,36.58,39492,1438409.0
2024-09-11,36.42,0.0,36.17,35.92,36.43,45309,1640149.0
2024-09-10,36.42,0.0,36.32,36.21,36.5499,41398,1505176.0
2024-09-09,36.42,-0.000823045267489743,36.39,36.28,36.49,56660,2063673.0
2024-09-06,36.45,-0.00382618201694454,36.78,36.3314,36.78,47875,1746848.0
2024-09-05,36.59,0.00715661987338302,36.45,36.45,36.707,74437,2722677.0
2024-09-04,36.33,0.00137816979051811,36.24,36.0901,36.45,55690,2023312.0
2024-09-03,36.28,-0.00765864332603942,36.33,36.1701,36.4375,69886,2534465.0
2024-08-30,36.56,-0.000819896146488143,36.51,36.36,36.61,26702,974636.0
2024-08-29,36.59,-0.00354030501089312,36.6,36.4601,36.6599,40364,1476576.0
2024-08-28,36.72,-0.00217391304347821,36.57,36.52,36.76,26110,957555.0
2024-08-27,36.8,0.00108813928182805,36.7,36.7,36.88,33711,1240047.0
2024-08-26,36.76,0.00163487738419605,36.67,36.6301,36.84,84822,3116975.0
2024-08-23,36.7,0.0185956147654733,36.38,36.3794,36.72,48718,1784851.0
2024-08-22,36.03,-0.0101648351648351,36.22,36.0,36.38,30943,1118621.0
2024-08-21,36.4,-0.000274649821477561,36.35,36.29,36.47,125130,4551566.0
2024-08-20,36.41,-0.00273897562311699,36.43,36.2397,36.4684,31038,1128091.0
2024-08-19,36.51,0.0141666666666666,36.17,36.17,36.55,34360,1250947.0
2024-08-16,36.0,0.0101010101010101,35.84,35.78,36.0,35906,1288374.0
2024-08-15,35.64,0.00168634064080951,35.6,35.6,35.8077,44259,1579323.0
2024-08-14,35.58,0.0031012122920778,35.48,35.4501,35.6112,88602,3150185.0
2024-08-13,35.47,0.0088168373151309,35.23,35.23,35.4899,68993,2441687.0
2024-08-12,35.16,0.00357931873062627,35.12,35.07,35.204,37099,1303608.0
2024-08-09,35.0346,0.00414445399828022,34.83,34.83,35.0686,42767,1494688.0
2024-08-08,34.89,0.018983644859813,34.64,34.41,34.9017,96713,3355019.0
2024-08-07,34.24,0.006762716847986,34.62,34.1901,34.6599,64867,2230321.0
2024-08-06,34.01,0.0116002379535991,33.76,33.7078,34.1399,143344,4866665.0
2024-08-05,33.62,-0.028604449581046,32.93,32.93,33.95,319802,10716929.0
2024-08-02,34.61,-0.00230614009801091,34.45,34.45,34.6699,85818,2968072.0
2024-08-01,34.69,-0.0122437357630979,35.05,34.54,35.12,138061,4804872.0
2024-07-31,35.12,0.0100661489790047,34.77,34.77,35.22,145533,5102691.0
2024-07-30,34.77,0.00288433804441885,34.69,34.64,34.79,154050,5347230.0
2024-07-29,34.67,-0.0048794489092997,34.66,34.5701,34.83,446100,15463017.0
2024-07-26,34.84,-0.00343249427917613,35.06,34.83,35.07,553521,19326697.0
2024-07-25,34.96,-0.00512236767216846,35.0,34.7543,35.0799,43593,1525869.0
2024-07-24,35.14,-0.000568828213879295,35.25,35.065,35.34,68805,2420489.0
2024-07-23,35.16,-0.00537482319660551,35.36,35.1513,35.39,30363,1071166.0
2024-07-22,35.35,0.00769669327252004,35.36,35.2201,35.39,62639,2211741.0
2024-07-19,35.08,-0.0132208157524613,35.42,35.07,35.4899,70726,2485646.0
2024-07-18,35.55,-0.0118082657860504,35.99,35.5414,35.99,48638,1736959.0
2024-07-17,35.9748,-0.012495196266813,36.12,35.9,36.12,59779,2149942.0
2024-07-16,36.43,0.00109920307776859,36.25,36.15,36.4395,64993,2360141.0
2024-07-15,36.39,-0.00628072091753132,36.54,36.2501,36.54,101209,3684584.0
2024-07-12,36.62,0.00632041769716947,36.59,36.47,36.67,57521,2104690.0
2024-07-11,36.39,0.00663900414937765,36.44,36.2677,36.4499,67866,2467201.0
2024-07-10,36.15,0.00305216426193117,36.06,35.98,36.1599,62642,2259990.0
2024-07-09,36.04,-0.00359413878905177,36.12,35.95,36.1599,119251,4298329.0
2024-07-08,36.17,0.00305047143649471,36.31,35.99,36.31,100964,3648824.0
2024-07-05,36.06,0.000277392510402361,36.2,35.95,36.22,148709,5365733.0
2024-07-03,36.05,0.0100868590641636,35.94,35.782,36.06,44715,1609791.0
2024-07-02,35.69,0.00764841568532226,35.78,35.5158,35.78,94161,3356589.0
2024-07-01,35.4191,0.00337393767705391,35.42,35.32,35.53,30944,1096422.0
2024-06-28,35.3,0.00426742532005686,35.38,35.3,35.4998,55511,1967584.0
2024-06-27,35.15,-0.000852757248436644,35.29,35.0018,35.2955,60671,2133944.0
2024-06-26,35.18,-0.00621468926553669,35.34,35.05,35.34,74051,2606743.0
2024-06-25,35.4,-0.00197349873132225,35.38,35.23,35.4799,67243,2377177.0
2024-06-24,35.47,-0.00921787709497202,35.52,35.445,35.629,49651,1762880.0
2024-06-21,35.8,-0.00665926748057719,35.98,35.74,35.9999,31728,1137102.0
2024-06-20,36.04,0.0044593088071348,35.99,35.8301,36.0533,63448,2281631.0
2024-06-18,35.88,0.0101351351351351,35.64,35.64,35.93,58736,2106225.0
2024-06-17,35.52,0.00169204737732663,35.49,35.1242,35.56,29479,1044858.0
2024-06-14,35.46,0.00581477804566723,35.39,35.2461,35.46,46921,1658703.0
2024-06-13,35.255,0.000709622480840354,35.42,35.16,35.44,72016,2537858.0
2024-06-12,35.23,0.00400976935989021,35.31,35.23,35.47,28811,1018961.0
2024-06-11,35.0893,-0.00540532879818593,35.19,34.95,35.2699,76361,2676373.0
2024-06-10,35.28,0.00828808230923118,35.21,35.1,35.3394,70070,2467113.0
2024-06-07,34.99,-0.00681237581606571,35.29,34.99,35.35,75232,2646419.0
2024-06-06,35.23,-0.000312136431996901,35.12,35.12,35.25,44594,1569346.0
2024-06-05,35.241,0.0037311307319852,35.21,35.0001,35.25,72580,2551986.0
2024-06-04,35.11,-0.00678925035360685,35.05,34.91,35.14,34425,1206280.0
2024-06-03,35.35,0.012893982808023,35.5,35.13,35.5,33011,1034857.0
2024-05-31,34.9,-0.00569800569800578,35.0,34.7001,35.0092,50770,1770158.0
2024-05-30,35.1,-0.00510204081632652,35.0,35.0,35.2494,59504,2091380.0
2024-05-29,35.28,-0.0109335576114382,35.41,35.06,35.41,117838,4155291.0
2024-05-28,35.67,-0.00056038105912009,35.61,35.5402,35.7323,30033,1070799.0
2024-05-24,35.69,0.00140291806958466,35.74,35.65,35.81,56896,2032214.0
