Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,81.88,-0.00121980970968539,81.77,81.43,81.91,5794427,473455283.0
2024-10-09,81.98,0.000244021473889827,81.52,81.46,82.05,5370828,440063372.0
2024-10-08,81.96,-0.00158362772566707,81.9,81.685,81.97,6339144,518923582.0
2024-10-07,82.09,-0.00557238037552991,82.3,81.7879,82.41,7365112,604969782.0
2024-10-04,82.55,0.00584866577312056,82.13,82.045,82.565,8536274,703036277.0
2024-10-03,82.07,-0.00929502655721886,82.12,81.77,82.28,9890515,811201307.0
2024-10-02,82.84,-0.00204794603059874,82.86,82.45,83.025,8335155,690254742.0
2024-10-01,83.01,-0.00741360755709662,83.66,82.57,83.69,18430914,1530786339.0
2024-09-30,83.63,-0.00345567206863687,83.96,83.18,83.97,13425369,1122776791.0
2024-09-27,83.92,-0.00604050692881683,84.27,83.795,84.5563,10690655,899296021.0
2024-09-26,84.43,0.0220312310858251,84.19,83.85,84.525,12874975,1084889792.0
2024-09-25,82.61,-0.00541777028653988,83.21,82.585,83.23,11869015,982208897.0
2024-09-24,83.06,0.00593435872592963,82.82,82.61,83.1199,6855760,568761895.0
2024-09-23,82.57,0.00376853877947955,82.39,82.345,82.66,6997708,577509059.0
2024-09-20,82.26,-0.00987000481463641,82.59,81.97,82.61,7892376,649003676.0
2024-09-19,83.08,0.0197618755370075,82.96,82.47,83.235,9974104,827200626.0
2024-09-18,81.47,-0.00318120641135452,81.81,81.29,82.46,8454227,690645919.0
2024-09-17,81.73,-0.00559678793040508,82.09,81.455,82.14,7307315,597605760.0
2024-09-16,82.19,0.00809517968845819,81.88,81.695,82.2299,9869506,808944729.0
2024-09-13,81.53,0.00233587410867959,81.45,81.3915,81.835,7340468,598720269.0
2024-09-12,81.34,0.00818046603867125,80.61,80.39,81.37,11686010,947589777.0
2024-09-11,80.68,0.00598503740648384,80.27,79.375,80.71,12999128,1040836018.0
2024-09-10,80.2,-0.00496277915632744,80.31,79.575,80.315,9742931,779676116.0
2024-09-09,80.6,0.0100250626566416,80.41,80.395,80.9,10634962,857240230.0
2024-09-06,79.8,-0.0188122464035411,81.12,79.67,81.335,12344375,988099470.0
2024-09-05,81.33,0.00024597220514077,81.41,80.975,81.555,12147438,987229779.0
2024-09-04,81.31,-0.00440798334761846,81.07,80.98,81.69,10324403,839660442.0
2024-09-03,81.67,-0.0157869366112317,82.56,81.465,82.655,9886682,809890431.0
2024-08-30,82.98,0.00156910078455051,83.115,82.59,83.25,15627554,1296595816.0
2024-08-29,82.85,0.00375575478555837,82.93,82.71,83.2842,9112065,755530778.0
2024-08-28,82.54,-0.00350114692744165,82.74,82.2,82.905,7883869,650995315.0
2024-08-27,82.83,0.00460885385081862,82.65,82.54,82.97,9597134,794693949.0
2024-08-26,82.45,-0.00446751992272386,82.56,82.36,82.72,6719906,554466602.0
2024-08-23,82.82,0.0183204229681544,81.99,81.89,82.87,10779000,890142191.0
2024-08-22,81.33,-0.00586725339200592,82.11,81.28,82.14,7290684,594415978.0
2024-08-21,81.81,0.00925240562546262,81.58,81.4,81.965,10653466,869810438.0
2024-08-20,81.06,-0.00307465256426024,81.17,80.91,81.36,5177868,420050116.0
2024-08-19,81.31,0.0121996763351177,80.81,80.8,81.4,6740976,547511588.0
2024-08-16,80.33,0.00550757291275501,79.98,79.96,80.4,10287847,825427685.0
2024-08-15,79.89,0.0121626757886734,79.64,79.56,80.05,10364201,827554703.0
2024-08-14,78.93,0.0036876907426247,78.79,78.635,78.995,7127626,561935722.0
