Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,15.16,0.00330906684315028,15.12,15.09,15.16,900.0,13606.0
2024-10-09,15.11,0.0,15.05,15.05,15.21,132766.0,2018238.0
2024-10-08,15.11,-1.32360921762326e-05,15.1,15.03,15.11,806.0,12164.0
2024-10-07,15.1102,-0.00656147271531888,15.16,15.04,15.16,725.0,10956.0
2024-10-04,15.21,0.0126498002663117,15.135,15.08,15.21,3098.0,46900.0
2024-10-03,15.02,-0.0205412455167917,15.01,15.0,15.071995,9649.0,144853.0
2024-10-02,15.335,-0.00422077922077919,15.35,15.29,15.35,4432.0,67851.0
2024-10-01,15.4,-0.00194426441996107,15.449,15.31,15.449,471.0,7258.0
2024-09-30,15.43,-0.01531589023612,15.52,15.3914,15.52,2818.0,43524.0
2024-09-27,15.67,0.00448717948717951,15.67,15.635,15.67,3479.0,55069.0
2024-09-26,15.6,0.0058027079303675,15.6,15.59,15.69,5000.0,78201.0
2024-09-25,15.51,-0.00991363076353472,15.67,15.51,15.67,433.0,6754.0
2024-09-24,15.6653,0.00806306306306313,15.58,15.58,15.6899,888.0,13899.0
2024-09-23,15.54,-0.000643086816720358,15.58,15.54,15.58,1019.0,15866.0
2024-09-20,15.55,-0.000642673521850886,15.52,15.4401,15.55,934.0,14458.0
2024-09-19,15.56,0.00581771170006463,15.55,15.55,15.635,5070.0,79069.0
2024-09-18,15.47,-0.00833333333333327,15.54,15.47,15.67,2540.0,39494.0
2024-09-17,15.6,0.00515463917525774,15.65,15.5,15.69,6318.0,98824.0
2024-09-16,15.52,0.00518134715025907,15.44,15.44,15.5686,2318.0,35987.0
2024-09-13,15.44,0.00981033355134077,15.455,15.44,15.455,339.0,5235.0
2024-09-12,15.29,0.0,15.2397,15.1901,15.29,677.0,10310.0
2024-09-11,15.29,0.00559026635975002,15.18,15.17,15.29,1852.0,28113.0
2024-09-10,15.205,-0.00360419397116643,15.21,15.14,15.21,1259.0,19131.0
2024-09-09,15.26,0.0032873109796186,15.24,15.24,15.34,2032.0,31068.0
2024-09-06,15.21,-0.0168067226890756,15.4,15.2,15.4,1798.0,27607.0
2024-09-05,15.47,0.00716145833333341,15.43,15.38,15.47,1490.0,22945.0
2024-09-04,15.36,0.00423005759939329,15.32,15.31,15.4107,1083.0,16616.0
2024-09-03,15.2953,-0.00937176165803111,15.35,15.25,15.35,1632.0,25006.0
2024-08-30,15.44,-0.00451321727917474,15.4837,15.44,15.4837,3494.0,54092.0
2024-08-29,15.51,0.00714285714285711,15.45,15.45,15.51,1367.0,21126.0
2024-08-28,15.4,-0.00388098318240624,15.42,15.4,15.479,1866.0,28797.0
2024-08-27,15.46,0.00129533678756485,15.48,15.46,15.48,379.0,5863.0
2024-08-26,15.44,0.000648088139987024,15.45,15.44,15.48,1554.0,24013.0
2024-08-23,15.43,0.017139090309822,15.28,15.28,15.43,2339.0,35799.0
2024-08-22,15.17,-0.00557194362504103,15.2,15.17,15.2,452.0,6883.0
2024-08-21,15.255,0.00826173165895572,15.21,15.21,15.2799,1172.0,17839.0
2024-08-20,15.13,-0.00623973727421996,15.14,15.13,15.14,728.0,11027.0
2024-08-19,15.225,0.0131762826911559,15.28,15.2,15.28,4861.0,73602.0
2024-08-16,15.027,0.00447860962566834,14.98,14.98,15.04,2237.0,33548.0
2024-08-15,14.96,0.00402684563758393,14.961,14.96,14.961,188.0,2816.0
2024-08-14,14.9,0.00472016183412005,14.86,14.86,14.94,609.0,9078.0
2024-08-13,14.83,0.0122866894197952,14.69,14.69,14.83,702.0,10385.0
2024-08-12,14.65,-0.00475543478260872,14.68,14.64,14.74,1323.0,19428.0
