Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,41.4,0.000967117988394564,41.11,41.04,41.43,839355,34692510.0
2024-10-09,41.36,0.00534759358288767,41.09,41.06,41.385,1705581,70421885.0
2024-10-08,41.14,-0.00699975862901277,41.38,41.055,41.38,2761698,113785912.0
2024-10-07,41.43,-0.0057595392368611,41.62,41.19,41.62,1371062,56784791.0
2024-10-04,41.67,0.00603573153066152,41.36,41.36,41.69,2289373,95143673.0
2024-10-03,41.42,-0.00432692307692307,41.38,41.13,41.485,3424455,141640144.0
2024-10-02,41.6,-0.000960614793467799,41.71,41.4901,41.87,1557190,64832760.0
2024-10-01,41.64,0.00289017341040456,41.56,41.32,41.72,3591645,149309324.0
2024-09-30,41.52,0.00168878166465622,41.45,41.17,41.565,2472705,102480764.0
2024-09-27,41.45,-0.0050408065290445,41.77,41.42,41.78,2191911,91028262.0
2024-09-26,41.66,0.00579430226943493,41.55,41.545,41.815,1037016,43203724.0
2024-09-25,41.42,-0.00576092174747947,41.71,41.38,41.71,2062922,85636871.0
2024-09-24,41.66,0.00749697702539287,41.57,41.445,41.7099,1962044,81558751.0
2024-09-23,41.35,0.00583799562150333,41.28,41.17,41.445,1548463,63973868.0
2024-09-20,41.11,-0.000972053462940441,40.99,40.82,41.16,887544,36418459.0
2024-09-19,41.15,0.01630032106693,41.26,40.78,41.26,2236502,91912702.0
2024-09-18,40.49,-0.00467059980334311,40.78,40.46,41.01,1543862,62787384.0
2024-09-17,40.68,-0.00294117647058817,40.91,40.57,40.955,1540338,62735096.0
2024-09-16,40.8,0.00641341884558456,40.76,40.4785,40.835,1498990,61072026.0
2024-09-13,40.54,0.00346534653465348,40.56,40.445,40.72,848640,34414200.0
2024-09-12,40.4,0.00873907615480653,40.15,39.97,40.44,1375500,55434950.0
2024-09-11,40.05,0.0126422250316056,39.61,39.215,40.05,3081479,122572211.0
2024-09-10,39.55,-0.00503144654088057,39.66,39.2,39.66,1502992,59227617.0
2024-09-09,39.75,0.0111930806410582,39.6,39.6,39.855,1724485,68570829.0
2024-09-06,39.31,-0.0118149824032177,39.83,39.08,40.04,2416797,95085245.0
2024-09-05,39.78,-0.0027575833542241,40.03,39.74,40.15,1690072,67450728.0
2024-09-04,39.89,0.0025131942699171,39.67,39.6513,40.09,3693820,147456986.0
2024-09-03,39.79,-0.0172882193134108,40.09,39.65,40.09,3124737,124344452.0
2024-08-30,40.49,0.00646283867760391,40.18,40.0638,40.51,1730894,69809000.0
2024-08-29,40.23,0.0044943820224719,40.24,40.135,40.48,1603418,64668735.0
2024-08-28,40.05,-0.00743494423791832,40.29,39.9325,40.2903,1337110,53649417.0
2024-08-27,40.35,-0.000495417389150261,40.17,40.135,40.43,829498,33443230.0
2024-08-26,40.37,0.00397910967421031,40.33,40.32,40.5103,1202370,48569238.0
2024-08-23,40.21,0.0190065889508363,39.81,39.75,40.31,3141923,126200816.0
2024-08-22,39.46,-0.00454086781029263,39.64,39.37,39.65,1085710,42856195.0
2024-08-21,39.64,0.00481622306717358,39.65,39.505,39.715,1475917,58464066.0
2024-08-20,39.45,-0.00252844500632097,39.65,39.32,39.65,1338006,52770506.0
2024-08-19,39.55,0.00713012477718345,39.29,39.29,39.66,1559364,61676728.0
2024-08-16,39.27,0.00434782608695657,39.13,39.06,39.3,1509582,59223072.0
2024-08-15,39.1,0.0113812726332127,38.89,38.89,39.23,3394789,132358262.0
2024-08-14,38.66,0.00598490762425181,38.41,38.41,38.69,1917279,73946381.0
2024-08-13,38.43,0.0139841688654354,37.96,37.96,38.44,2054481,78708038.0
2024-08-12,37.9,0.00185038329368227,37.89,37.8,38.04,1663780,63128825.0
2024-08-09,37.83,0.00451407328730753,37.74,37.51,37.8703,1372466,51821340.0
2024-08-08,37.66,0.0172879524581306,37.26,37.1,37.77,1863736,70124772.0
2024-08-07,37.02,-0.000539956803455616,37.66,36.93,37.685,2203885,82320866.0
2024-08-06,37.04,0.0142387732749177,36.49,36.36,37.23,4040834,149300143.0
2024-08-05,36.52,-0.0182795698924731,35.84,35.74,36.72,6610396,240225668.0
2024-08-02,37.2,-0.0223390275952692,37.55,36.88,37.68,4664221,173317929.0
2024-08-01,38.05,-0.0223535457348408,38.7,37.84,38.95,3618095,138023195.0
2024-07-31,38.92,0.0148631029986962,38.72,38.62,39.135,2687746,104463684.0
2024-07-30,38.35,0.00340136054421775,38.27,38.22,38.475,1615983,61994000.0
2024-07-29,38.22,-0.00286981476650142,38.41,38.07,38.41,1516849,57938013.0
2024-07-26,38.33,0.00868421052631574,38.27,38.145,38.415,1415217,54204588.0
2024-07-25,38.0,-0.00131406044678048,37.71,37.71,38.2836,3117773,118555701.0
2024-07-24,38.05,-0.00885647303985422,38.3,38.035,38.445,1629067,62251696.0
2024-07-23,38.39,-0.00672703751617071,38.43,38.39,38.57,837705,32219267.0
2024-07-22,38.65,0.00703491401771746,38.48,38.27,38.655,1136940,43832192.0
2024-07-19,38.38,-0.00182054616384916,38.17,38.17,38.55,1283180,49269036.0
2024-07-18,38.45,-0.00774193548387089,38.84,38.345,38.84,1581558,60941143.0
2024-07-17,38.75,-0.00717396874199337,38.82,38.63,38.975,1470002,56991305.0
2024-07-16,39.03,0.011139896373057,38.59,38.53,39.03,957742,37262431.0
