Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,70.9,0.000141063619692553,70.39,70.21,70.92,2604780.0,184180828.0
2024-10-09,70.89,-0.00519225371877638,70.54,70.51,70.98,2758466.0,195459913.0
2024-10-08,71.26,0.00309684684684683,71.18,71.16,71.479,2883643.0,205632047.0
2024-10-07,71.04,-0.0116861435726209,71.17,70.77,71.335,2930407.0,208318645.0
2024-10-04,71.88,0.0131078224101479,71.46,71.44,71.93,4021766.0,288382147.0
2024-10-03,70.95,-0.00393092797978381,70.55,70.49,71.045,3879301.0,274871598.0
2024-10-02,71.23,-0.0057230597431602,71.1,70.81,71.42,4396319.0,312898901.0
2024-10-01,71.64,0.00139781940173322,72.19,71.225,72.35,5127986.0,367546916.0
2024-09-30,71.54,0.00647158131682622,71.84,71.14,71.93,5043426.0,361101596.0
2024-09-27,71.08,-0.0261679682148239,71.68,70.82,72.17,8990238.0,642186132.0
2024-09-26,72.99,0.028752642706131,72.86,72.45,73.24,6694540.0,488057138.0
2024-09-25,70.95,-0.00182892515475514,71.31,70.84,71.34,3972412.0,282236078.0
2024-09-24,71.08,-0.00864714086471415,71.14,70.8951,71.265,5007147.0,355966505.0
2024-09-23,71.7,0.00603339413497975,71.52,71.47,71.885,3480511.0,249578307.0
2024-09-20,71.27,0.000561561139969002,71.5,70.865,71.54,6623050.0,471668975.0
2024-09-19,71.23,0.0265167891627036,71.07,70.64,71.415,6376082.0,453325310.0
2024-09-18,69.39,-0.00459044613398355,69.54,69.14,70.2,4204179.0,292023662.0
2024-09-17,69.71,-0.0117663736886874,69.95,69.46,70.16,4484704.0,312937768.0
2024-09-16,70.54,0.00958923715471592,70.22,70.09,70.57,5148617.0,362211096.0
2024-09-13,69.87,-0.00540925266903908,69.88,69.725,70.255,3882340.0,271609709.0
2024-09-12,70.25,0.00991949396204712,69.48,69.275,70.26,3155868.0,220505870.0
2024-09-11,69.56,0.00607463118310676,69.07,68.145,69.64,5874049.0,404873913.0
2024-09-10,69.14,-0.00274051637097934,69.15,68.395,69.18,4699287.0,324076749.0
2024-09-09,69.33,0.0182111910706417,69.27,69.165,69.75,4790569.0,332587336.0
2024-09-06,68.09,-0.0352791158968546,69.53,67.93,69.76,11533396.0,789835453.0
2024-09-05,70.58,0.00598631698973777,70.37,70.105,70.705,5091210.0,358788822.0
2024-09-04,70.16,-0.0102976442375512,69.88,69.8202,70.58,5105480.0,358299704.0
2024-09-03,70.89,-0.0150062526052522,71.78,70.715,72.045,8228752.0,586544673.0
2024-08-30,71.97,0.00601062342745307,72.22,71.69,72.325,6495650.0,467595042.0
2024-08-29,71.54,0.00168020162419497,71.8,71.405,72.255,6345922.0,455531519.0
2024-08-28,71.42,-0.00432176216366935,71.91,71.12,72.095,9908257.0,708899890.0
2024-08-27,71.73,0.00985499084893711,71.58,71.49,71.91,4898071.0,351073246.0
2024-08-26,71.03,-0.0125121646044767,71.38,70.9,71.51,6751079.0,480014430.0
2024-08-23,71.93,0.0230408192291282,71.19,71.1001,72.04,8212277.0,588390839.0
2024-08-22,70.31,-0.00734152195397425,71.25,70.19,71.31,7426111.0,524928253.0
2024-08-21,70.83,0.0115681233933162,70.88,70.525,71.02,7388154.0,522772301.0
2024-08-20,70.02,-0.00483229107447418,70.11,69.91,70.43,6518691.0,457193913.0
2024-08-19,70.36,0.0142712988323482,69.87,69.85,70.4554,5268854.0,369895637.0
2024-08-16,69.37,0.00521663527025068,69.17,69.085,69.565,6661645.0,461864751.0
2024-08-15,69.01,0.0191995273962489,68.61,68.57,69.2,5031359.0,347067217.0
2024-08-14,67.71,0.00147907114332191,67.51,67.13,67.765,5515186.0,372337364.0
2024-08-13,67.61,0.0286018560778943,67.0,66.94,67.71,8950207.0,602715190.0
2024-08-12,65.73,0.00550711335474988,65.4,65.33,66.08,7620842.0,500950135.0
2024-08-09,65.37,-0.00244162978788336,64.87,64.685,65.405,8193163.0,532425285.0
2024-08-08,65.53,0.0211937042231572,65.26,64.62,65.71,8481074.0,554368127.0
2024-08-07,64.17,0.0166349809885932,65.68,64.12,65.92,14686479.0,956384106.0
2024-08-06,63.12,-0.00488727731357405,62.46,61.9708,63.63,17198207.0,1083430094.0
2024-08-05,63.43,-0.0188708430007735,60.77,60.62,63.87,28253750.0,1773349164.0
2024-08-02,64.65,-0.0429311621021464,65.12,63.84,65.33,13888826.0,896217700.0
2024-08-01,67.55,-0.0481893757925884,68.62,67.02,68.825,9297706.0,630719524.0
2024-07-31,70.97,0.029445894981143,71.0,70.51,71.19,7564025.0,536163090.0
2024-07-30,68.94,0.00130718954248371,69.05,68.645,69.175,6537082.0,450402448.0
2024-07-29,68.85,0.00232930557577517,68.9,68.585,68.995,5189725.0,357325594.0
2024-07-26,68.69,0.013425789318383,68.31,68.24,68.8385,4355633.0,298582915.0
2024-07-25,67.78,-0.0156839965146674,67.7,67.42,68.465,7596378.0,515975976.0
2024-07-24,68.86,-0.0196469248291571,69.79,68.86,69.84,3129754.0,216801122.0
2024-07-23,70.24,-0.000853485064011412,70.13,70.01,70.415,2688576.0,188836018.0
2024-07-22,70.3,0.00485991995425963,70.25,70.01,70.385,2190850.0,153856753.0
2024-07-19,69.96,-0.00625000000000017,70.22,69.885,70.32,3713410.0,260159091.0
2024-07-18,70.4,-0.0151091214325685,71.29,70.24,71.34,8310485.0,586796487.0
2024-07-17,71.48,-0.00584144645340753,71.49,71.34,71.73,5174590.0,370037828.0
2024-07-16,71.9,0.0118209963411202,71.32,71.23,71.96,6357903.0,455956660.0
2024-07-15,71.06,-0.00476190476190481,71.5,70.99,71.5,10546419.0,750450895.0
2024-07-12,71.4,0.00549218419940854,71.1,71.09,71.6564,9138786.0,653037843.0
2024-07-11,71.01,-0.00378787878787873,71.43,70.97,71.59,6523467.0,464261039.0
2024-07-10,71.28,0.0182857142857143,71.02,70.99,71.38,7060734.0,502857158.0
2024-07-09,70.0,0.00545820166618781,70.07,69.83,70.12,8444135.0,591045882.0
2024-07-08,69.62,-0.00485991995425942,69.82,69.58,69.985,3454249.0,240908005.0
2024-07-05,69.96,0.00676356310260468,70.0,69.575,70.0,6710097.0,468987390.0
2024-07-03,69.49,0.00914899796688927,69.23,69.15,69.495,2933774.0,203523611.0
2024-07-02,68.86,0.0157840389437969,68.5,68.39,68.8999,5328588.0,366224009.0
2024-07-01,67.79,-0.00659437280187557,68.15,67.695,68.3,5401147.0,366816749.0
2024-06-28,68.24,0.00872135994087198,68.21,67.965,68.62,4208039.0,287459558.0
2024-06-27,67.65,0.00505125538552969,67.56,67.5005,67.8353,3628504.0,245479908.0
2024-06-26,67.31,-0.003700414446418,67.33,67.22,67.505,3634168.0,244730645.0
2024-06-25,67.56,0.015787099684258,67.44,67.265,67.66,5500173.0,371231789.0
2024-06-24,66.51,0.00757460990758976,66.64,66.495,66.87,3009792.0,200649150.0
2024-06-21,66.01,-0.00706979542719613,66.12,65.925,66.145,4106826.0,271227062.0
2024-06-20,66.48,-0.00270027002700259,66.45,66.205,66.615,4028269.0,267641004.0
2024-06-18,66.66,0.000750638042335943,66.39,66.37,66.68,8101069.0,539303909.0
2024-06-17,66.61,-0.00774616415909424,66.14,66.045,66.69,4484489.0,297978018.0
2024-06-14,67.13,-0.000297840655249594,67.07,66.845,67.245,4766991.0,319789053.0
2024-06-13,67.15,-0.0181313057464541,67.43,66.9,67.43,4839180.0,324693125.0
2024-06-12,68.39,0.00484866294446075,68.79,68.31,69.02,5941301.0,408099141.0
2024-06-11,68.06,-0.0184597634842804,68.18,67.825,68.21,3847963.0,261760578.0
2024-06-10,69.34,0.0088753091808526,69.02,68.985,69.43,3371319.0,233582515.0
2024-06-07,68.73,-0.00736568457538982,68.77,68.625,69.035,3652823.0,251289228.0
2024-06-06,69.24,-0.000577367205542815,69.23,68.99,69.255,4391936.0,303714619.0
2024-06-05,69.28,-0.00287852619458841,69.01,68.7,69.3,5379938.0,371781710.0
2024-06-04,69.48,0.00115273775216136,69.55,69.26,69.7,3651253.0,253606759.0
2024-06-03,69.4,0.00623459475134126,69.44,69.145,69.585,6184579.0,388252699.0
2024-05-31,68.97,0.0133705553923009,68.95,68.44,69.05,5484282.0,376969156.0
2024-05-30,68.06,0.00874462724173712,68.06,67.865,68.26,4101617.0,279279527.0
2024-05-29,67.47,-0.0200435729847494,67.78,67.4,67.83,6813173.0,460009573.0
2024-05-28,68.85,0.00569675723049957,69.08,68.66,69.12,3373997.0,232260358.0
2024-05-24,68.46,0.0109273479031305,68.35,68.28,68.565,3952841.0,270550081.0
2024-05-23,67.72,-0.00441046750955597,68.68,67.59,68.71,4825752.0,327842175.0
2024-05-22,68.02,-0.01162452775356,68.1,67.895,68.2663,4191735.0,285375619.0
2024-05-21,68.82,-0.00577867668303967,68.89,68.63,69.02,3046464.0,209619385.0
2024-05-20,69.22,0.00712934671904547,69.1,69.0818,69.435,4019744.0,278469130.0
2024-05-17,68.73,0.00673795224842549,68.77,68.591,68.94,4290405.0,294915732.0
2024-05-16,68.27,-0.010149340292881,68.93,68.25,68.93,7235063.0,495636573.0
2024-05-15,68.97,0.0111420612813371,68.61,68.4,68.98,9293483.0,639255925.0
2024-05-14,68.21,0.00783096926713929,67.97,67.875,68.22,4711797.0,320730111.0
2024-05-13,67.68,-0.00397350993377478,67.82,67.565,67.895,4876896.0,330192036.0
2024-05-10,67.95,-0.00570676031606673,68.24,67.83,68.27,4261894.0,289691284.0
2024-05-09,68.34,0.0044091710758377,67.72,67.68,68.34,6729108.0,458369350.0
2024-05-08,68.04,-0.0126251632564213,67.73,67.715,68.0953,7164946.0,487038115.0
2024-05-07,68.91,-0.010908568967992,69.02,68.8023,69.13,6954778.0,479595332.0
2024-05-06,69.67,0.00591972278371349,69.47,69.43,69.7261,3575509.0,248876797.0
2024-05-03,69.26,0.0115378998101359,69.19,68.76,69.36,6222479.0,430153269.0
2024-05-02,68.47,0.0202652361794069,68.35,67.943,68.58,6796041.0,464439093.0
2024-05-01,67.11,-0.0023784748030325,67.34,67.016,67.915,7950891.0,534936506.0
2024-04-30,67.27,-0.00693829347505165,67.98,67.27,68.11,6197994.0,419022270.0
2024-04-29,67.74,0.00908684641739907,67.62,67.47,67.98,6870955.0,464965846.0
2024-04-26,67.13,0.00856370192307682,66.79,66.79,67.205,7598444.0,509557346.0
2024-04-25,66.56,-0.0155302470048809,66.0,65.84,66.67,5284795.0,350614905.0
2024-04-24,67.61,0.00430778371954852,67.78,67.335,67.78,6188320.0,417916013.0
2024-04-23,67.32,0.00223313979455101,66.93,66.91,67.415,7323831.0,492882309.0
2024-04-22,67.17,0.0102271018198226,66.83,66.715,67.37,6622892.0,444063476.0
2024-04-19,66.49,-0.00597996711018098,66.72,66.35,66.86,8553879.0,569269014.0
2024-04-18,66.89,-0.00298107020420335,67.18,66.805,67.415,7985359.0,535123036.0
2024-04-17,67.09,-0.0106179029641646,67.34,66.84,67.425,9147328.0,613914782.0
2024-04-16,67.81,-0.0139595753962483,67.95,67.63,68.13,8224470.0,558324232.0
2024-04-15,68.77,-0.00419924703156684,69.64,68.66,69.82,8202740.0,566571019.0
2024-04-12,69.06,-0.0132876125160736,69.56,68.9931,69.655,7815466.0,540820461.0
2024-04-11,69.99,0.00879215912366675,69.96,69.27,70.105,8337176.0,581835009.0
2024-04-10,69.38,-0.0156072644721908,69.49,69.1101,69.68,9034989.0,626618923.0
2024-04-09,70.48,0.00370264881800064,70.82,70.2,70.82,7474953.0,526251178.0
2024-04-08,70.22,0.00500930299126942,70.29,70.19,70.5099,6555421.0,461060318.0
2024-04-05,69.87,0.00287067604420845,69.72,69.595,70.0454,11909976.0,832402667.0
2024-04-04,69.67,-0.0103693181818182,70.79,69.63,70.79,11481156.0,805446137.0
2024-04-03,70.4,0.00686498855835246,69.87,69.87,70.515,11686934.0,822108105.0
2024-04-02,69.92,-0.00512236767216846,69.88,69.57,69.94,10631954.0,741922947.0
2024-04-01,70.28,-0.0149964961457602,70.27,70.07,70.41,8227905.0,577669002.0
2024-03-28,71.35,-0.00363077782432628,71.06,71.06,71.52,11319670.0,808185169.0
2024-03-27,71.61,0.00434782608695655,71.49,71.275,71.615,8787005.0,627909253.0
2024-03-26,71.3,0.00436681222707427,71.48,71.28,71.58,7997760.0,571504115.0
2024-03-25,70.99,-0.0115566694514063,70.93,70.89,71.175,10403522.0,739385019.0
2024-03-22,71.82,-0.000139217597104345,72.04,71.74,72.065,5767984.0,414421374.0
2024-03-21,71.83,0.0050370784944732,71.68,71.66,71.9283,10859925.0,779887985.0
2024-03-20,71.47,0.00775521714608005,71.02,70.865,71.515,7308540.0,519836298.0
2024-03-19,70.92,0.00382165605095536,70.59,70.4956,71.055,7411314.0,525039875.0
2024-03-18,70.65,0.015523932729625,70.5,70.29,70.71,17599720.0,1241823175.0
2024-03-15,69.57,0.00738488271068623,69.44,69.27,69.64,11684639.0,812169414.0
2024-03-14,69.06,-0.00446879054346262,69.67,68.8201,69.715,10113754.0,698562387.0
2024-03-13,69.37,-0.00871677622177764,69.2,69.08,69.51,8687143.0,602435382.0
2024-03-12,69.98,0.00545977011494267,69.58,69.325,70.035,9823936.0,686144612.0
2024-03-11,69.6,-0.0221972464175332,69.81,69.44,69.89,18476756.0,1285874855.0
2024-03-08,71.18,-0.00224278104850009,71.68,71.11,71.755,8613295.0,614339592.0
2024-03-07,71.34,-0.00042034468263978,71.25,71.13,71.43,6776639.0,483241901.0
2024-03-06,71.37,0.0152204836415364,71.34,71.165,71.64,8644217.0,617194071.0
2024-03-05,70.3,0.00543478260869559,70.62,70.165,70.77,9841708.0,692767930.0
2024-03-04,69.92,-0.00582966017346789,70.0,69.8299,70.1,6406617.0,448323243.0
