Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,28.51,0.00528913963328639,28.43,28.3,28.53,11874887,338135905.0
2024-10-09,28.36,-0.0210562651018295,28.52,28.275,28.57,25465841,723391944.0
2024-10-08,28.97,-0.00855578370978782,28.92,28.82,29.075,10924715,316444999.0
2024-10-07,29.22,-0.00646038762325744,29.31,29.13,29.5969,11230078,328760349.0
2024-10-04,29.41,0.00650239561943878,29.17,29.105,29.43,15079911,441802334.0
2024-10-03,29.22,-0.0184749748068526,29.21,28.91,29.3,19315161,562487312.0
2024-10-02,29.77,0.0088105726872246,30.15,29.715,30.21,19347609,579314830.0
2024-10-01,29.51,0.000678195998643714,29.61,29.33,29.75,19830316,586371906.0
2024-09-30,29.49,-0.00807265388496475,29.71,29.38,29.76,14547622,429903148.0
2024-09-27,29.73,0.000336473755047159,29.72,29.71,29.98,12888911,384208496.0
2024-09-26,29.72,0.00745762711864403,29.85,29.59,29.98,32485740,966547044.0
2024-09-25,29.5,-0.00673400673400671,29.63,29.425,29.82,26106841,774883668.0
2024-09-24,29.7,0.0244912038634012,29.74,29.575,29.95,21431476,637506828.0
2024-09-23,28.99,-0.00685166152792062,28.9,28.86,29.09,24198512,701812377.0
2024-09-20,29.19,-0.0305546330122882,29.81,29.115,29.89,30075254,882064572.0
2024-09-19,30.11,0.00266400266400261,30.41,30.04,30.41,16138163,487205335.0
2024-09-18,30.03,-0.00497017892644131,30.12,29.87,30.525,17090287,515466597.0
2024-09-17,30.18,0.00599999999999999,29.96,29.845,30.18,14696067,441613410.0
2024-09-16,30.0,0.0118043844856662,30.0,29.92,30.2,10432373,313190359.0
2024-09-13,29.65,0.0126366120218578,29.59,29.59,29.95,17904107,532776202.0
2024-09-12,29.28,0.00273972602739732,29.08,28.85,29.3,13803861,401866254.0
2024-09-11,29.2,0.00654946570148217,29.17,28.855,29.295,12530900,365197070.0
2024-09-10,29.01,-0.015609093993892,29.3,28.89,29.345,13294211,386157120.0
2024-09-09,29.47,0.00374659400544957,29.31,29.26,29.585,11957409,351901728.0
2024-09-06,29.36,-0.0196994991652755,30.0,29.23,30.09,23557730,693449871.0
2024-09-05,29.95,0.0125084516565247,29.71,29.62,29.95,14487514,431913999.0
2024-09-04,29.58,0.00680735194009528,29.53,29.53,29.825,17619748,522419589.0
2024-09-03,29.38,-0.0164044191496485,29.68,29.33,29.685,23963468,705870295.0
2024-08-30,29.87,0.000334896182183575,29.26,29.26,29.895,47117234,1397473523.0
2024-08-29,29.86,-0.0222658808120498,29.93,29.675,29.97,25900642,772489712.0
2024-08-28,30.54,-0.00358890701468187,30.25,30.19,30.56,12924677,392985809.0
2024-08-27,30.65,-0.00162866449511403,30.62,30.55,30.79,8461751,259473278.0
2024-08-26,30.7,0.00854139290407352,30.36,30.36,30.83,16534249,507367153.0
2024-08-23,30.44,0.0228494623655914,30.06,29.915,30.545,20777875,630816154.0
2024-08-22,29.76,-0.0271330500163452,30.09,29.665,30.2,30963713,924031812.0
2024-08-21,30.59,0.00130932896890341,30.78,30.435,30.835,11199884,343013335.0
2024-08-20,30.55,-0.0122858066602004,30.65,30.44,30.695,15997417,489064486.0
2024-08-19,30.93,0.0228174603174604,30.5,30.48,31.14,19868050,613479883.0
2024-08-16,30.24,0.00431750249086679,30.44,30.13,30.5,21275331,643956748.0
2024-08-15,30.11,0.00366666666666665,30.03,30.03,30.4,21874433,660305873.0
2024-08-14,30.0,0.00133511348464617,29.98,29.915,30.16,16962178,509613933.0
2024-08-13,29.96,0.018008834522596,29.63,29.56,29.98,24908248,742571415.0
2024-08-12,29.43,0.00856751199451679,29.47,29.31,29.58,19207121,565434110.0
2024-08-09,29.18,0.0271031326997536,28.93,28.69,29.305,20783316,603867978.0
2024-08-08,28.41,0.0190100430416069,28.03,27.93,28.52,22243316,630301037.0
2024-08-07,27.88,0.0149253731343284,27.97,27.745,28.08,16155398,450969453.0
2024-08-06,27.47,0.0223297357647934,27.26,27.1817,27.76,25690529,705955916.0
2024-08-05,26.87,-0.0114054451802796,26.26,26.23,27.005,27857568,741948644.0
2024-08-02,27.18,-0.00694190719766172,27.36,27.0,27.41,23587122,640990002.0
2024-08-01,27.37,-0.0144040331292761,27.97,27.29,28.15,20227047,558534131.0
2024-07-31,27.77,0.00579500181093807,27.61,27.61,27.945,21165393,587510521.0
2024-07-30,27.61,-0.00540345821325656,27.5,27.4,27.63,15495963,426461263.0
2024-07-29,27.76,0.000720980533525708,27.79,27.445,27.835,11130593,307820943.0
2024-07-26,27.74,0.0101966496722505,27.49,27.475,27.77,12122974,335267628.0
2024-07-25,27.46,-0.00290486564996363,27.51,27.355,27.66,13148303,361487447.0
2024-07-24,27.54,-0.0107758620689655,27.56,27.48,27.875,17425301,481716630.0
2024-07-23,27.84,-0.0145132743362832,28.01,27.825,28.16,15335918,428199057.0
2024-07-22,28.25,0.00892857142857143,28.25,28.165,28.48,19481239,551411893.0
2024-07-19,28.0,-0.00284900284900279,28.52,27.99,28.54,22910096,646858363.0
2024-07-18,28.08,-0.0317241379310345,28.52,28.06,28.645,26644401,752760137.0
2024-07-17,29.0,-0.00650907845152454,28.93,28.895,29.14,17561405,509643852.0
2024-07-16,29.19,0.00205973223480955,29.31,28.93,29.41,22640459,659962181.0
2024-07-15,29.13,-0.00068610634648369,29.05,28.885,29.27,17120618,498065186.0
2024-07-12,29.15,0.00690846286701207,28.9,28.815,29.22,16038104,466087969.0
2024-07-11,28.95,0.00451075641915333,29.03,28.83,29.135,19614877,567804291.0
2024-07-10,28.82,0.00104202848211188,29.05,28.69,29.07,16408460,473398727.0
2024-07-09,28.79,0.0140894681225783,28.5,28.375,28.87,18785274,538979219.0
2024-07-08,28.39,0.0,28.09,28.07,28.455,17725709,502033871.0
2024-07-05,28.39,0.0121212121212121,28.19,27.87,28.4,35541281,1001687817.0
2024-07-03,28.05,0.0327687776141385,27.68,27.65,28.1,33503554,934429802.0
2024-07-02,27.16,0.000736919675755327,27.09,26.86,27.365,33023522,896523826.0
2024-07-01,27.14,-0.00695206732528349,27.51,27.14,27.695,20411740,559912467.0
2024-06-28,27.33,-0.0147801009372747,27.47,27.14,27.5764,28218080,771185460.0
2024-06-27,27.74,0.0138888888888889,27.63,27.35,27.815,30096529,831876380.0
2024-06-26,27.36,-0.00869565217391311,27.15,27.05,27.37,21855698,595129502.0
2024-06-25,27.6,-0.0139335476956055,27.8,27.56,27.89,16483776,455756893.0
2024-06-24,27.99,0.0193008011653313,27.86,27.815,28.09,23639805,660993022.0
2024-06-21,27.46,0.0117907148120855,27.25,27.24,27.54,22320626,611761248.0
2024-06-20,27.14,0.00295639320029571,27.41,27.045,27.6779,28757049,786398766.0
2024-06-18,27.06,0.00296515937731647,26.99,26.97,27.35,27087762,735669266.0
2024-06-17,26.98,-0.0106343967730106,26.94,26.835,27.14,18977074,512047834.0
2024-06-14,27.27,-0.000732869182850846,27.08,27.05,27.525,22735507,620070169.0
2024-06-13,27.29,0.00183553597650517,27.21,26.9701,27.425,29115963,793024194.0
2024-06-12,27.24,-0.0219030520646321,27.72,27.075,27.78,43671570,1192412781.0
2024-06-11,27.85,-0.0265641384131422,27.84,27.66,27.99,26014379,724077107.0
2024-06-10,28.61,-0.00521557719054249,28.45,28.4,28.71,27635145,790530068.0
2024-06-07,28.76,-0.0339267719180382,29.37,28.72,29.455,37267325,1083201319.0
2024-06-06,29.77,0.0212692967409949,29.46,29.435,29.82,31195725,925991953.0
2024-06-05,29.15,-0.00341880341880347,29.3,29.035,29.39,21361561,623546547.0
2024-06-04,29.25,-0.011156186612576,29.125,29.045,29.29,32554062,949811568.0
2024-06-03,29.58,-0.000675675675675781,29.44,29.27,29.78,19214782,475001915.0
2024-05-31,29.6,-0.0143190143190143,29.75,29.43,29.8,19726864,583562803.0
2024-05-30,30.03,0.00502008032128521,29.85,29.74,30.165,14695014,441212653.0
2024-05-29,29.88,-0.0171052631578947,29.89,29.79,30.015,19371850,579176997.0
2024-05-28,30.4,-0.00098586920801844,30.76,30.285,30.805,18720343,570247100.0
2024-05-24,30.43,-0.00685378590078332,30.73,30.35,30.79,19937500,609274218.0
2024-05-23,30.64,-0.00745059928733399,30.92,30.515,30.995,14779627,453206257.0
2024-05-22,30.87,-0.0181297709923664,31.05,30.785,31.1,23354252,722409415.0
2024-05-21,31.44,-0.00694883133291216,31.67,31.32,31.745,16696262,525711602.0
2024-05-20,31.66,-0.00283464566929133,31.54,31.445,31.93,15020001,475786251.0
2024-05-17,31.75,0.00157728706624608,31.66,31.51,31.795,13368636,423776510.0
2024-05-16,31.7,0.00221308883970915,31.82,31.555,31.86,15045232,476492127.0
2024-05-15,31.63,-0.0106349702846418,31.48,31.2,31.735,32219983,1015694060.0
2024-05-14,31.97,0.00597860289490238,31.78,31.725,32.04,14571998,465317557.0
2024-05-13,31.78,0.00537804492249294,31.87,31.62,32.075,13588785,432091552.0
2024-05-10,31.61,-0.00753532182103617,32.01,31.58,32.05,10507606,333585775.0
2024-05-09,31.85,-0.0169753086419752,31.56,31.42,31.91,33750116,1070586704.0
2024-05-08,32.4,-0.00369003690036914,32.03,32.03,32.49,9842073,317721641.0
2024-05-07,32.52,0.00587689452520893,32.58,32.425,32.75,14982264,488104889.0
2024-05-06,32.33,0.000619003404518602,32.25,32.225,32.53,13076141,423491974.0
2024-05-03,32.31,0.0166771554436753,32.45,32.17,32.54,19648572,635400510.0
2024-05-02,31.78,0.0202247191011237,31.7,31.595,31.927,18891144,599990566.0
2024-05-01,31.15,0.00386722526587165,31.1,30.9001,31.54,23506390,733637969.0
2024-04-30,31.03,-0.0226771653543307,31.4,30.99,31.49,20855430,649640071.0
2024-04-29,31.75,0.00665821179454663,31.65,31.59,31.835,12570140,398679528.0
2024-04-26,31.54,0.023693605972087,31.3,31.2728,31.665,17031704,537267949.0
2024-04-25,30.81,-0.0058083252662149,30.58,30.5,30.875,11300382,347571425.0
2024-04-24,30.99,-0.00545571245186142,31.0,30.8142,31.04,13461577,416682310.0
2024-04-23,31.16,0.00483714930667522,30.72,30.605,31.34,20096254,624270231.0
2024-04-22,31.01,0.00878334417696822,30.59,30.47,31.065,18462966,569683224.0
2024-04-19,30.74,0.020923281301893,30.24,30.235,30.805,28418033,871179245.0
2024-04-18,30.11,-0.00198873052701367,30.34,29.81,30.5,24299376,732205226.0
2024-04-17,30.17,0.00299202127659586,30.34,29.86,30.43,25571853,772427363.0
2024-04-16,30.08,-0.023693605972087,30.16,29.9,30.395,34375763,1035466530.0
2024-04-15,30.81,-0.0147105852254557,30.91,30.53,31.06,26929719,830147002.0
2024-04-12,31.27,-0.0172847265870522,31.65,31.15,31.7,25393024,795970515.0
2024-04-11,31.82,-0.0081047381546134,32.0,31.74,32.02,19988269,636869566.0
2024-04-10,32.08,-0.0275841163989089,32.4,31.93,32.515,33911754,1091820909.0
2024-04-09,32.99,0.0144526445264452,32.87,32.685,33.0,30370579,998045300.0
2024-04-08,32.52,0.0223200251493243,31.92,31.92,32.62,20296533,657610146.0
2024-04-05,31.81,-0.00872545964474929,31.98,31.64,32.025,23229361,739047024.0
2024-04-04,32.09,0.0,32.5,31.99,32.915,42563803,1381636154.0
2024-04-03,32.09,0.00249921899406452,31.8,31.5,32.2,25252359,805215362.0
2024-04-02,32.01,0.00565504241281809,31.84,31.775,32.13,20687206,660807815.0
2024-04-01,31.83,-0.0181986428130784,32.35,31.72,32.38,20111559,641430880.0
2024-03-28,32.42,-0.00276837896031979,32.26,32.26,32.58,18375389,596365596.0
2024-03-27,32.51,0.00774953502789833,32.12,32.02,32.54,21995112,712636602.0
2024-03-26,32.26,0.000310077519379783,32.2,32.13,32.326,16233519,523440235.0
2024-03-25,32.25,0.00373482726423895,32.17,32.15,32.306,10429436,336106762.0
2024-03-22,32.13,-0.0129032258064514,32.25,32.06,32.37,16255994,523373524.0
2024-03-21,32.55,-0.00822669104204763,32.83,32.52,32.83,15538831,506749454.0
2024-03-20,32.82,0.023067331670823,32.18,32.085,32.865,23414853,761368114.0
2024-03-19,32.08,0.00281337918099406,31.99,31.91,32.34,21085285,677458819.0
2024-03-18,31.99,-0.00311623558741056,32.37,31.76,32.37,30430510,972746992.0
2024-03-15,32.09,-0.00956790123456775,32.25,32.0325,32.335,18366416,590478834.0
2024-03-14,32.4,-0.00856793145654838,32.65,32.23,32.66,18521672,600371508.0
2024-03-13,32.68,0.00399385560675891,32.49,32.46,32.77,20240973,660695348.0
2024-03-12,32.55,0.013387297633873,32.34,32.17,32.68,21034878,682237319.0
2024-03-11,32.12,-0.00649551500154658,32.0,32.0,32.415,21263816,684746187.0
2024-03-08,32.33,-0.0232628398791542,32.15,32.06,32.46,32149995,1038179225.0
2024-03-07,33.1,-0.0015082956259426,33.14,32.955,33.16,10832104,357966590.0
2024-03-06,33.15,0.00913242009132411,33.22,33.0386,33.31,13996950,464306518.0
2024-03-05,32.85,-0.00424371021521675,32.94,32.77,33.13,17522432,576120116.0
2024-03-04,32.99,-0.0063253012048193,33.07,32.94,33.16,12340467,407443051.0
2024-03-01,33.2,0.00575583156619221,33.21,32.93,33.355,17017954,565160777.0
2024-02-29,33.01,-0.0101949025487257,33.09,32.88,33.1439,26318788,868639059.0
2024-02-28,33.35,-0.0214201877934271,33.76,33.234,33.79,26366397,882798857.0
2024-02-27,34.08,0.0237308501051367,33.73,33.71,34.13,26621043,905041857.0
2024-02-26,33.29,0.00513285024154595,33.33,33.13,33.41,16878431,561277745.0
2024-02-23,33.12,-0.0110480740519559,33.31,33.0601,33.345,13705252,454709851.0
2024-02-22,33.49,-0.00593647966755701,33.71,33.46,33.74,20649542,693913579.0
2024-02-21,33.69,0.0,33.66,33.47,33.76,12357019,415792159.0
2024-02-20,33.69,0.0175173663545756,33.545,33.505,33.6975,24246593,815261848.0
2024-02-16,33.11,0.00945121951219519,32.86,32.83,33.21,23824609,788387752.0
2024-02-15,32.8,0.00768049155145929,32.62,32.5803,32.8867,20771189,680658145.0
2024-02-14,32.55,0.00867678958785231,32.51,32.5,32.815,26961350,879834417.0
2024-02-13,32.27,-0.0285972305839854,32.78,31.99,32.82,33561827,1084466834.0
2024-02-12,33.22,0.0088065593683571,32.84,32.84,33.44,14479476,482044061.0
2024-02-09,32.93,0.00672577193518798,32.77,32.725,33.05,19676156,647617067.0
2024-02-08,32.71,-0.0203653788559449,33.15,32.65,33.165,25990532,852951080.0
2024-02-07,33.39,-0.0050655542312277,33.3,33.2,33.48,14809653,493539848.0
2024-02-06,33.56,0.0269277845777235,33.08,33.08,33.57,19310601,646094073.0
