Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,242.82,0.00734287492221523,241.77,241.5101,243.02,4792690.0,1162004895.0
2024-10-09,241.05,-0.0054462185914098,241.16,240.64,241.84,4120486.0,993543700.0
2024-10-08,242.37,-0.0073719130114264,243.79,240.63,244.04,7669807.0,1856785653.0
2024-10-07,244.17,-0.00338775510204087,244.58,243.81,244.82,3849026.0,940307449.0
2024-10-04,245.0,-0.00199600798403197,245.0,244.045,246.69,5951628.0,1457700174.0
2024-10-03,245.49,-0.000692013351786972,244.72,243.69,245.91,5674503.0,1390849521.0
2024-10-02,245.66,0.000203574773014059,245.61,243.99,246.07,6798783.0,1666842890.0
2024-10-01,245.61,0.0104912367316712,245.2,245.06,246.98,10605494.0,2609781345.0
2024-09-30,243.06,-0.00799934699208231,243.97,242.5,244.08,6919352.0,1683693955.0
2024-09-27,245.02,-0.00793586525224706,246.31,244.19,246.75,8329633.0,2041449411.0
2024-09-26,246.98,0.00508688397835022,246.44,245.19,247.37,7041063.0,1735617065.0
2024-09-25,245.73,-0.00138172064859594,246.19,244.79,246.47,7393448.0,1816998685.0
2024-09-24,246.07,0.0139690126916103,243.39,243.15,246.19,8386348.0,2053169183.0
2024-09-23,242.68,0.00194046488584286,242.97,242.585,243.46,5426166.0,1317933677.0
2024-09-20,242.21,0.0127106242421709,241.11,240.47,242.625,7737416.0,1871245473.0
2024-09-19,239.17,0.0155407413697932,238.24,237.39,239.515,6108226.0,1458539344.0
2024-09-18,235.51,-0.00771045757141659,238.19,235.3,240.2896,11081114.0,2633929733.0
2024-09-17,237.34,-0.00553088075085893,238.08,236.61,238.6,5257119.0,1248572042.0
2024-09-16,238.66,-8.37942014413031e-05,238.73,238.05,239.278,4713541.0,1124597184.0
2024-09-13,238.68,0.00994372276054667,238.13,237.7575,238.98,7455078.0,1777415972.0
2024-09-12,236.33,0.0175672766415501,234.63,234.42,236.45,9944986.0,2343452843.0
2024-09-11,232.25,-0.00159057690654288,231.72,231.09,232.87,4637312.0,1076364124.0
2024-09-10,232.62,0.00440414507772025,232.39,231.12,232.74,4378349.0,1016881594.0
2024-09-09,231.6,0.00420587087542817,231.26,230.39,231.62,3548806.0,820287606.0
2024-09-06,230.63,-0.00740262534968797,231.83,229.62,232.76,6315824.0,1459110325.0
2024-09-05,232.35,0.00833224840515552,232.72,231.33,232.89,4838112.0,1123616168.0
2024-09-04,230.43,0.00060792913283258,229.79,229.375,231.06,4695980.0,1081934820.0
2024-09-03,230.29,-0.00432357646244974,230.38,228.52,230.54,6417918.0,1474285029.0
2024-09-02,,,,,,,
2024-08-30,231.29,-0.00712599270229662,232.53,230.5501,232.86,5742963.0,1329476172.0
2024-08-29,232.95,0.00517799352750804,231.95,231.92,233.61,5524161.0,1287049507.0
2024-08-28,231.75,-0.00702686490423748,232.0,230.73,232.02,4961482.0,1148720766.0
2024-08-27,233.39,0.00270665062725552,231.69,231.5701,233.47,4435606.0,1032637967.0
2024-08-26,232.76,0.00318938022584252,233.45,232.06,233.5,3151384.0,733472102.0
2024-08-23,232.02,0.0115533853598989,231.04,230.5199,232.73,5418171.0,1256559123.0
2024-08-22,229.37,-0.0119750161533491,230.35,228.26,230.38,5765369.0,1322312151.0
2024-08-21,232.15,-0.0013335627634862,231.69,230.48,232.87,5337388.0,1237101331.0
2024-08-20,232.46,0.00366996243685503,233.71,231.13,234.01,9073611.0,2111584746.0
2024-08-19,231.61,-0.00163800163800162,230.15,229.74,231.78,5164817.0,1193388413.0
2024-08-16,231.99,0.0223877308183862,229.99,229.005,232.02,11924536.0,2751528556.0
2024-08-15,226.91,0.00313881520778076,226.51,225.12,227.5,5273310.0,1196018147.0
2024-08-14,226.2,-0.00815574848724026,226.55,225.35,227.48,5462495.0,1236345542.0
2024-08-13,228.06,-0.00153233220962302,228.07,227.59,228.87,6740238.0,1537346042.0
2024-08-12,228.41,0.01714463840399,226.14,225.965,228.535,5561259.0,1265507462.0
2024-08-09,224.56,0.0024552475335923,224.82,223.82,225.28,4441017.0,997516440.0
2024-08-08,224.01,0.0156880525957832,222.73,222.515,224.25,6327054.0,1414732403.0
2024-08-07,220.55,-0.000679655641141719,221.94,220.35,222.31,5287817.0,1169955576.0
2024-08-06,220.7,-0.00800071916576772,221.5,220.11,222.14,14362267.0,3176114865.0
2024-08-05,222.48,-0.0126919321913553,220.56,220.241,223.1,8939011.0,1982735919.0
2024-08-02,225.34,-0.00190459317004034,227.95,222.865,228.76,11109387.0,2508000792.0
2024-08-01,225.77,-0.00344294857647319,226.74,225.05,227.57,7217224.0,1631549262.0
2024-07-31,226.55,0.0181107316196297,223.73,223.64,226.6,7316552.0,1647602946.0
2024-07-30,222.52,0.00998547567175026,221.41,220.355,222.92,4939531.0,1095745796.0
2024-07-29,220.32,-0.0014050673072565,221.26,219.045,221.55,4665057.0,1027190032.0
2024-07-26,220.63,0.010534511977282,219.96,219.7,221.04,6328784.0,1395004086.0
2024-07-25,218.33,-0.0156447249774572,219.02,217.52,219.2607,9777054.0,2135148995.0
2024-07-24,221.8,-0.00350435798364633,223.47,221.74,224.88,6838783.0,1526501297.0
2024-07-23,222.58,0.00351668169522092,222.34,221.86,222.75,4435700.0,986560093.0
2024-07-22,221.8,0.000315699273891767,221.58,220.4,221.92,5334060.0,1180386183.0
2024-07-19,221.73,-0.0179378155726814,221.52,221.41,222.68,8665956.0,1924033416.0
