Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,23.01,-0.000434404865334405,23.005,22.96,23.025,11256642.0,258957709.0
2024-10-09,23.02,-0.00303161541792985,23.055,23.01,23.06,40038603.0,922455800.0
2024-10-08,23.09,0.00130095403295755,23.03,23.03,23.09,6445569.0,148595130.0
2024-10-07,23.06,-0.00302637267617814,23.07,23.05,23.1,7017457.0,161867769.0
2024-10-04,23.13,-0.00729613733905587,23.14,23.12,23.19,6230280.0,144274410.0
2024-10-03,23.3,-0.00363480863801586,23.35,23.3,23.37,4239870.0,98898945.0
2024-10-02,23.385,-0.00255918106206009,23.365,23.34,23.4,5610152.0,131147153.0
2024-10-01,23.445,-0.000213219616204648,23.57,23.43,23.57,6828778.0,160285721.0
2024-09-30,23.45,-0.00255210548702689,23.49,23.42,23.5,5413017.0,127020631.0
2024-09-27,23.51,0.00320034136974623,23.48,23.4601,23.52,3520089.0,82703898.0
2024-09-26,23.435,-0.00042653017701009,23.45,23.4,23.47,8237336.0,193009178.0
2024-09-25,23.445,-0.00318877551020405,23.485,23.44,23.4899,4989394.0,117065037.0
2024-09-24,23.52,0.000851063829787216,23.45,23.43,23.53,3933503.0,92433582.0
2024-09-23,23.5,-0.000425350914504533,23.48,23.43,23.5283,4912637.0,115396131.0
2024-09-20,23.51,-0.00021263023601952,23.49,23.47,23.54,5185624.0,121910977.0
2024-09-19,23.515,-0.000637484062898452,23.49,23.4701,23.52,5383008.0,126480823.0
2024-09-18,23.53,-0.00359940715646823,23.56,23.52,23.689,8377327.0,197380032.0
2024-09-17,23.615,-0.00169097442401195,23.65,23.6,23.66,5039537.0,119052310.0
2024-09-16,23.655,0.00254291163382082,23.62,23.59,23.66,6755302.0,159686268.0
2024-09-13,23.595,0.00212359311955817,23.6,23.5601,23.61,6373030.0,150346794.0
2024-09-12,23.545,-0.0016959932160271,23.56,23.51,23.58,10638235.0,250383609.0
2024-09-11,23.585,-0.000847278119042558,23.56,23.55,23.6499,7551993.0,178081884.0
2024-09-10,23.605,0.00361394557823133,23.52,23.51,23.61,10130185.0,238960598.0
2024-09-09,23.52,0.00127713920817374,23.48,23.45,23.53,14097499.0,331363259.0
2024-09-06,23.49,0.00149221914303987,23.47,23.4201,23.5813,7005467.0,164612272.0
2024-09-05,23.455,0.00170830664104203,23.46,23.39,23.4682,4657807.0,109175218.0
2024-09-04,23.415,0.00536711034778875,23.32,23.31,23.42,6266696.0,146461302.0
2024-09-03,23.29,0.00215146299483652,23.28,23.2509,23.31,7631433.0,177705156.0
2024-08-30,23.24,-0.00236102167847192,23.31,23.23,23.33,6653929.0,154842020.0
2024-08-29,23.295,-0.00150021431633076,23.29,23.26,23.31,4085850.0,95185096.0
2024-08-28,23.33,-0.000214270409256591,23.345,23.32,23.3599,3567620.0,83252385.0
2024-08-27,23.335,-0.00042835724994637,23.285,23.28,23.35,3984532.0,92916303.0
2024-08-26,23.345,-0.000642123287671257,23.39,23.33,23.4,3977730.0,92904995.0
2024-08-23,23.36,0.00343642611683841,23.31,23.29,23.37,3962094.0,92505408.0
2024-08-22,23.28,-0.00363791996576064,23.31,23.24,23.32,4262111.0,99196421.0
2024-08-21,23.365,0.00150021431633091,23.34,23.3001,23.41,5325920.0,124424635.0
2024-08-20,23.33,0.00344086021505369,23.29,23.28,23.3399,6632015.0,154608803.0
2024-08-19,23.25,0.0010764262648008,23.22,23.21,23.28,15990394.0,371658876.0
2024-08-16,23.225,0.0021574973031284,23.22,23.18,23.23,8764068.0,203352607.0
2024-08-15,23.175,-0.00515132002575664,23.14,23.125,23.18,6163652.0,142755166.0
