Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,79.36,-0.000503778337531565,79.4,79.245,79.405,30091663,2387530776.0
2024-10-09,79.4,-0.000629326620516012,79.44,79.34,79.48,42426541,3368554258.0
2024-10-08,79.45,0.00239717385818821,79.37,79.3,79.46,40947173,3250120373.0
2024-10-07,79.26,-0.00427135678391946,79.54,79.25,79.54,69202483,5494121272.0
2024-10-04,79.6,-0.00112937633329155,79.68,79.54,79.71,40123192,3194432372.0
2024-10-03,79.69,-0.00237856785177764,79.78,79.625,79.81,31147731,2482665702.0
2024-10-02,79.88,0.000125203455615261,79.78,79.69,79.88,41214328,3288544098.0
2024-10-01,79.87,-0.0053549190535491,79.99,79.795,80.0,45992227,3675089252.0
2024-09-30,80.3,-0.000746640119462447,80.33,80.185,80.37,33014959,2651233935.0
2024-09-27,80.36,0.00249500998003996,80.22,80.2,80.37,36712729,2948363318.0
2024-09-26,80.16,0.00162439085342991,80.19,80.02,80.19,32732328,2622284697.0
2024-09-25,80.03,-0.00112331502745885,80.08,80.02,80.11,28899134,2313511049.0
2024-09-24,80.12,0.000124828361003684,80.12,80.0,80.18,28674487,2296561669.0
2024-09-23,80.11,-0.00186892599053085,80.19,80.08,80.21,29049433,2327709428.0
2024-09-20,80.26,0.00124750499002007,80.16,80.0,80.26,43626291,3496523574.0
2024-09-19,80.16,0.00300300300300294,80.29,80.09,80.33,48785866,3912760784.0
2024-09-18,79.92,0.000876643706950625,79.88,79.79,80.28,39546885,3161723143.0
2024-09-17,79.85,0.000250532381310235,79.9,79.795,79.94,27423938,2190286260.0
2024-09-16,79.83,0.00251161622504085,79.66,79.64,79.9,31402379,2505485250.0
2024-09-13,79.63,0.00277043193552448,79.52,79.5,79.68,31806798,2532794356.0
2024-09-12,79.41,0.00138713745271122,79.25,79.21,79.49,28514983,2263097734.0
2024-09-11,79.3,0.00151553422581448,79.09,78.97,79.31,42342716,3349675327.0
2024-09-10,79.18,-0.00189083574940113,79.34,79.1,79.37,38347695,3036318082.0
2024-09-09,79.33,0.00240080869345461,79.27,79.16,79.38,24823844,1967752831.0
2024-09-06,79.14,-0.00126198889449766,79.27,78.99,79.38,49888852,3949997935.0
2024-09-05,79.24,0.00341901988096741,79.11,79.05,79.28,44386168,3513891801.0
2024-09-04,78.97,0.00368581596339593,78.66,78.66,79.05,32371770,2555810402.0
2024-09-03,78.68,-0.00831862868666494,78.88,78.65,78.96,31596789,2489470098.0
2024-08-30,79.34,0.000126055716626814,79.42,79.24,79.42,27633330,2192297179.0
2024-08-29,79.33,0.00100946372239745,79.33,79.23,79.356,18352997,1455510896.0
2024-08-28,79.25,-0.000504477235464828,79.31,79.18,79.32,22351597,1771528198.0
2024-08-27,79.29,0.000630994447249008,79.15,79.115,79.37,22784296,1806595414.0
2024-08-26,79.24,-0.00201511335012608,79.39,79.23,79.43,20460148,1622513462.0
2024-08-23,79.4,0.00531780197518361,79.18,79.08,79.4,32590939,2584795182.0
2024-08-22,78.98,-0.0012645422357106,79.08,78.89,79.09,29292075,2312977106.0
2024-08-21,79.08,0.00228136882129268,78.98,78.905,79.115,34266650,2708019671.0
2024-08-20,78.9,-0.000886412561732217,79.01,78.77,79.03,33189324,2617673160.0
2024-08-19,78.97,0.0016489091831557,78.81,78.75,79.0,29604302,2336625873.0
2024-08-16,78.84,0.00318106629342155,78.55,78.54,78.88,33682622,2652741764.0
2024-08-15,78.59,0.000891492613347012,78.56,78.45,78.62,39411308,3095621742.0
2024-08-14,78.52,0.00178616994131157,78.36,78.3,78.55,36086949,2830723475.0
2024-08-13,78.38,0.00461420148679825,78.11,78.09,78.39,37310229,2918390300.0
2024-08-12,78.02,0.00064127228421184,78.04,77.87,78.04,33878412,2641251354.0
2024-08-09,77.97,-0.000128238009746154,78.02,77.83,78.09,29759928,2319400965.0
2024-08-08,77.98,0.00412052536698439,77.9,77.79,78.02,31528083,2456763354.0
2024-08-07,77.66,0.00193523416333365,77.98,77.61,78.01,56107845,4365422808.0
2024-08-06,77.51,0.00375550375550384,77.48,77.17,77.81,60113414,4662124029.0
2024-08-05,77.22,-0.00617760617760623,76.64,76.58,77.38,103822038,8013197300.0
2024-08-02,77.7,-0.00333504361210866,77.81,77.615,77.965,71578675,5566829653.0
2024-08-01,77.96,-0.0073847720906546,78.19,77.945,78.295,51319752,4006979836.0
2024-07-31,78.54,0.00357781753130592,78.47,78.36,78.6,50714825,3980780978.0
2024-07-30,78.26,0.000511378164152471,78.33,78.12,78.35,33652109,2631930890.0
2024-07-29,78.22,-0.000894111636224389,78.4,78.14,78.44,28468357,2227002098.0
2024-07-26,78.29,0.00320348539210661,78.37,78.21,78.37,23683703,1854069847.0
2024-07-25,78.04,0.000128155837498464,78.08,78.04,78.33,35409044,2768061842.0
2024-07-24,78.03,-0.00319366377107818,78.2,78.01,78.31,37612848,2940002060.0
2024-07-23,78.28,0.00012776287210943,78.26,78.23,78.42,28826851,2258035813.0
2024-07-22,78.27,0.00371890228263647,78.17,78.11,78.28,32378828,2532640424.0
2024-07-19,77.98,-0.000768836494105616,78.12,77.88,78.13,36125664,2816657199.0
2024-07-18,78.04,-0.00204603580562655,78.24,77.97,78.27,42512965,3319544761.0
2024-07-17,78.2,-0.00114957210371699,78.06,78.025,78.25,32750462,2560737424.0
2024-07-16,78.29,0.00384664700602656,78.07,77.995,78.33,41375394,3235787601.0
2024-07-15,77.99,0.000128238009745972,78.04,77.9,78.07,23235637,1811446421.0
2024-07-12,77.98,0.00257135510413992,77.79,77.79,78.02,31688122,2469867417.0
2024-07-11,77.78,0.00361290322580647,77.76,77.71,77.84,44932525,3494432396.0
2024-07-10,77.5,0.00232798758406631,77.41,77.37,77.515,25361916,1964459641.0
2024-07-09,77.32,-0.0011626404857254,77.41,77.23,77.41,19148475,1480506890.0
2024-07-08,77.41,-0.000258297817383575,77.41,77.31,77.48,26961963,2086472633.0
2024-07-05,77.43,0.00297927461139902,77.28,77.235,77.45,25941534,2007263139.0
2024-07-03,77.2,0.00350968412842839,76.92,76.92,77.2,22067286,1701623626.0
2024-07-02,76.93,0.00273722627737237,76.73,76.69,76.95,30418357,2337450162.0
2024-07-01,76.72,-0.00544464609800365,76.87,76.69,76.92,31113111,2388256681.0
2024-06-28,77.14,-0.00245700245700243,77.38,77.14,77.52,34951989,2701756304.0
2024-06-27,77.33,0.00116519937856038,77.2,77.18,77.33,29404476,2271403495.0
2024-06-26,77.24,-0.00219609869525903,77.26,77.17,77.27,29282017,2261339148.0
2024-06-25,77.41,0.00129349372655535,77.36,77.28,77.42,27584335,2134095185.0
2024-06-24,77.31,-0.00103372528750482,77.36,77.31,77.51,28766193,2226536295.0
2024-06-21,77.39,0.00116429495472191,77.29,77.21,77.41,29150537,2254205285.0
2024-06-20,77.3,-0.000646412411118257,77.32,77.14,77.34,26989039,2084333609.0
2024-06-18,77.35,0.00311243677862787,77.2,77.18,77.41,46845531,3622334924.0
2024-06-17,77.11,0.000648845055800638,76.94,76.84,77.19,33165176,2555823521.0
2024-06-14,77.06,-0.00387797311271971,77.11,76.95,77.18,52953288,4079549858.0
2024-06-13,77.36,-0.00012924906294436,77.55,77.26,77.55,38531961,2979981273.0
