Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,40.69,0.00221674876847282,40.63,40.48,40.7,22188,900842.0
2024-10-09,40.6,-0.00951451573554527,40.99,40.54,40.99,29822,1213460.0
2024-10-08,40.99,0.0022004889975551,41.04,40.7901,41.04,950284,38939690.0
2024-10-07,40.9,-0.00365408038976854,40.65,40.65,40.939,20754,847257.0
2024-10-04,41.05,-0.00460717749757529,40.69,40.69,41.22,118798,4858924.0
2024-10-03,41.24,-0.00698290392487356,41.29,41.06,41.46,337059,13917598.0
2024-10-02,41.53,-0.0062215841110313,41.51,41.32,41.75,134108,5568633.0
2024-10-01,41.79,-0.000717360114777646,41.72,41.6,42.2751,114606,4791112.0
2024-09-30,41.82,-0.00641482537419822,41.85,41.8182,42.125,38051,1595258.0
2024-09-27,42.09,0.00501432664756449,41.99,41.9801,42.2048,20762,872361.0
2024-09-26,41.88,0.00383509108341332,41.96,41.8255,41.98,703414,29479900.0
2024-09-25,41.72,-0.00643010240533468,41.81,41.72,42.055,12930,540508.0
2024-09-24,41.99,0.00526693799377541,41.78,41.78,42.12,16644,698100.0
2024-09-23,41.77,0.00119846596356674,41.72,41.61,41.8,27864,1162414.0
2024-09-20,41.72,-0.00429594272076372,41.82,41.6723,41.87,20744,866705.0
2024-09-19,41.9,0.00503717917965941,41.88,41.675,41.94,39568,1656348.0
2024-09-18,41.69,-0.00310856049736974,41.78,41.67,42.21,31022,1298712.0
2024-09-17,41.82,-0.00428571428571428,41.98,41.78,42.09,25527,1069754.0
2024-09-16,42.0,0.0055063442662197,41.92,41.85,42.08,20060,841540.0
2024-09-13,41.77,0.00264042246759497,41.77,41.76,41.9994,69172,2898813.0
2024-09-12,41.66,0.00288878189696672,41.64,41.51,41.78,24683,1027876.0
2024-09-11,41.54,0.00217129071170076,41.26,41.26,41.6659,25251,1048692.0
2024-09-10,41.45,0.00120772946859914,41.15,41.15,41.5399,67025,2777814.0
2024-09-09,41.4,-0.00120627261761168,41.66,41.14,41.66,24841,1028815.0
2024-09-06,41.45,-0.002166586422725,41.71,41.3708,41.81,37450,1555226.0
2024-09-05,41.54,0.00120510966497944,41.65,41.42,41.65,440047,18325168.0
2024-09-04,41.49,0.0102264426588751,41.24,41.2085,41.53,50165,2076691.0
2024-09-03,41.07,0.000243546030199659,40.86,40.83,41.24,1947856,79867317.0
2024-08-30,41.06,-0.00484730974309248,41.19,41.0201,41.3236,36037,1480827.0
2024-08-29,41.26,-0.00530376084860171,41.56,41.24,41.56,24991,1033750.0
2024-08-28,41.48,-0.000722717417489789,41.36,41.36,41.5776,24947,1033937.0
2024-08-27,41.51,-0.00240326844508535,41.68,41.4,41.68,16676,692385.0
2024-08-26,41.61,-0.000720461095100892,41.46,41.455,41.71,34426,1432860.0
2024-08-23,41.64,0.0106796116504854,41.38,41.23,41.7222,19551,812724.0
2024-08-22,41.2,-0.0100913022585294,41.36,41.15,41.58,43527,1794430.0
2024-08-21,41.62,0.00677310111272361,41.62,41.09,41.75,70475,2927466.0
2024-08-20,41.34,0.00583941605839421,40.96,40.96,41.46,32535,1344380.0
2024-08-19,41.1,0.0056275997063862,40.69,40.59,41.2,495509,20341829.0
2024-08-16,40.87,0.00442369132464978,41.08,40.76,41.08,37459,1533684.0
2024-08-15,40.69,-0.00586366967994141,40.98,40.5925,41.04,29252,1191855.0
2024-08-14,40.93,-0.000732421875000028,40.82,40.79,41.21,512730,21032621.0
2024-08-13,40.96,0.010110974106042,40.79,40.58,41.04,31360,1282718.0
2024-08-12,40.55,0.0,40.32,40.32,40.68,53456,2169785.0
2024-08-09,40.55,0.000740375123395707,40.55,40.5291,40.76,59300,2408763.0
2024-08-08,40.52,0.00247402276100944,39.93,39.93,40.52,20991,847589.0
2024-08-07,40.42,-0.00418822370041886,40.59,40.31,40.59,30705,1240941.0
2024-08-06,40.59,-0.00563449289563932,40.49,40.49,40.9,36744,1495417.0
2024-08-05,40.82,0.00889767671774591,40.55,40.55,41.22,47225,1930405.0
2024-08-02,40.46,0.0107419435423432,40.03,40.03,40.64,87526,3550133.0
2024-08-01,40.03,0.00275551102204407,39.99,39.76,40.08,1113860,44613013.0
2024-07-31,39.92,0.00402414486921538,39.9,39.8388,39.985,544294,21723946.0
2024-07-30,39.76,0.0022687169145449,39.64,39.5621,39.77,13743,544988.0
2024-07-29,39.67,-0.000252016129032208,39.48,39.18,39.67,10280,407026.0
2024-07-26,39.68,0.000504286434694986,39.68,39.4834,39.95,23354,926034.0
2024-07-25,39.66,0.00711020822752651,39.59,39.47,39.71,14991,594183.0
2024-07-24,39.38,-0.00655903128153375,39.81,39.37,39.81,56456,2231927.0
2024-07-23,39.64,0.00558092338914254,39.48,39.43,39.64,33790,1336740.0
2024-07-22,39.42,-0.00328697850821733,39.21,39.2,39.5715,58913,2324255.0
2024-07-19,39.55,-0.00327620967741942,39.52,39.46,39.6562,27133,1073678.0
2024-07-18,39.68,-0.00501504513540629,39.68,39.671,39.9189,17023,677548.0
2024-07-17,39.88,0.00478710002519539,39.69,39.69,39.935,27663,1102966.0
2024-07-16,39.69,0.00201969199697042,39.6,39.55,39.8299,545351,21621969.0
2024-07-15,39.61,-0.00276938569989928,39.66,39.59,39.7847,40237,1596331.0
2024-07-12,39.72,0.00633392449961996,39.63,39.53,39.74,291467,11557596.0
2024-07-11,39.47,0.00765892264488121,39.31,39.31,39.64,90779,3583190.0
2024-07-10,39.17,0.00461656835085919,39.19,39.06,39.25,18165,710995.0
2024-07-09,38.99,-0.00611776701503938,39.37,38.9392,39.37,124837,4869941.0
2024-07-08,39.23,-0.00178117048346057,39.42,38.78,39.42,34399,1345311.0
2024-07-05,39.3,0.00950423837657327,39.11,38.77,39.45,1657213,65061692.0
2024-07-03,38.93,0.0106438213914849,38.69,38.43,39.03,218691,8517548.0
2024-07-02,38.52,-0.00207253886010358,38.6,38.21,38.98,289851,11195326.0
2024-07-01,38.6,-0.000259000259000207,38.68,38.423,38.68,145086,5595720.0
2024-06-28,38.61,-0.0015515903801397,38.76,38.56,38.7983,107065,4135268.0
2024-06-27,38.67,0.000517464424320909,38.8,38.66,38.8,58307,2258501.0
2024-06-26,38.65,-0.00859304860843917,39.04,38.59,39.04,425068,16426102.0
2024-06-25,38.985,-0.000896975909789946,39.19,38.88,39.19,72518,2827467.0
2024-06-24,39.02,0.0012830382345395,38.75,38.75,39.086,55990,2182474.0
2024-06-21,38.97,0.000256673511293583,39.27,38.82,39.27,98140,3816254.0
2024-06-20,38.96,-0.00383533623114289,38.61,38.61,39.09,28538,1111077.0
2024-06-18,39.11,0.0020497053548552,38.91,38.8101,39.222,26056,1019929.0
2024-06-17,39.03,-0.000895942659669694,39.1,38.95,39.11,25860,1009454.0
2024-06-14,39.065,0.00166666666666661,39.14,38.9,39.1895,41344,1616674.0
2024-06-13,39.0,-0.00204708290685768,39.34,38.9701,39.34,14091,550061.0
2024-06-12,39.08,0.00903692228246841,39.27,39.08,39.345,35868,1405500.0
2024-06-11,38.73,0.00181065700982929,38.92,38.33,38.92,50607,1955946.0
2024-06-10,38.66,-0.00693552530182387,39.15,38.57,39.15,21139,819213.0
2024-06-07,38.93,-0.0104219623792578,39.1,38.841,39.1,40956,1596043.0
2024-06-06,39.34,-0.00025412960609906,38.91,38.91,39.4772,21545,846920.0
2024-06-05,39.35,-0.000254065040650356,39.49,39.29,39.49,16671,656817.0
2024-06-04,39.36,0.0030581039755351,39.3,39.3,39.5,66066,2604379.0
2024-06-03,39.24,0.00874035989717232,39.09,39.02,39.38,441414,17320610.0
2024-05-31,38.9,0.0033531080732524,39.01,38.8,39.08,43686,1698849.0
2024-05-30,38.77,0.00518537723619401,38.41,38.41,38.875,36141,1402309.0
2024-05-29,38.57,-0.0117858057904176,38.85,38.57,38.88,41564,1608209.0
2024-05-28,39.03,-0.00179028132992328,39.28,39.0,39.28,28570,1119126.0
2024-05-24,39.1,0.00307850179579283,39.04,38.96,39.1192,40020,1563638.0
2024-05-23,38.98,-0.00179257362355955,39.19,38.86,39.19,45139,1758819.0
2024-05-22,39.05,-0.00408059168579453,39.15,39.01,39.1591,40479,1582795.0
2024-05-21,39.21,-0.00101910828025476,39.33,39.05,39.4018,60347,2366934.0
2024-05-20,39.25,-0.00101807075591751,39.29,38.87,39.37,17625,691630.0
2024-05-17,39.29,-0.00279187817258882,39.33,39.28,39.39,37529,1476510.0
2024-05-16,39.4,-0.00303643724696368,39.53,39.4,39.7673,39607,1563357.0
2024-05-15,39.52,0.0135932290330854,39.34,39.31,39.57,38222,1508719.0
2024-05-14,38.99,0.000513215293815836,38.97,38.97,39.11,31727,1238292.0
2024-05-13,38.97,0.00154202004626066,39.12,38.96,39.17,52354,2044152.0
2024-05-10,38.91,-0.00256344527044351,38.95,38.881,38.986,18873,734608.0
2024-05-09,39.01,0.0020549704597996,38.9,38.9,39.06,51899,2023737.0
2024-05-08,38.93,-0.0038382804503582,38.92,38.87,39.08,251774,9804132.0
2024-05-07,39.08,-0.000767067246228615,39.26,39.06,39.31,35817,1401080.0
2024-05-06,39.11,0.000255754475703274,39.2,39.09,39.201,29719,1163455.0
2024-05-03,39.1,0.00747230095336251,39.15,38.99,39.24,36048,1409435.0
2024-05-02,38.81,0.00988810824876405,38.52,38.52,38.85,24550,951169.0
2024-05-01,38.43,0.00418082048602029,38.83,38.3,38.83,350592,13513178.0
2024-04-30,38.27,-0.00983182406209561,38.39,38.27,38.49,67830,2603634.0
2024-04-29,38.65,0.00782268578878741,38.55,38.37,38.73,56673,2186832.0
2024-04-26,38.35,-0.00130208333333326,38.41,38.31,38.5899,33156,1272292.0
2024-04-25,38.4,-0.00052056220718384,38.34,38.16,38.5599,28424,1091102.0
2024-04-24,38.42,-0.00646495991724851,38.49,38.35,38.49,77959,2995276.0
2024-04-23,38.67,0.00363353231248379,38.47,38.47,38.7,34930,1349631.0
2024-04-22,38.53,0.00182007280291212,38.47,38.4251,38.57,20856,803504.0
2024-04-19,38.46,0.00026007802340697,38.51,38.46,38.59,191694,7390930.0
2024-04-18,38.45,-0.00414400414400406,38.61,38.32,38.61,37026,1426641.0
2024-04-17,38.61,0.00599270453361117,38.64,38.42,38.66,26580,1024797.0
2024-04-16,38.38,-0.00749935350400825,38.49,38.24,38.52,38542,1478276.0
2024-04-15,38.67,-0.0041205253669842,38.61,38.557,38.72,112804,4355029.0
2024-04-12,38.83,-0.00410361631187493,39.39,38.81,39.39,87287,3394527.0
2024-04-11,38.99,-0.00230296827021485,39.39,38.808,39.39,44341,1726898.0
2024-04-10,39.08,-0.0151209677419355,39.36,38.99,39.36,41722,1632154.0
2024-04-09,39.68,0.00430270817514558,39.83,39.56,39.83,28587,1134804.0
2024-04-08,39.51,0.000506457330969765,39.57,39.395,39.57,25095,991335.0
2024-04-05,39.49,-0.00428643469490657,39.42,39.39,39.6,47348,1869424.0
2024-04-04,39.66,0.005578093306288,39.71,39.24,39.75,76918,3047469.0
2024-04-03,39.44,0.00279684719043985,39.39,38.92,39.6,311474,12269369.0
2024-04-02,39.33,0.00254906958959983,39.29,38.9,39.33,150374,5896070.0
2024-04-01,39.23,-0.0100933636134243,39.06,39.0501,39.46,218812,8584222.0
2024-03-28,39.63,-0.00452147701582516,39.97,39.61,39.97,42783,1697779.0
2024-03-27,39.81,0.00201359174427398,39.98,39.7,39.98,102133,4064622.0
2024-03-26,39.73,0.00100781053162003,40.22,39.6731,40.22,28081,1116692.0
2024-03-25,39.69,-0.0010067958721369,40.11,39.42,40.11,26616,1057465.0
2024-03-22,39.73,-0.000503144654088129,40.25,39.572,40.25,31441,1250242.0
2024-03-21,39.75,-0.0035096515417398,39.85,39.6,39.9,48812,1940456.0
2024-03-20,39.89,0.00605296343001266,40.06,39.5786,40.06,42549,1692963.0
2024-03-19,39.65,-0.00176233635448138,39.72,39.6218,39.79,31539,1251709.0
2024-03-18,39.72,-0.00251130085384233,39.74,39.67,39.8789,50173,1995805.0
2024-03-15,39.82,-0.00150451354062192,39.87,39.74,39.9299,51139,2034935.0
2024-03-14,39.88,-0.00894632206759442,40.04,39.81,40.0796,20672,825438.0
2024-03-13,40.24,-0.000248447204968895,40.26,40.19,40.3199,29884,1202714.0
2024-03-12,40.25,-0.00346620450606587,40.15,40.1201,40.3,40783,1640107.0
2024-03-11,40.39,-0.00271604938271604,40.43,40.283,40.51,55142,2225044.0
2024-03-08,40.5,0.00272344639762316,40.63,40.44,40.8,126840,5139638.0
2024-03-07,40.39,0.00647894343383997,40.24,40.2096,40.39,141468,5704317.0
2024-03-06,40.13,0.00551240290653986,40.1,39.992,40.22,40170,1611572.0
2024-03-05,39.91,0.00554295792391028,39.96,39.86,40.0,38700,1544896.0
2024-03-04,39.69,0.000756429652042389,39.7,39.562,39.8299,49355,1959749.0
2024-03-01,39.66,0.00328864153807223,39.63,39.31,39.73,48025,1903171.0
2024-02-29,39.53,0.0,39.54,39.51,39.7393,83950,3319287.0
2024-02-28,39.53,-0.00101086681829667,39.42,39.42,39.55,26963,1065140.0
2024-02-27,39.57,-0.000757575757575786,39.64,39.5001,39.64,42420,1678859.0
2024-02-26,39.6,-0.00226757369614503,39.72,39.5396,39.72,35409,1403074.0
2024-02-23,39.69,0.00176678445229683,39.69,39.5901,39.72,83147,3298791.0
2024-02-22,39.62,0.00405473897617832,39.55,39.44,39.62,78189,3090927.0
2024-02-21,39.46,-0.00151821862348184,39.59,39.38,39.59,34935,1378615.0
2024-02-20,39.52,0.00202839756592306,39.68,39.4548,39.7207,63761,2521935.0
2024-02-16,39.44,-0.00151898734177221,39.4,39.18,39.4999,69437,2736456.0
2024-02-15,39.5,0.00381194409148662,39.58,39.3698,39.67,32930,1301565.0
2024-02-14,39.35,0.00949204720369432,39.2,39.07,39.37,194879,7648367.0
2024-02-13,38.98,-0.0131645569620254,39.12,38.9548,39.2,172655,6731216.0
2024-02-12,39.5,0.000506585612968671,39.41,39.3529,39.59,34224,1351080.0
2024-02-09,39.48,0.00126806999746379,39.42,39.3001,39.52,48633,1917844.0
2024-02-08,39.43,-0.00353803386403843,39.47,39.34,39.529,35785,1411119.0
2024-02-07,39.57,-0.00151400454201368,39.63,39.51,39.64,336979,13338777.0
2024-02-06,39.63,0.00532724505327247,39.45,39.32,39.64,48627,1922738.0
2024-02-05,39.42,-0.0107904642409034,39.48,39.26,39.48,58068,2286770.0
2024-02-02,39.85,-0.011656746031746,39.94,39.67,39.9499,118075,4690997.0
2024-02-01,40.32,0.009009009009009,39.98,39.94,40.35,455658,18231600.0
2024-01-31,39.96,0.0,40.17,39.8722,40.2985,120776,4837955.0
2024-01-30,39.96,-0.000500250125062432,40.03,39.8,40.05,64857,2588465.0
2024-01-29,39.98,0.00452261306532663,39.93,39.72,39.99,285795,11405119.0
2024-01-26,39.8,0.000754337440281469,39.77,39.6026,39.833,31271,1244014.0
2024-01-25,39.77,0.00100679587213708,39.99,39.69,39.99,62835,2499384.0
2024-01-24,39.73,0.00227043390514622,39.98,39.68,40.0162,108957,4330730.0
2024-01-23,39.64,-0.00427028384827937,39.78,39.51,39.78,33456,1325215.0
2024-01-22,39.81,0.000502638853983491,39.95,39.8,39.965,50057,1996345.0
2024-01-19,39.79,0.00226700251889159,39.77,39.657,39.85,224409,8916909.0
2024-01-18,39.7,-0.00113221788904251,39.79,39.602,39.79,34143,1355369.0
2024-01-17,39.745,-0.00587793896948473,39.85,39.6462,39.85,42099,1671733.0
2024-01-16,39.98,-0.0147856086742238,40.23,39.88,40.23,312079,12460843.0
2024-01-12,40.58,0.000739827373612852,40.74,40.5,40.77,49103,1994766.0
2024-01-11,40.55,0.00470763131813671,40.48,40.26,40.55,47219,1908921.0
2024-01-10,40.36,-0.000990099009900969,40.48,40.33,40.51,42259,1707048.0
2024-01-09,40.4,-0.0039447731755425,40.5,40.32,40.5,187623,7581068.0
2024-01-08,40.56,0.00420896261450858,40.36,40.36,40.7103,125294,5076942.0
2024-01-05,40.39,-0.00345423143350606,40.52,40.02,40.74,159055,6441638.0
2024-01-04,40.53,-0.00831906043552719,40.53,40.16,40.68,195792,7935686.0
2024-01-03,40.87,0.00122488975992154,40.76,40.62,40.8938,68202,2781007.0
2024-01-02,40.82,-0.0123397048149044,40.93,40.79,41.0206,279796,11442535.0
2023-12-29,41.33,-0.00457610789980744,41.27,41.27,41.4899,400495,16596254.0
2023-12-28,41.52,-0.00598515681110845,41.73,41.47,41.8099,17148,713606.0
2023-12-27,41.77,0.00845002414292616,41.72,41.6162,41.925,122976,5147419.0
2023-12-26,41.42,0.00145067698259193,41.26,41.21,41.4843,62449,2583867.0
2023-12-22,41.36,0.000968054211035797,41.42,41.1814,41.51,127483,5278817.0
2023-12-21,41.32,0.0073135056070209,41.28,41.16,41.36,255533,10545531.0
2023-12-20,41.02,0.00170940170940172,41.22,41.01,41.22,40274,1656330.0
2023-12-19,40.95,0.00713231677324167,40.85,40.85,41.08,30400,1246098.0
2023-12-18,40.66,-0.000982800982801136,40.78,40.56,40.78,38918,1581157.0
2023-12-15,40.7,-0.00122699386503061,40.79,40.625,40.98,85667,3493525.0
2023-12-14,40.75,0.0119195430841817,40.64,40.505,41.0,78112,3181476.0
2023-12-13,40.27,0.0179474216380182,39.84,39.5456,40.33,149887,6004842.0
2023-12-12,39.56,0.00482600965201943,39.57,39.362,39.59,112498,4447065.0
2023-12-11,39.37,-0.00152168399695669,39.3,39.2,39.3702,12919215,507594525.0
2023-12-08,39.43,-0.0085491576565251,39.39,39.3007,39.8199,60792,2396489.0
2023-12-07,39.77,0.00277357539082215,39.59,39.59,39.92,158629,6310913.0
2023-12-06,39.66,0.00455927051671732,39.58,39.5446,39.6871,47885,1896826.0
2023-12-05,39.48,0.0035587188612098,39.51,39.36,39.51,175244,6906496.0
2023-12-04,39.34,-0.00455465587044534,39.25,39.2,39.52,108622,4266025.0
2023-12-01,39.52,0.0104832523651241,39.21,39.11,39.57,124540,4897529.0
2023-11-30,39.11,-0.0113751263902933,39.16,39.0564,39.59,193347,7571387.0
2023-11-29,39.56,0.00482600965201943,39.57,39.46,39.66,87239,3451881.0
2023-11-28,39.37,0.00664791613398103,39.22,39.2,39.46,92007,3620490.0
2023-11-27,39.11,0.00695159629248187,39.03,38.89,39.15,148384,5800213.0
2023-11-24,38.84,-0.000514668039114669,38.87,38.66,38.93,33063,1284042.0
2023-11-22,38.86,-0.00307850179579265,38.95,38.75,38.97,54351,2111084.0
2023-11-21,38.98,0.000256607646907827,39.22,38.76,39.2718,61397,2396058.0
2023-11-20,38.97,0.00489943269726657,38.82,38.645,39.0,106687,4152215.0
2023-11-17,38.78,0.00805822719001826,38.76,38.6487,38.79,53517,2073221.0
2023-11-16,38.47,0.00391440501043838,38.3,38.285,38.66,1693005,65197247.0
2023-11-15,38.32,-0.00596627756160822,38.5,38.31,38.545,110989,4260191.0
2023-11-14,38.55,0.0230891719745222,38.21,38.21,38.6099,71864,2767774.0
2023-11-13,37.68,0.0015948963317385,37.49,37.4859,37.73,77473,2917706.0
2023-11-10,37.62,0.00159744408945674,37.68,37.56,37.7,82193,3092828.0
2023-11-09,37.56,-0.00897097625329806,37.83,37.56,37.95,124311,4688555.0
2023-11-08,37.9,0.00423953365129827,37.84,37.756,37.97,79232,3004361.0
2023-11-07,37.74,0.00185824263339528,37.71,37.58,37.84,42571,1608191.0
2023-11-06,37.67,-0.00291159343568024,37.74,37.66,37.8668,378864,14284639.0
2023-11-03,37.78,0.0120546477364051,37.75,37.7,37.91,1953591,73814700.0
2023-11-02,37.33,0.00973762510143358,37.49,37.2725,37.49,94759,3542899.0
2023-11-01,36.97,0.0059863945578231,36.66,36.6,37.0,110208,4061314.0
2023-10-31,36.75,-0.00621957815035146,36.9,36.72,36.9334,180214,6632262.0
2023-10-30,36.98,0.00325556158437324,36.86,36.8214,37.01,97593,3605724.0
2023-10-27,36.86,0.00135832654170055,36.86,36.815,36.93,101488,3740274.0
2023-10-26,36.81,0.00354416575790629,36.68,36.66,36.83,138972,5107678.0
2023-10-25,36.68,-0.00784419799837704,36.8,36.6531,36.8168,62864,2307428.0
2023-10-24,36.97,-0.0035040431266847,37.02,36.895,37.0288,195865,7237281.0
2023-10-23,37.1,0.00623813398426916,36.8,36.69,37.1171,103676,3829619.0
2023-10-20,36.87,0.00244698205546483,36.78,36.78,36.87,59023,2173966.0
2023-10-19,36.78,0.00108873162765376,36.78,36.7,36.91,67252,2472607.0
2023-10-18,36.74,-0.00702702702702697,36.86,36.7,36.88,112118,4126620.0
