Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,57.1,-0.00418555981862578,57.17,56.965,57.17,3756746.0,214375879.0
2024-10-09,57.34,0.00455501051156281,57.25,57.1,57.4,4680699.0,268247871.0
2024-10-08,57.08,0.0180131977884787,57.16,56.955,57.19,6188239.0,353008427.0
2024-10-07,56.07,-0.0180385288966725,56.56,56.05,56.6,8277614.0,465670807.0
2024-10-04,57.1,-0.00401186115471824,57.08,57.0,57.21,5886077.0,336013951.0
2024-10-03,57.33,-0.0117221168764006,57.59,57.31,57.655,5397542.0,309983256.0
2024-10-02,58.01,-0.00292196631144726,58.22,57.8,58.25,5704736.0,330751258.0
2024-10-01,58.18,-0.00597983939859903,58.67,58.0,58.67,6259606.0,364311531.0
2024-09-30,58.53,-0.0101471334348047,58.58,58.35,58.58,4624007.0,270342320.0
2024-09-27,59.13,-0.00118243243243244,59.35,59.11,59.37,5766659.0,341406647.0
2024-09-26,59.2,0.00441126569392611,59.49,59.1,59.49,4135785.0,244918028.0
2024-09-25,58.94,0.000849040584139874,59.13,58.92,59.145,4101739.0,242118052.0
2024-09-24,58.89,-0.00456389452332651,59.11,58.88,59.12,7121991.0,419821797.0
2024-09-23,59.16,0.00715015321756886,59.19,59.06,59.24,2950339.0,174542111.0
2024-09-20,58.74,0.0108415074858028,58.65,58.57,58.83,5085777.0,298598153.0
2024-09-19,58.11,0.00780437044745062,57.96,57.83,58.17,6901004.0,400533961.0
2024-09-18,57.66,-0.00517598343685308,57.77,57.64,58.065,4614404.0,266627897.0
2024-09-17,57.96,-0.00292447961465683,58.14,57.87,58.14,4346121.0,252056925.0
2024-09-16,58.13,0.00484010371650823,58.04,57.95,58.14,4502235.0,261359273.0
2024-09-13,57.85,0.00155817174515241,57.78,57.71,57.9,3747595.0,216775011.0
2024-09-12,57.76,0.0111159737417943,57.56,57.54,57.77,4840545.0,279072499.0
2024-09-11,57.125,0.00149018232819076,57.04,56.6101,57.15,2289955.0,130335694.0
2024-09-10,57.04,0.00158033362598764,57.21,56.95,57.21,3217891.0,183754809.0
2024-09-09,56.95,0.00778623252521686,56.91,56.8713,57.095,2635008.0,150063788.0
2024-09-06,56.51,-0.012753319357093,56.89,56.475,56.945,5968116.0,337684759.0
2024-09-05,57.24,-0.00538662033014761,57.32,57.21,57.44,3658856.0,209585114.0
2024-09-04,57.55,0.00471368715083792,57.41,57.41,57.61,3587667.0,206408667.0
2024-09-03,57.28,-0.00762300762300758,57.65,57.19,57.65,4129719.0,236845313.0
2024-08-30,57.72,0.00785751702462015,57.53,57.495,57.75,5411367.0,311966259.0
2024-08-29,57.27,0.00209973753280848,57.22,57.22,57.42,2686048.0,153978264.0
2024-08-28,57.15,-0.000349833828931312,57.21,57.06,57.235,2497695.0,142755028.0
2024-08-27,57.17,-0.000349711488022312,57.05,57.03,57.22,2717626.0,155262632.0
2024-08-26,57.19,0.00192711983181499,57.33,57.135,57.373,2267258.0,129720820.0
2024-08-23,57.08,0.00528355054596684,56.93,56.84,57.13,3138313.0,178895719.0
2024-08-22,56.78,-0.00245959241040057,56.92,56.715,56.92,3486316.0,198026117.0
2024-08-21,56.92,0.0058314189786181,56.85,56.708,56.95,7313978.0,415038092.0
2024-08-20,56.59,0.00177022481855198,56.6985,56.57,56.76,3961950.0,224396552.0
2024-08-19,56.49,0.00212879191059082,56.44,56.38,56.56,1631322.0,92155098.0
2024-08-16,56.37,0.00894934669769107,56.19,56.09,56.41,2669546.0,150326232.0
2024-08-15,55.87,0.00903016073686112,55.69,55.6154,55.95,4420912.0,246940152.0
2024-08-14,55.37,-0.00288132540968852,55.38,55.255,55.43,2236390.0,123787633.0
2024-08-13,55.53,-0.00251481947188792,55.34,55.34,55.56,3080761.0,170995516.0
2024-08-12,55.67,-0.00215092310449897,55.78,55.64,55.835,2648086.0,147559592.0
2024-08-09,55.79,0.000358615743231056,55.76,55.57,55.925,3662888.0,204296237.0
2024-08-08,55.77,0.00922909880564613,55.5,55.44,55.82,4547033.0,253381264.0
2024-08-07,55.26,0.00345015434901031,55.73,55.24,55.79,4455717.0,247431949.0
2024-08-06,55.07,0.00382792562887351,54.88,54.82,55.285,4600458.0,253387034.0
2024-08-05,54.86,-0.0248844649840028,54.47,54.23,55.26,12499028.0,685822332.0
2024-08-02,56.26,-0.00933262898397607,56.27,56.08,56.41,4922891.0,276780479.0
2024-08-01,56.79,-0.0109717868338558,57.21,56.705,57.21,5581992.0,317522486.0
2024-07-31,57.42,0.00984875131902923,57.15,57.15,57.5,6295586.0,361145587.0
2024-07-30,56.86,0.000351864883884518,56.95,56.745,56.955,3379968.0,192196156.0
2024-07-29,56.84,0.000351988736360491,56.93,56.71,56.93,3545826.0,201427486.0
2024-07-26,56.82,0.0188273265196342,56.88,56.72,56.88,4215373.0,239394339.0
2024-07-25,55.77,0.0055896141363145,55.63,55.63,55.95,3780112.0,211001907.0
2024-07-24,55.46,-0.00520179372197308,55.79,55.44,55.92,8055578.0,448313220.0
2024-07-23,55.75,-0.015539466713756,56.18,55.52,56.19,7766307.0,432659726.0
2024-07-22,56.63,0.00800996796012821,56.61,56.525,56.73,3625738.0,205302349.0
2024-07-19,56.18,-0.0169728783902012,56.47,56.15,56.49,5613570.0,315885762.0
2024-07-18,57.15,0.00105097214923796,57.28,57.11,57.4,4932632.0,282435858.0
2024-07-17,57.09,-0.00470711297071123,57.18,57.09,57.215,3052875.0,174466889.0
2024-07-16,57.36,0.00349895031490558,57.14,57.06,57.42,4671407.0,267488771.0
2024-07-15,57.16,0.00157701068862794,57.14,57.05,57.2,4484540.0,256195525.0
2024-07-12,57.07,0.00316400070311126,56.95,56.95,57.19,3727035.0,212769412.0
2024-07-11,56.89,0.00264363764540005,56.95,56.825,56.99,3453396.0,196507337.0
2024-07-10,56.74,-0.00193491644678979,56.75,56.58,56.77,3464392.0,196457456.0
2024-07-09,56.85,0.00388486667843897,56.81,56.77,56.92,3226969.0,183480009.0
2024-07-08,56.63,-0.000529474055771162,56.73,56.61,56.81,3936271.0,223110798.0
2024-07-05,56.66,0.00443183832653785,56.74,56.5,56.76,3324721.0,188128141.0
2024-07-03,56.41,0.00427274345736149,56.32,56.28,56.47,2889515.0,163021310.0
2024-07-02,56.17,-0.000177999288002813,56.14,56.01,56.22,4079480.0,228916405.0
2024-07-01,56.18,0.0071710290426676,56.04,56.04,56.22,3618069.0,203085149.0
2024-06-28,55.78,-0.000358422939068029,55.86,55.685,55.92,3301197.0,184274890.0
2024-06-27,55.8,0.0105034407823252,55.73,55.7201,55.85,3424809.0,191046360.0
2024-06-26,55.22,0.000724900326205131,55.34,55.13,55.34,3473747.0,191807908.0
2024-06-25,55.18,0.000906947215671996,55.11,55.1,55.22,3266104.0,180143404.0
2024-06-24,55.13,0.00804534649844587,55.07,55.02,55.2999,3767745.0,207981251.0
2024-06-21,54.69,-0.00473157415832584,54.93,54.67,54.93,3877121.0,212190685.0
2024-06-20,54.95,-0.0100882723833543,55.05,54.82,55.08,4731797.0,259860901.0
2024-06-18,55.51,0.00470588235294114,55.34,55.32,55.51,2481871.0,137593249.0
2024-06-17,55.25,0.00145006344027548,55.22,55.12,55.31,5976961.0,330182803.0
2024-06-14,55.17,0.0104395604395604,54.78,54.765,55.2,7031402.0,387147186.0
2024-06-13,54.6,-0.00128040973111396,54.72,54.505,54.74,4750975.0,259452096.0
2024-06-12,54.67,0.0075562108367122,54.79,54.6,54.81,3813141.0,208622547.0
