Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,216.85,-0.0055489314867468,215.9,214.6,216.88,24571442,5310766552.0
2024-10-09,218.06,0.00220608511811743,217.53,216.92,219.61,18230673,3978314529.0
2024-10-08,217.58,0.000689877201858095,217.63,216.7,218.37,18118575,3942722094.0
2024-10-07,217.43,-0.00784850558977868,218.64,215.87,218.66,14891795,3237815254.0
2024-10-04,219.15,0.0139730717623653,219.29,217.29,219.98,27914834,6107585349.0
2024-10-03,216.13,-0.00670986718139624,216.23,215.08,217.23,21353021,4612706719.0
2024-10-02,217.59,-0.00137684152554033,216.99,216.21,218.75,14455444,3145363036.0
2024-10-01,217.89,-0.0135814206165965,220.17,216.3,220.34,30015969,6539356729.0
2024-09-30,220.89,0.00254164208233093,219.42,218.58,221.59,21952206,4839358247.0
2024-09-27,220.33,0.00676262280100534,220.86,219.53,222.599,23959597,5292578809.0
2024-09-26,218.85,0.00532867839588404,220.49,218.38,221.13,24974650,5476470911.0
2024-09-25,217.69,-0.0155564600009044,220.32,217.54,220.61,23242337,5082241910.0
2024-09-24,221.13,0.00167602826599024,221.63,219.5,221.93,20939810,4626360635.0
2024-09-23,220.76,-0.00365572956627703,222.69,220.02,223.11,20157692,4458625485.0
2024-09-20,221.57,-0.0107157208554717,223.45,221.29,223.46,34587474,7694873437.0
2024-09-19,223.97,0.0205969469127364,224.66,221.5,224.68,35369504,7903944361.0
2024-09-18,219.45,0.000182307096303687,219.23,218.25,224.94,54085216,11962627643.0
2024-09-17,219.41,0.00827167869123654,219.58,218.47,221.8,35563482,7813968468.0
2024-09-16,217.61,0.00359728819812757,217.63,216.14,218.285,23289005,5060971919.0
2024-09-13,216.83,0.0246680213600491,214.03,213.94,217.25,37388104,8073298944.0
2024-09-12,211.61,0.0128757419107794,209.91,208.41,212.78,27658533,5836111824.0
2024-09-11,208.92,0.00292832797273288,207.47,204.21,209.25,27175635,5629751511.0
2024-09-10,208.31,-0.000815425940138083,208.72,205.791,208.86,23025689,4778833869.0
2024-09-09,208.48,0.00278980278980271,208.15,207.52,210.255,23584104,4927602400.0
2024-09-06,207.9,-0.0190157127353371,211.93,207.14,213.19,34561311,7226217133.0
2024-09-05,211.93,-0.0049767594722757,213.54,210.92,214.03,23910476,5073961391.0
2024-09-04,212.99,-0.00168736817436131,212.76,211.7,215.37,23706257,5054238742.0
2024-09-03,213.35,-0.0305797891675755,218.13,212.91,219.37,31338459,6744563706.0
2024-08-30,220.08,0.00580412229788406,219.71,217.4,220.5,23010461,5046871943.0
2024-08-29,218.81,0.00713430912271017,218.78,217.15,220.98,24599500,5394338332.0
2024-08-28,217.26,-0.0067660235896499,217.87,216.27,219.115,19685018,4284081943.0
2024-08-27,218.74,-0.0077568609662054,218.91,217.71,219.37,19577861,4281490013.0
2024-08-26,220.45,0.00031763317905433,221.93,220.08,222.45,24865547,5496501984.0
2024-08-23,220.38,0.031934819254542,215.18,214.79,221.08,40003081,8758116941.0
2024-08-22,213.56,-0.00881834215167551,215.57,213.13,216.37,18084250,3876426362.0
2024-08-21,215.46,0.0130236494428511,214.28,212.82,215.66,19623053,4206869849.0
2024-08-20,212.69,-0.0116635687732342,214.89,212.05,214.95,21703874,4626793760.0
2024-08-19,215.2,0.0122295390404515,212.96,212.82,215.21,17246236,3694718520.0
2024-08-16,212.6,0.00264101112997549,211.37,211.28,213.98,30427401,6462096976.0
2024-08-15,212.04,0.0259338107218888,211.26,209.91,213.1,42561582,9000520365.0
2024-08-14,206.68,-0.00620281771409334,208.63,205.74,208.75,25345557,5247093867.0
2024-08-13,207.97,0.0164711632453568,206.09,204.86,208.38,25458310,5266934814.0
2024-08-12,204.6,-0.00900900900900907,206.61,203.82,206.98,20357893,4171180069.0
