Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,96.57,-0.000103541105819063,96.6,96.41,96.61,2306422.0,222620610.0
2024-10-09,96.58,-0.00103434009102202,96.61,96.53,96.7,5893143.0,569412242.0
2024-10-08,96.68,0.00207296849087897,96.61,96.51,96.69,3399137.0,328321462.0
2024-10-07,96.48,-0.00484785972150592,96.8,96.47,96.8098,2147557.0,207456065.0
2024-10-04,96.95,-0.000927452596867306,97.03,96.83,97.03,2732766.0,264853570.0
2024-10-03,97.04,-0.0017487912766175,97.11,96.93,97.17,2653186.0,257428186.0
2024-10-02,97.21,-0.000102859493931342,97.18,97.0,97.22,2503222.0,243163958.0
2024-10-01,97.22,-0.00582881685243898,97.26,97.115,97.37,4639242.0,451174823.0
2024-09-30,97.79,0.0,97.82,97.635,97.86,3399017.0,332392444.0
2024-09-27,97.79,0.00256305105597703,97.68,97.65,97.83,3013785.0,294669373.0
2024-09-26,97.54,0.000410256410256474,97.67,97.46,97.67,5016406.0,489449363.0
2024-09-25,97.5,-0.0011269337158078,97.52,97.48,97.58,2368305.0,230974950.0
2024-09-24,97.61,0.000512505125051221,97.61,97.45,97.656,2437376.0,237814862.0
2024-09-23,97.56,-0.00184162062615094,97.62,97.56,97.725,5527418.0,539464914.0
2024-09-20,97.74,0.00112670285772815,97.72,97.47,97.76,4114595.0,401673116.0
2024-09-19,97.63,0.00215561486347766,97.89,97.6,97.9,3615809.0,353415747.0
2024-09-18,97.42,0.00113040797451443,97.31,97.2199,97.8185,5362635.0,522417309.0
2024-09-17,97.31,0.000616966580976887,97.35,97.22,97.41,2793418.0,271867956.0
2024-09-16,97.25,0.00206079340546113,97.08,97.03,97.35,2507231.0,243812310.0
2024-09-13,97.05,0.00299710624224878,96.88,96.88,97.11,1794590.0,174171857.0
2024-09-12,96.76,0.00113812726332126,96.58,96.545,96.86,3656138.0,353572825.0
2024-09-11,96.65,0.00165820292258276,96.43,96.245,96.68,5823389.0,561769250.0
2024-09-10,96.49,-0.00217166494312314,96.82,96.4,96.82,2480108.0,239321638.0
2024-09-09,96.7,0.00217639133588981,96.61,96.51,96.75,2301890.0,222457499.0
2024-09-06,96.49,-0.00134547712688894,96.66,96.3,96.7901,4007309.0,386718608.0
2024-09-05,96.62,0.00290637326136601,96.41,96.4,96.68,5246032.0,506736260.0
2024-09-04,96.34,0.00427394975502967,95.93,95.93,96.42,3089846.0,297536015.0
2024-09-03,95.93,-0.00919231563726489,96.16,95.9,96.27,3764879.0,361710289.0
2024-08-30,96.82,0.000206611570247893,96.92,96.72,96.92,2420734.0,234326007.0
2024-08-29,96.8,0.000620219144097605,96.78,96.7,96.86,3434898.0,332450868.0
2024-08-28,96.74,0.000103380543781566,96.75,96.62,96.795,2742740.0,265280127.0
2024-08-27,96.73,0.000413693246457816,96.61,96.54,96.84,2204967.0,213340270.0
2024-08-26,96.69,-0.00175511046871775,96.96,96.69,96.96,2693948.0,260699216.0
2024-08-23,96.86,0.00529320186818895,96.53,96.49,96.86,3216201.0,311267391.0
2024-08-22,96.35,-0.000829617339002515,96.49,96.23,96.49,2865418.0,275994148.0
2024-08-21,96.43,0.00166199231328566,96.34,96.27,96.52,2269368.0,218772795.0
2024-08-20,96.27,-0.000622858922454088,96.42,96.08,96.42,2452444.0,235932365.0
2024-08-19,96.33,0.00155957579538357,96.1,96.05,96.36,1739428.0,167449462.0
2024-08-16,96.18,0.00333820154391829,95.81,95.81,96.205,2343535.0,225121217.0
2024-08-15,95.86,0.000939751487939892,95.87,95.7,95.9,2902759.0,278192305.0
2024-08-14,95.77,0.00230245944531658,95.49,95.4826,95.8,4581055.0,438328177.0
2024-08-13,95.55,0.00494320572149767,95.23,95.2,95.58,3076091.0,293371941.0
2024-08-12,95.08,0.000315623356128365,95.15,94.96,95.17,2907796.0,276395218.0
2024-08-09,95.05,-0.000210371305353908,95.15,94.905,95.22,8261062.0,785097957.0
2024-08-08,95.07,0.00390707497360074,94.99,94.86,95.14,2213882.0,210350457.0
2024-08-07,94.7,0.00148054145516075,95.19,94.66,95.19,4326691.0,410393027.0
2024-08-06,94.56,0.00392823017305451,94.59,94.115,94.915,5942782.0,562409156.0
2024-08-05,94.19,-0.00632978162253411,93.7,93.57,94.39,6754715.0,635909132.0
2024-08-02,94.79,-0.00315490587864126,94.88,94.665,95.07,5903731.0,559809932.0
2024-08-01,95.09,-0.00782554257095159,95.37,95.06,95.47,6243306.0,594292068.0
2024-07-31,95.84,0.0038755630040851,95.78,95.6,95.89,2624189.0,251341270.0
2024-07-30,95.47,0.000209533787323164,95.55,95.315,95.56,3269856.0,312029130.0
2024-07-29,95.45,-0.000942013816202673,95.68,95.36,95.695,3218582.0,307250516.0
2024-07-26,95.54,0.0027287993282956,95.64,95.465,95.65,2366106.0,226063780.0
2024-07-25,95.28,0.000419991600168062,95.3,95.25,95.61,2814051.0,268550785.0
2024-07-24,95.24,-0.00355722954593015,95.46,95.22,95.59,3663065.0,349619862.0
2024-07-23,95.58,0.000418672807201089,95.53,95.48,95.725,2395515.0,229064766.0
2024-07-22,95.54,0.00346602247663074,95.4,95.355,95.55,2443172.0,233256071.0
2024-07-19,95.21,-0.000839542449365227,95.7,95.07,95.7,2366150.0,225188686.0
2024-07-18,95.29,-0.00230342372526436,95.47,95.2,95.56,3201267.0,305069994.0
2024-07-17,95.51,-0.00115038694833716,95.25,95.24,95.53,2542288.0,242700961.0
2024-07-16,95.62,0.00398992020159607,95.3,95.255,95.65,3884044.0,371012174.0
2024-07-15,95.24,0.0,95.2,95.105,95.28,3067667.0,291989765.0
2024-07-12,95.24,0.00305423907319634,94.99,94.955,95.26,2333131.0,222000245.0
2024-07-11,94.95,0.00359370045449745,94.94,94.87,95.02,2858332.0,271367298.0
2024-07-10,94.61,0.00190617388541769,94.5,94.45,94.65,2095615.0,198176993.0
2024-07-09,94.43,-0.00063498782939981,94.49,94.345,94.515,2743522.0,259066839.0
2024-07-08,94.49,-0.00105719420657584,94.54,94.41,94.605,2792560.0,263893162.0
2024-07-05,94.59,0.00414012738853504,94.19,94.19,94.6,2237031.0,211416700.0
2024-07-03,94.2,0.00234092360076611,93.84,93.84,94.35,1475471.0,138920435.0
2024-07-02,93.98,0.00352375867592096,93.66,93.66,93.98,2668432.0,250427294.0
2024-07-01,93.65,-0.00657685371804381,93.91,93.65,93.95,3874428.0,363194696.0
2024-06-28,94.27,-0.00253941381864363,94.57,94.265,94.75,3428843.0,323942887.0
2024-06-27,94.51,0.00137741046831966,94.38,94.34,94.51,2321668.0,219180045.0
2024-06-26,94.38,-0.00264186832928247,94.41,94.3,94.44,4143055.0,390951960.0
