Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,67.12,-0.0026745913818721,66.9,66.9,67.1799,13794.0,926286.0
2024-10-09,67.3,0.000358226348514167,67.14,67.14,67.8,11402.0,768655.0
2024-10-08,67.2759,0.000385130111524058,67.19,66.98,67.3294,7855.0,527510.0
2024-10-07,67.25,-0.0130961046279555,67.79,67.07,67.98,11856.0,800607.0
2024-10-04,68.1424,0.0165955542294494,67.77,67.635,68.1424,15338.0,1042563.0
2024-10-03,67.03,-0.00386387278941901,66.98,66.798,67.29,21252.0,1425408.0
2024-10-02,67.29,-0.0016320474777448,67.3,67.1698,67.69,7797.0,526365.0
2024-10-01,67.4,-0.012019935502785,68.13,67.285,68.13,11706.0,791646.0
2024-09-30,68.22,-0.00452356632131916,68.38,67.9001,68.41,6720.0,458055.0
2024-09-27,68.53,-0.000583345486364183,68.56,68.49,69.005,11263.0,774065.0
2024-09-26,68.57,0.0200833085391252,68.48,68.3746,68.72,15635.0,1071031.0
2024-09-25,67.22,-0.0137201764798233,68.21,67.22,68.21,10465.0,708592.0
2024-09-24,68.1551,0.00228088235294124,68.03,67.928,68.3993,11117.0,757142.0
2024-09-23,68.0,-0.0054117302910634,68.26,67.6001,68.33,12544.0,854219.0
2024-09-20,68.37,-0.00927401825822345,69.12,68.29,69.12,6066.0,415500.0
2024-09-19,69.01,0.0254086181277862,68.68,68.48,69.46,18752.0,1296042.0
2024-09-18,67.3,-0.00414323764427347,67.43,67.19,68.285,11102.0,752194.0
2024-09-17,67.58,0.00667042045396994,67.4988,67.27,67.78,10849.0,731849.0
2024-09-16,67.1322,0.0157694053563322,66.6,66.57,67.1322,8752.0,585057.0
2024-09-13,66.09,0.0124080882352942,65.59,65.59,66.31,11334.0,749145.0
2024-09-12,65.28,0.0196813495782569,64.395,64.39,65.28,11579.0,750650.0
2024-09-11,64.02,0.00946073793755904,62.75,62.613,64.02,9360.0,594340.0
2024-09-10,63.42,0.0,63.57,62.77,63.57,7631.0,482344.0
2024-09-09,63.42,0.01472,63.79,63.398,63.92,8979.0,570815.0
2024-09-06,62.5,-0.0148171500630517,63.7,62.35,63.88,11651.0,729751.0
2024-09-05,63.44,0.00427418078201672,63.6,63.17,64.0199,17233.0,1094392.0
2024-09-04,63.17,0.000633613179154113,63.35,63.13,63.8,10314.0,654736.0
2024-09-03,63.13,-0.0341187270501836,64.55,63.13,64.55,12161.0,773314.0
2024-08-30,65.36,0.00658996089761449,65.19,64.83,65.41,12167.0,790663.0
