Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,576.13,-0.00175000866340921,575.77,574.49,577.58,44138060.0,25423120884.0
2024-10-09,577.14,0.00692639182092578,573.16,572.55,577.71,37912244.0,21831995746.0
2024-10-08,573.17,0.00945755547728074,570.42,569.5299,573.78,37398693.0,21381973098.0
2024-10-07,567.8,-0.00904045516422923,571.3,566.63,571.9599,49964690.0,28444620134.0
2024-10-04,572.98,0.00908738684794471,572.35,568.1,573.36,43005186.0,24558334779.0
2024-10-03,567.82,-0.00182821783918708,567.36,565.49,569.8025,40846466.0,23175939627.0
2024-10-02,568.86,0.000422074496148586,567.71,565.27,569.9,38097798.0,21657827013.0
2024-10-01,568.62,-0.00895844952593416,573.4,566.0,574.0622,72668778.0,41339959777.0
2024-09-30,573.76,0.00400720947731283,570.42,568.08,574.38,63655448.0,36417230841.0
2024-09-27,571.47,-0.00145028831032662,573.39,570.42,574.22,42100928.0,24090932140.0
2024-09-26,572.3,0.00396463406076765,574.38,569.9,574.71,48336004.0,27650295612.0
2024-09-25,570.04,-0.00220549623665323,571.14,568.91,571.89,38428587.0,21919762274.0
2024-09-24,571.3,0.00286130566819386,570.48,567.6,571.36,46805672.0,26691338027.0
2024-09-23,569.67,0.00249890013198409,569.34,568.1,570.3325,44116922.0,25116928959.0
2024-09-20,568.25,-0.00478125328382784,567.84,565.17,569.31,77503110.0,44000623320.0
2024-09-19,570.98,0.0170644816530104,571.01,568.08,572.88,75315470.0,42902957513.0
2024-09-18,561.4,-0.0029658834603159,563.74,560.83,568.69,59044937.0,33273202147.0
2024-09-17,563.07,0.000408641887570212,565.1,560.795,566.58,49320970.0,27791275479.0
2024-09-16,562.84,0.00147684204907393,561.74,559.9,563.11,36656122.0,20595295275.0
2024-09-13,562.01,0.00522277271995557,559.71,559.45,563.03,39310501.0,22074014409.0
2024-09-12,559.09,0.0084232170556619,555.01,552.74,559.4,51892735.0,28901590605.0
2024-09-11,554.42,0.0102589332896008,548.7,539.96,555.36,75248608.0,41287034304.0
2024-09-10,548.79,0.00435570359254039,548.36,543.38,549.15,36394579.0,19914437970.0
2024-09-09,546.41,0.0111962395440076,544.65,542.68,547.71,40445822.0,22049496091.0
2024-09-06,540.36,-0.0168301159003657,549.94,539.44,551.6,68493805.0,37176513236.0
2024-09-05,549.61,-0.00243216262818773,550.89,547.1,553.7995,44264258.0,24338484332.0
2024-09-04,550.95,-0.00204680481089696,550.2,549.46,554.43,47224939.0,26045073582.0
2024-09-03,552.08,-0.0205790519443654,560.47,549.51,560.81,60600113.0,33643782751.0
2024-09-02,,,,,,,
2024-08-30,563.68,0.00954598370197892,560.77,557.14,564.2,62700110.0,35211134661.0
2024-08-29,558.35,8.95575855276164e-05,560.31,557.18,563.68,38715176.0,21686453282.0
2024-08-28,558.3,-0.00580525678467126,561.21,555.04,561.65,41066024.0,22932456331.0
2024-08-27,561.56,0.0013730630004101,559.49,558.32,562.06,32693898.0,18341040726.0
2024-08-26,560.79,-0.00238379022646013,563.18,559.05,563.91,35788609.0,20083651336.0
2024-08-23,562.13,0.0106252921505878,559.53,557.29,563.09,50639393.0,28397563908.0
2024-08-22,556.22,-0.00784845349791298,562.56,554.98,563.18,56121456.0,31315776587.0
2024-08-21,560.62,0.0034365491319133,559.77,554.73,562.11,41514600.0,23253835133.0
2024-08-20,558.7,-0.00162613248512351,559.15,557.325,560.84,33732264.0,18854048917.0
2024-08-19,559.61,0.00956143674117384,554.73,553.86,559.61,39121793.0,21801583663.0
2024-08-16,554.31,0.00224203084600484,551.42,551.26,555.02,44430728.0,24590640999.0
2024-08-15,553.07,0.0171402298850576,549.5,548.88,553.36,60846812.0,33537774205.0
2024-08-14,543.75,0.00315474872703128,542.85,540.12,544.96,42446929.0,23050984512.0
2024-08-13,542.04,0.0164457029272226,536.53,536.28,542.28,52333073.0,28220147341.0
2024-08-12,533.27,0.000525338186457481,534.21,530.95,535.73,42542069.0,22684626528.0
2024-08-09,532.99,0.00440968623386419,529.81,528.56,534.51,45619558.0,24257140493.0
2024-08-08,530.65,0.0231172637180427,523.91,521.84,531.29,63276589.0,33400846325.0
2024-08-07,518.66,-0.00668390309298096,528.47,518.0519,531.59,70698340.0,37016309006.0
2024-08-06,522.15,0.00921952916618343,519.22,517.87,529.75,84826312.0,44421534925.0
2024-08-05,517.38,-0.0291236629761681,511.64,510.27,523.58,146267391.0,75796566292.0
2024-08-02,532.9,-0.0186184416493251,535.75,528.6,536.99,82789070.0,44066589434.0
2024-08-01,543.01,-0.0141609629454802,552.57,539.43,554.8688,76428732.0,41651277389.0
2024-07-31,550.81,0.0162546125461254,548.98,547.5799,553.5,65663388.0,36098770428.0
2024-07-30,542.0,-0.00506645128129817,546.26,538.515,547.34,46853632.0,25417273372.0
2024-07-29,544.76,0.0005877599000807,546.02,542.72,547.05,39515824.0,21543082567.0
2024-07-26,544.44,0.0111996433944393,542.28,541.49,547.19,53763788.0,29239310722.0
2024-07-25,538.41,-0.00521035419322663,541.35,537.45,547.455,61158288.0,33118533213.0
2024-07-24,541.23,-0.0226624291234786,548.86,540.29,549.17,74515266.0,40585060530.0
2024-07-23,553.78,-0.00156855674749843,554.54,553.275,556.735,34439561.0,19106216768.0
2024-07-22,554.65,0.0103098417093207,553.0,551.02,555.27,43346720.0,23994482962.0
2024-07-19,548.99,-0.00664061086382217,552.42,547.91,554.08,65509081.0,36050602628.0
2024-07-18,552.66,-0.00768484935540648,558.51,550.43,559.52,56270392.0,31187844880.0
2024-07-17,556.94,-0.0140211733880961,558.8,556.61,560.51,57118956.0,31904033682.0
2024-07-16,564.86,0.00593022634587652,562.865,562.1,565.16,36475260.0,20558838544.0
2024-07-15,561.53,0.00275004910801972,562.03,559.63,564.8371,40584293.0,22804183779.0
2024-07-12,559.99,0.00630750431282345,557.63,557.15,563.67,53084405.0,29748322997.0
2024-07-11,556.48,-0.00862253260172456,561.44,555.83,562.33,53054184.0,29610471457.0
2024-07-10,561.32,0.00989528984203519,557.07,556.77,561.67,38701220.0,21650621117.0
2024-07-09,555.82,0.000972482351246357,556.26,555.52,557.18,27314125.0,15189434884.0
2024-07-08,555.28,0.00115390162988603,555.44,554.19,556.2501,36110451.0,20047833811.0
2024-07-05,554.64,0.00576651071700568,551.77,551.12,555.05,41488389.0,22967721384.0
2024-07-04,,,,,,,
2024-07-03,551.46,0.00446257809511675,548.69,548.65,551.83,32789911.0,18044258901.0
2024-07-02,549.01,0.00672974658011508,543.7,543.65,549.01,40434792.0,22112123247.0
2024-07-01,545.34,0.00205799125353718,545.63,542.52,545.88,40297810.0,21954272931.0
2024-06-28,544.22,-0.00393506232040554,547.16,542.95,550.28,76144535.0,41565205994.0
2024-06-27,546.37,0.00157650638851719,545.37,544.61,546.96,35041480.0,19125637622.0
2024-06-26,545.51,0.00124809573628462,543.69,543.03,546.24,38550637.0,21001803723.0
2024-06-25,544.83,0.00385083096878806,543.99,542.44,545.2,38273346.0,20818570289.0
2024-06-24,542.74,-0.00325062900589518,544.33,542.62,546.95,45528654.0,24781203061.0
2024-06-21,544.51,-0.00455210237659965,544.4,543.02,545.65,64513859.0,35130234170.0
2024-06-20,547.0,-0.00271654907108609,549.44,545.18,550.12,70328226.0,38508309352.0
2024-06-19,,,,,,,
2024-06-18,548.49,0.00254066898190456,547.16,546.73,548.62,41376417.0,22663273736.0
2024-06-17,547.1,0.00795902575629178,542.08,541.6072,548.53,55839457.0,30457264399.0
2024-06-14,542.78,0.00060835100009204,540.88,539.85,542.81,40089895.0,21719892253.0
2024-06-13,542.45,0.00201344761341812,543.15,539.59,543.325,44760949.0,24258619256.0
2024-06-12,541.36,0.0082130552192941,541.63,540.3,544.12,63251305.0,34263689051.0
2024-06-11,536.95,0.00240824403539573,534.07,532.05,537.01,36383411.0,19474597063.0
2024-06-10,535.66,0.00308982977846853,533.18,532.57,535.99,35729252.0,19103404942.0
2024-06-07,534.01,-0.00121572588186881,533.66,532.535,536.89,43224525.0,23101505590.0
2024-06-06,534.66,-1.87031252922193e-05,534.98,532.68,535.42,30808530.0,16462970278.0
2024-06-05,534.67,0.0118851605821457,530.77,528.7254,534.69,47610365.0,25356230599.0
2024-06-04,528.39,0.00111784766957187,526.46,524.96,529.15,34632661.0,18256779421.0
2024-06-03,527.8,0.000815366820258926,529.02,522.6,529.31,46835702.0,20828287943.0
2024-05-31,527.37,0.00910813034576451,523.59,518.36,527.5,90785755.0,47559543310.0
2024-05-30,522.61,-0.00663371982512832,524.52,521.33,525.2,46468510.0,24334238305.0
2024-05-29,526.1,-0.00700251033389314,525.68,525.37,527.31,45190323.0,23797433040.0
2024-05-28,529.81,0.000698851616802453,530.27,527.11,530.51,36269602.0,19198235242.0
2024-05-27,,,,,,,
2024-05-24,529.44,0.00661647273556928,527.85,526.881,530.27,41291076.0,21839417146.0
2024-05-23,525.96,-0.00730422965856974,532.96,524.72,533.07,57211197.0,30207601988.0
2024-05-22,529.83,-0.00287940379403789,530.65,527.6,531.38,48389968.0,25636247258.0
2024-05-21,531.36,0.00245255254122188,529.28,529.07,531.52,33437001.0,17736734855.0
2024-05-20,530.06,0.00115213901218226,529.57,529.17,531.5601,37764206.0,20025633613.0
2024-05-17,529.45,0.00143751536817415,528.81,527.32,529.52,59187585.0,31301343471.0
2024-05-16,528.69,-0.00205745781267681,529.88,528.54,531.5218,50244827.0,26621713280.0
2024-05-15,529.78,0.0123829543283012,525.83,525.18,530.08,59504897.0,31422295824.0
2024-05-14,523.3,0.00458812462805472,521.11,520.56,523.83,57535867.0,30050973272.0
2024-05-13,520.91,0.000134398279701898,522.56,519.74,522.67,36716361.0,19131931385.0
2024-05-10,520.84,0.00128804044831511,521.81,519.59,522.635,52233171.0,27207389184.0
2024-05-09,520.17,0.00576190568263096,517.38,516.705,520.2074,43643668.0,22655858275.0
2024-05-08,517.19,9.66856170477399e-05,515.26,515.14,517.74,42047214.0,21735100960.0
2024-05-07,517.14,0.00110343225506695,517.56,516.45,518.57,52561299.0,27199889631.0
2024-05-06,516.57,0.0103268203954703,513.75,513.3,516.61,47264703.0,24324156460.0
2024-05-03,511.29,0.012395303249312,511.16,508.56,512.55,72756709.0,37146934616.0
2024-05-02,505.03,0.00935345258319167,504.15,499.55,505.89,62550179.0,31484077304.0
2024-05-01,500.35,-0.00324714132037132,501.38,499.865,508.19,80242839.0,40326762650.0
2024-04-30,501.98,-0.0158412735756577,508.56,501.98,509.56,77483566.0,39186120913.0
2024-04-29,510.06,0.00354149451068353,510.09,507.25,510.75,46415449.0,23651902520.0
2024-04-26,508.26,0.00947387237085142,506.35,505.7,509.88,64306118.0,32668205285.0
2024-04-25,503.49,-0.00379889594586576,499.18,497.49,504.27,69122368.0,34673179004.0
2024-04-24,505.41,-0.00047463660634817,506.56,503.13,507.37,55928076.0,28260805464.0
2024-04-23,505.65,0.0118666453213799,501.78,499.5328,506.09,64633620.0,32602378183.0
2024-04-22,499.72,0.00920914451894338,497.83,495.43,502.38,67961048.0,33900452731.0
2024-04-19,495.16,-0.00872837924407423,499.44,493.86,500.455,102212587.0,50782992736.0
2024-04-18,499.52,-0.00205773648986121,501.98,498.56,504.13,74548085.0,37327114352.0
2024-04-17,500.55,-0.00591821738525999,506.05,499.12,506.22,75910305.0,38117321408.0
