Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,94.08,-0.00391741662255166,93.88,93.41,94.09,53667357,5037371240.0
2024-10-09,94.45,-0.00568480892725542,94.67,94.23,94.905,35807681,3385773299.0
2024-10-08,94.99,0.00168722977960557,94.39,94.335,95.03,33709587,3192884519.0
2024-10-07,94.83,-0.0075353218210361,94.98,94.76,95.2672,42606634,4045179911.0
2024-10-04,95.55,-0.012301013024602,95.44,95.4,95.96,56970281,5449444622.0
2024-10-03,96.74,-0.00942043825517102,97.34,96.74,97.51,39677767,3848823121.0
2024-10-02,97.66,-0.00842725149761395,97.36,97.06,97.73,35810763,3491039779.0
2024-10-01,98.49,0.00397553516819572,98.8,98.385,99.33,45254237,4472179284.0
2024-09-30,98.1,-0.00476818504616008,98.64,97.8839,98.71,34208260,3359933125.0
2024-09-27,98.57,0.00520089740974904,98.54,98.21,98.755,28317628,2790399948.0
2024-09-26,98.06,0.00235101707042833,98.07,97.42,98.245,33332315,3264944670.0
2024-09-25,97.83,-0.00831221490116581,98.26,97.79,98.32,36738236,3600971713.0
2024-09-24,98.65,-0.000202695854869728,98.0,97.85,98.89,31005351,3052113529.0
2024-09-23,98.67,-0.00212378640776693,98.5,98.02,99.09,35703932,3520976753.0
2024-09-20,98.88,-0.00382832963933115,98.99,98.72,99.245,37067571,3669727649.0
2024-09-19,99.26,-0.00331358570137562,98.92,98.77,99.31,39979816,3960537766.0
2024-09-18,99.59,-0.0123958746529155,100.24,99.54,100.7266,48897047,4890710891.0
2024-09-17,100.84,-0.00483568538438759,101.47,100.74,101.64,31699372,3203522353.0
2024-09-16,101.33,0.0091624340205159,100.63,100.41,101.37,30866261,3120512772.0
2024-09-13,100.41,0.00269622528460152,100.46,100.02,100.61,25722135,2582177687.0
2024-09-12,100.14,-0.00467150382665738,100.36,99.69,100.55,41812529,4184833302.0
2024-09-11,100.61,-0.000794517826993726,100.49,100.35,101.235,39497052,3978226342.0
2024-09-10,100.69,0.00700070007000703,99.87,99.82,100.91,31703409,3187699281.0
2024-09-09,99.99,0.00431900361590993,99.4,99.16,100.1,26961402,2690950174.0
2024-09-06,99.56,-0.000100431856984944,99.55,99.1901,100.78,57406404,5736795885.0
2024-09-05,99.57,0.00565599434400554,99.34,98.775,99.6787,47450878,4714044249.0
2024-09-04,99.01,0.0128900255754476,97.88,97.81,99.03,40885163,4032641180.0
2024-09-03,97.75,0.0130583480153384,97.56,97.42,98.06,48947900,4781047821.0
2024-08-30,96.49,-0.010663385624936,97.68,96.47,97.985,42896190,4158726194.0
2024-08-29,97.53,-0.00327031170158399,97.37,97.125,97.64,24988243,2435620582.0
2024-08-28,97.85,-0.00122486475451674,98.01,97.725,98.2,18501411,1811729874.0
2024-08-27,97.97,-0.00173221927858164,97.49,97.41,98.08,21507650,2102152736.0
2024-08-26,98.14,-0.0025409086289257,98.69,98.08,98.6975,23198710,2280314190.0
2024-08-23,98.39,0.00654731457800512,98.19,97.96,98.67,32005083,3147792362.0
2024-08-22,97.75,-0.0099260609743746,98.23,97.43,98.3,33453848,3270638676.0
2024-08-21,98.73,0.000608087564609327,98.67,98.21,99.2,29229982,2886328725.0
2024-08-20,98.67,0.00796812749003985,98.32,98.12,98.855,25239303,2487412099.0
2024-08-19,97.89,0.00461822660098525,97.42,97.405,98.155,25322138,2477704184.0
2024-08-16,97.44,0.00350154479917614,97.44,97.01,97.5399,28540965,2779113846.0
2024-08-15,97.1,-0.00807028297068144,96.405,96.21,97.1,38723695,3748910429.0
2024-08-14,97.89,0.00627055921052631,97.55,97.5082,98.16,31334061,3066836086.0
2024-08-13,97.28,0.00693509988614017,97.3,96.98,97.36,30366938,2950854622.0
2024-08-12,96.61,0.0036359858715977,96.03,95.88,96.82,24261382,2341285299.0
2024-08-09,96.26,0.00986151909357965,96.51,96.0906,96.54,32141763,3094123919.0
2024-08-08,95.32,-0.00615160045876346,95.115,94.84,95.4,37815770,3600634520.0
2024-08-07,95.91,-0.00704006625944722,95.95,95.5,96.45,51337133,4928469728.0
2024-08-06,96.59,-0.0223684210526315,98.15,96.59,98.41,61316860,5958163526.0
2024-08-05,98.8,0.00529100529100525,99.69,97.9,99.935,90686310,8964996793.0
2024-08-02,98.28,0.0311614730878187,97.0,96.8901,98.37,91912942,8995233401.0
2024-08-01,95.31,0.00527370530534754,95.14,95.12,95.905,77254240,7379135983.0
2024-07-31,94.81,0.0102290889717635,94.53,94.24,94.84,47445288,4489356056.0
2024-07-30,93.85,0.00385067921702855,93.75,93.3,94.05,28169820,2638624162.0
2024-07-29,93.49,0.00537692224970427,93.67,93.22,93.69,25801347,2411646545.0
2024-07-26,92.99,0.00780318630107293,92.95,92.71,93.15,34423772,3200061503.0
2024-07-25,92.27,0.00819493006993007,92.025,91.96,92.86,44999074,4157801720.0
2024-07-24,91.52,-0.0108084738434933,92.59,91.47,92.85,50757116,4670037512.0
2024-07-23,92.52,-0.0014031300593633,92.81,92.49,93.03,23497988,2180927720.0
2024-07-22,92.65,-0.00290572535514417,93.4,92.3,93.52,36160366,3358380322.0
2024-07-19,92.92,-0.00588424093291962,93.04,92.82,93.16,32164669,2990947114.0
2024-07-18,93.47,-0.00764412357999786,93.68,93.38,94.14,34553075,3236953599.0
2024-07-17,94.19,0.000212381862588893,93.92,93.69,94.4,29036838,2732979028.0
