Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,156.42,-0.00172314761631253,156.04,156.04,156.83,2686.0,420476.0
2024-10-09,156.69,0.00371532893472541,155.91,155.91,156.72,1121.0,175547.0
2024-10-08,156.11,0.00859284145238411,155.49,155.49,156.11,803.0,125262.0
2024-10-07,154.78,-0.00940799999999999,155.83,154.78,155.88,981.0,152501.0
2024-10-04,156.25,0.00773943889068035,156.04,155.46,156.25,4792.0,746137.0
2024-10-03,155.05,-0.0043665318178898,154.53,154.5,155.05,2051.0,317679.0
2024-10-02,155.73,0.000771158665895354,155.6,155.55,155.73,367.0,57115.0
2024-10-01,155.61,-0.00771585256982515,155.61,155.61,155.61,249.0,38746.0
2024-09-30,156.82,0.0028136590356823,156.48,155.98,156.82,11404.0,1783807.0
2024-09-27,156.38,-0.00432955558385335,156.81,156.37,156.81,419.0,65571.0
2024-09-26,157.06,0.00892914498618883,157.09,156.73,157.1,1761.0,276467.0
2024-09-25,155.67,-0.00237118687516024,155.92,155.64,155.92,469.0,73035.0
2024-09-24,156.04,0.00340814095556557,155.71,155.39,156.04,1624.0,253088.0
2024-09-23,155.51,0.00232033515952295,155.5,155.5,155.51,408.0,63442.0
2024-09-20,155.15,-0.00602216669869945,154.5,154.5,155.15,1435.0,222421.0
2024-09-19,156.09,0.020396156109041,155.92,155.92,156.09,958.0,149241.0
2024-09-18,152.97,-0.00455521572200162,153.32,152.89,154.2,3762.0,577251.0
2024-09-17,153.67,6.50787452817318e-05,154.13,153.67,154.16,6643.0,1021585.0
2024-09-16,153.66,0.00326455993732045,153.01,153.01,153.66,2441.0,374396.0
2024-09-13,153.16,0.00597701149425285,153.04,152.92,153.28,6166.0,943611.0
2024-09-12,152.25,0.00774424146147728,151.14,150.91,152.47,5216.0,791176.0
2024-09-11,151.08,0.0105685618729098,149.12,148.1,151.08,3037.0,454424.0
2024-09-10,149.5,0.00140665818206181,149.0,148.4,149.5,4824.0,718993.0
2024-09-09,149.29,0.0107650643195667,149.06,148.8,149.68,5461.0,814708.0
2024-09-06,147.7,-0.01684084403914,150.4,147.7,150.415,2662.0,395878.0
2024-09-05,150.23,-0.00364769863377113,150.76,150.05,150.78,6322.0,949538.0
2024-09-04,150.78,0.0010622759261718,150.53,150.41,151.23,11716.0,1766543.0
