Exchange Date,Close,%Chg,Open,Low,High,Volume,Turnover - USD
2024-10-10,65.2,-0.00107246820897799,65.16,65.02,65.3,173376.0,11292021.0
2024-10-09,65.27,-0.000459418070444122,65.35,65.17,65.38,359628.0,23470186.0
2024-10-08,65.3,0.000306372549019547,65.38,65.23,65.38,190365.0,12429183.0
2024-10-07,65.28,-0.00396704302715906,65.48,65.23,65.5,295035.0,19278789.0
2024-10-04,65.54,-0.0037999696002432,65.54,65.44,65.65,268716.0,17607610.0
2024-10-03,65.79,-0.0040871934604904,66.03,65.74,66.03,318668.0,20982708.0
2024-10-02,66.06,-0.00136054421768713,66.1,65.89,66.1,361533.0,23866018.0
2024-10-01,66.15,-0.00331475064034954,66.18,66.05,66.2199,415532.0,27484685.0
2024-09-30,66.37,0.00166012677331723,66.21,66.17,66.4,377968.0,25063302.0
2024-09-27,66.26,0.0019658248903676,66.27,66.22,66.32,316050.0,20941242.0
2024-09-26,66.13,0.00136281041792836,66.25,66.0042,66.3,343127.0,22679819.0
2024-09-25,66.04,-0.00316981132075462,66.27,66.03,66.27,209199.0,13832176.0
2024-09-24,66.25,0.0012090071029167,66.15,66.06,66.2799,191489.0,12674915.0
2024-09-23,66.17,-0.00196078431372542,66.11,66.015,66.22,236768.0,15656646.0
2024-09-20,66.3,-0.00285757256730332,66.4,66.01,66.54,295322.0,19574039.0
2024-09-19,66.49,0.00438066465256786,66.35,65.55,66.505,309009.0,20528071.0
2024-09-18,66.2,-0.00286187678867296,66.38,66.15,66.6476,565728.0,37510857.0
2024-09-17,66.39,-0.000150602409638631,66.62,66.289297,66.62,255790.0,16987490.0
2024-09-16,66.4,0.00606060606060615,66.2,66.14,66.43,220803.0,14639471.0
2024-09-13,66.0,0.00456621004566206,65.87,65.675,66.08,227628.0,15014842.0
2024-09-12,65.7,0.00137174211248291,65.72,65.5,65.73,246714.0,16190526.0
2024-09-11,65.61,0.00290431060837661,65.4,65.27,65.66,777245.0,50968585.0
2024-09-10,65.42,0.000764876854826329,65.33,65.255,65.435,201458.0,13167471.0
2024-09-09,65.37,0.00306889673162502,65.2,65.17,65.42,236260.0,15428255.0
2024-09-06,65.17,-0.00137909898866079,65.39,65.08,65.49,234771.0,15318636.0
2024-09-05,65.26,0.00291993238051348,65.19,65.0801,65.35,522049.0,34063521.0
2024-09-04,65.07,0.00416666666666661,64.72,64.72,65.1,253476.0,16476362.0
2024-09-03,64.8,-0.00841622035195099,65.25,64.755,65.25,348704.0,22617674.0
2024-08-30,65.35,0.00122567795311779,65.45,65.22,65.47,188027.0,12287083.0
2024-08-29,65.27,-0.000918414204806403,65.34,65.19,65.39,183781.0,12001548.0
2024-08-28,65.33,-0.00198594561564307,65.47,65.26,65.47,197928.0,12935647.0
2024-08-27,65.46,-0.000763242253091305,65.44,65.34,65.5078,209202.0,13691794.0
2024-08-26,65.51,-0.00152415790275864,65.71,65.445,65.71,260295.0,17055980.0
2024-08-23,65.61,0.00953992921988005,65.2,65.14,65.66,429984.0,28166575.0
2024-08-22,64.99,-0.00748320097739782,65.42,64.93,65.42,191765.0,12478124.0
2024-08-21,65.48,0.00260297044862964,65.44,65.31,65.57,712336.0,46634887.0
2024-08-20,65.31,0.0019944768333844,65.25,65.19,65.31,731639.0,47759023.0
2024-08-19,65.18,0.00354118552732878,65.0,64.9,65.18,674986.0,43960530.0
2024-08-16,64.95,0.00386398763523957,64.85,64.75,64.97,496478.0,32222840.0
2024-08-15,64.7,0.000618620476337864,64.52,64.45,64.7,291786.0,18856222.0
2024-08-14,64.66,0.00154894671623287,64.46,64.46,64.74,848450.0,54814124.0
2024-08-13,64.56,0.0052943008408596,64.43,64.24,64.58,613325.0,39580153.0
2024-08-12,64.22,0.000779180302321913,64.16,64.105,64.25,201428.0,12930859.0
2024-08-09,64.17,0.0040682209356909,64.0,64.0,64.25,208369.0,13368033.0
2024-08-08,63.91,0.00503223777323468,63.66,63.66,63.91,160398.0,10237424.0
2024-08-07,63.59,0.00268054241564178,63.77,63.48,63.91,489238.0,31172527.0
2024-08-06,63.42,-0.00423928403203008,63.69,63.39,63.82,840457.0,53447448.0
2024-08-05,63.69,-0.00933271115258996,63.92,63.52,63.92,358495.0,22848921.0
2024-08-02,64.29,0.00720664264452464,63.98,63.85,64.31,395792.0,25387183.0
2024-08-01,63.83,-0.00514339152119698,64.07,63.78,64.15,216047.0,13807054.0
2024-07-31,64.16,0.0050125313283207,64.19,63.9,64.19,218658.0,14010450.0
