Date,Price
2024-11-06,4215.17
2024-11-05,4292.42
2024-11-04,4301.68
2024-11-01,4331.64
2024-10-31,4315.76
2024-10-30,4410.63
2024-10-29,4448.89
2024-10-28,4488.21
2024-10-25,4455.92
2024-10-24,4471.77
2024-10-23,4466.96
2024-10-22,4464.79
2024-10-21,4510.2
2024-10-18,4596.87
2024-10-17,4630.86
2024-10-16,4659.49
2024-10-15,4627.44
2024-10-14,4596.4
2024-10-11,4611.83
2024-10-10,4551.02
2024-10-09,4594.47
2024-10-08,4568.4
2024-10-07,4581.16
2024-10-04,4644.99
2024-10-03,4652.51
2024-10-02,4712.17
2024-10-01,4752.16
2024-09-30,4702.02
2024-09-27,4737.65
2024-09-26,4703.79
2024-09-25,4650.3
2024-09-24,4664.94
2024-09-23,4696.81
2024-09-20,4644.64
2024-09-19,4671.93
2024-09-18,4637.3
2024-09-17,4666.46
2024-09-16,4712.85
2024-09-13,4734.75
2024-09-12,4671.19
2024-09-11,4641.61
2024-09-10,4680.94
2024-09-09,4597.55
2024-09-06,4610.53
2024-09-05,4584.29
2024-09-04,4522.81
2024-09-03,4479.33
2024-09-02,4530.32
2024-08-30,4498.43
2024-08-29,4438.73
2024-08-28,4522.89
2024-08-27,4517.07
2024-08-26,4546.01
2024-08-23,4498.75
2024-08-22,4439.95
2024-08-21,4401.44
2024-08-20,4399.51
2024-08-19,4404.41
2024-08-16,4359.65
2024-08-15,4374.1
2024-08-14,4374.26
2024-08-13,4344.33
2024-08-12,4315.71
2024-08-09,4348.99
2024-08-08,4275.2
2024-08-07,4305.51
2024-08-06,4228.66
2024-08-05,4236.63
2024-08-02,4378.47
2024-08-01,4368.87
2024-07-31,4331.78
2024-07-30,4337.06
2024-07-29,4314.09
2024-07-26,4274.69
2024-07-25,4267.25
2024-07-24,4281.13
2024-07-23,4306.65
2024-07-22,4340.01
2024-07-19,4326.05
2024-07-18,4372.99
2024-07-17,4375.97
2024-07-16,4394.63
2024-07-15,4410.21
2024-07-12,4436.35
2024-07-11,4438.16
2024-07-10,4360.62
2024-07-09,4273.66
2024-07-08,4266.04
2024-07-05,4298.83
2024-07-04,4260.8
2024-07-03,4254.58
2024-07-02,4177.99
2024-07-01,4174.62
2024-06-28,4175.36
2024-06-27,4157.34
2024-06-26,4130.32
2024-06-25,4173.69
2024-06-24,4213.01
2024-06-21,4173.54
2024-06-20,4205.9
2024-06-19,4140.84
2024-06-18,4192.4
2024-06-17,4152.56
2024-06-14,4189.35
2024-06-13,4213.81
2024-06-12,4272.43
2024-06-11,4170.88
2024-06-10,4257.8
2024-06-07,4250.63
2024-06-06,4368.48
2024-06-05,4392.75
2024-06-04,4395.49
2024-06-03,4386.4
2024-05-31,4320.45
2024-05-30,4298.87
2024-05-29,4217.84
2024-05-28,4293.13
2024-05-27,4265.62
2024-05-24,4251.8
2024-05-23,4256.88
2024-05-22,4345.64
2024-05-21,4310.71
2024-05-20,4326.58
2024-05-17,4347.88
2024-05-16,4383.13
2024-05-15,4380.18
2024-05-14,4240.61
2024-05-13,4222.38
2024-05-10,4217.52
2024-05-09,4231.34
2024-05-08,4231.36
2024-05-07,4253.76
2024-05-06,4189.76
2024-05-03,4186.02
2024-05-02,4145.47
2024-05-01,4091.24
2024-04-30,4088.98
2024-04-29,4081.68
2024-04-26,4034.17
2024-04-25,3960.96
2024-04-24,3986.8
2024-04-23,4063.27
2024-04-22,4017.29
2024-04-19,3978.28
2024-04-18,3959.74
2024-04-17,3906.59
2024-04-16,3921.87
2024-04-15,3979.22
2024-04-12,3980.53
2024-04-11,3976.5
2024-04-10,3971.0
2024-04-09,4037.76
2024-04-08,4059.04
2024-04-05,4015.97
2024-04-04,4066.65
2024-04-03,4050.66
2024-04-02,4071.0
2024-04-01,4157.92
2024-03-28,4161.58
2024-03-27,4132.08
2024-03-26,4112.95
2024-03-25,4099.11
2024-03-22,4088.98
2024-03-21,4053.35
2024-03-20,3974.59
2024-03-19,3944.55
2024-03-18,3919.16
2024-03-15,3902.76
2024-03-14,3967.49
2024-03-13,3991.08
2024-03-12,3984.29
2024-03-11,4033.73
2024-03-08,4009.36
2024-03-07,3925.87
2024-03-06,3875.45
2024-03-05,3864.61
2024-03-04,3866.74
2024-03-01,3898.47
2024-02-29,3830.89
2024-02-28,3820.46
2024-02-27,3889.2
2024-02-26,3884.51
2024-02-23,3924.92
2024-02-22,3937.03
2024-02-21,3916.02
2024-02-20,3942.24
2024-02-19,3961.75
2024-02-16,3952.83
2024-02-15,3955.97
2024-02-14,3881.66
2024-02-13,3890.09
2024-02-12,3982.68
2024-02-09,3922.71
2024-02-08,3977.22
2024-02-07,3990.11
2024-02-06,4012.58
2024-02-05,4003.68
2024-02-02,4040.49
2024-02-01,4068.25
2024-01-31,4151.53
2024-01-30,4113.59
2024-01-29,4125.65
2024-01-26,4084.96
2024-01-25,4065.23
2024-01-24,4046.02
2024-01-23,3971.44
2024-01-22,4023.12
2024-01-19,3977.84
2024-01-18,3986.46
2024-01-17,3988.58
2024-01-16,4100.98
2024-01-15,4135.06
2024-01-12,4168.36
2024-01-11,4108.06
2024-01-10,4161.99
2024-01-09,4149.19
2024-01-08,4180.09
2024-01-05,4159.31
2024-01-04,4185.91
2024-01-03,4172.38
2024-01-02,4237.28
2023-12-29,4274.98
2023-12-28,4305.06
2023-12-27,4309.78
2023-12-26,4270.69
2023-12-22,4275.87
2023-12-21,4246.51
2023-12-20,4279.39
2023-12-19,4231.21
2023-12-18,4209.89
2023-12-15,4215.85
2023-12-14,4248.95
2023-12-13,4029.84
2023-12-12,4006.1
2023-12-11,4046.28
2023-12-08,4013.19
2023-12-07,4049.12
2023-12-06,4067.37
2023-12-05,4026.55
2023-12-04,3961.03
2023-12-01,3959.95
2023-11-30,3866.59
2023-11-29,3890.9
2023-11-28,3835.86
2023-11-27,3860.05
2023-11-24,3824.43
2023-11-23,3824.33
2023-11-22,3816.92
2023-11-21,3762.55
2023-11-20,3852.45
2023-11-17,3822.12
2023-11-16,3760.36
2023-11-15,3807.77
2023-11-14,3858.33
2023-11-13,3606.12
2023-11-10,3617.32
2023-11-09,3661.65
2023-11-08,3602.02
2023-11-07,3625.81
2023-11-06,3609.99
2023-11-03,3716.11
2023-11-02,3608.1
2023-11-01,3421.43
2023-10-31,3393.27
2023-10-30,3303.88
2023-10-27,3299.5
2023-10-26,3268.9
2023-10-25,3255.25
2023-10-24,3319.84
2023-10-23,3288.45
2023-10-20,3310.38
2023-10-19,3308.91
2023-10-18,3387.75
2023-10-17,3460.65
2023-10-16,3474.33
2023-10-13,3462.8
2023-10-12,3520.87
2023-10-11,3557.68
2023-10-10,3516.99
2023-10-09,3453.94
2023-10-06,3455.08
2023-10-05,3431.08
2023-10-04,3402.6
2023-10-03,3406.69
2023-10-02,3490.59
2023-09-29,3516.08
2023-09-28,3423.2
2023-09-27,3442.7
2023-09-26,3508.78
2023-09-25,3580.87
2023-09-22,3593.63
2023-09-21,3620.95
2023-09-20,3656.26
2023-09-19,3582.04
2023-09-18,3550.95
2023-09-15,3637.56
2023-09-14,3701.98
2023-09-13,3600.39
2023-09-12,3584.65
2023-09-11,3626.78
2023-09-08,3584.23
2023-09-07,3589.62
2023-09-06,3611.31
2023-09-05,3586.8
2023-09-04,3597.0
2023-09-01,3599.69
2023-08-31,3645.28
2023-08-30,3588.62
2023-08-29,3574.64
2023-08-28,3528.61
2023-08-25,3505.07
2023-08-24,3515.18
2023-08-23,3518.69
2023-08-22,3448.15
2023-08-21,3382.06
2023-08-18,3451.68
2023-08-17,3513.7
2023-08-16,3557.24
2023-08-15,3558.66
2023-08-14,3589.7
2023-08-11,3600.98
2023-08-10,3675.4
2023-08-09,3618.6
2023-08-08,3588.05
2023-08-07,3591.97
2023-08-04,3612.92
2023-08-03,3598.8
2023-08-02,3587.18
2023-08-01,3629.55
2023-07-31,3677.68
2023-07-28,3664.19
2023-07-27,3701.45
2023-07-26,3710.36
2023-07-25,3684.97
2023-07-24,3676.24
2023-07-21,3689.16
2023-07-20,3687.88
2023-07-19,3701.14
2023-07-18,3553.27
2023-07-17,3507.99
2023-07-14,3555.93
2023-07-13,3578.43
2023-07-12,3562.7
2023-07-11,3460.06
2023-07-10,3370.3
2023-07-07,3394.28
2023-07-06,3379.49
2023-07-05,3514.23
2023-07-04,3518.9
2023-07-03,3420.48
2023-06-30,3367.9
2023-06-29,3318.67
2023-06-28,3357.2
2023-06-27,3297.4
2023-06-26,3289.31
2023-06-23,3290.99
2023-06-22,3341.46
2023-06-21,3377.82
2023-06-20,3425.81
2023-06-19,3454.27
2023-06-16,3521.15
2023-06-15,3500.69
2023-06-14,3530.07
2023-06-13,3504.11
2023-06-12,3551.77
2023-06-09,3591.81
2023-06-08,3561.41
2023-06-07,3589.76
2023-06-06,3577.23
2023-06-05,3552.39
2023-06-02,3558.37
2023-06-01,3424.81
2023-05-31,3412.25
2023-05-30,3412.67
2023-05-29,3405.27
2023-05-26,3411.05
2023-05-25,3419.58
2023-05-24,3470.46
2023-05-23,3565.29
2023-05-22,3503.01
2023-05-19,3493.69
2023-05-18,3471.08
2023-05-17,3506.56
2023-05-16,3538.42
2023-05-15,3549.63
2023-05-12,3481.14
2023-05-11,3534.54
2023-05-10,3528.48
2023-05-09,3507.66
2023-05-08,3597.24
2023-05-05,3618.6
2023-05-04,3584.18
2023-05-03,3581.93
2023-05-02,3581.55
2023-05-01,3680.98
2023-04-28,3679.56
2023-04-27,3611.82
