Date,Price
2024-11-08,1669.22
2024-11-07,1646.53
2024-11-06,1625.46
2024-11-05,1655.25
2024-11-04,1658.82
2024-11-01,1670.38
2024-10-31,1664.25
2024-10-30,1701.32
2024-10-29,1716.1
2024-10-28,1731.27
2024-10-25,1718.98
2024-10-24,1725.13
2024-10-23,1723.28
2024-10-22,1722.44
2024-10-21,1739.96
2024-10-18,1773.39
2024-10-17,1786.51
2024-10-16,1797.61
2024-10-15,1785.24
2024-10-14,1773.27
2024-10-11,1779.22
2024-10-10,1755.76
2024-10-09,1772.94
2024-10-08,1762.88
2024-10-07,1767.8
2024-10-04,1792.43
2024-10-03,1795.33
2024-10-02,1818.47
2024-10-01,1833.9
2024-09-30,1814.55
2024-09-27,1828.34
2024-09-26,1815.28
2024-09-25,1794.74
2024-09-24,1800.38
2024-09-23,1812.69
2024-09-20,1792.55
2024-09-19,1803.08
2024-09-18,1790.29
2024-09-17,1801.55
2024-09-16,1819.46
2024-09-13,1827.92
2024-09-12,1803.38
2024-09-11,1791.96
2024-09-10,1807.14
2024-09-09,1774.95
2024-09-06,1779.96
2024-09-05,1769.83
2024-09-04,1746.8
2024-09-03,1730.0
2024-09-02,1749.7
2024-08-30,1737.38
2024-08-29,1714.86
2024-08-28,1747.94
2024-08-27,1745.69
2024-08-26,1756.87
2024-08-23,1738.64
2024-08-22,1715.92
2024-08-21,1702.74
2024-08-20,1701.99
2024-08-19,1703.89
2024-08-16,1686.57
2024-08-15,1692.16
2024-08-14,1692.45
2024-08-13,1680.87
2024-08-12,1669.8
2024-08-09,1682.67
2024-08-08,1654.12
2024-08-07,1667.19
2024-08-06,1637.43
2024-08-05,1640.52
2024-08-02,1695.44
2024-08-01,1691.73
2024-07-31,1677.45
2024-07-30,1679.49
2024-07-29,1670.61
2024-07-26,1655.35
2024-07-25,1652.47
2024-07-24,1657.88
2024-07-23,1667.76
2024-07-22,1680.68
2024-07-19,1675.27
2024-07-18,1693.57
2024-07-17,1694.72
2024-07-16,1701.94
2024-07-15,1707.98
2024-07-12,1718.1
2024-07-11,1718.8
2024-07-10,1689.04
2024-07-09,1655.36
2024-07-08,1653.79
2024-07-05,1666.5
2024-07-04,1651.76
2024-07-03,1650.62
2024-07-02,1620.91
2024-07-01,1621.41
2024-06-28,1621.78
2024-06-27,1614.82
2024-06-26,1604.91
2024-06-25,1622.8
2024-06-24,1638.09
2024-06-21,1622.74
2024-06-20,1635.32
2024-06-19,1611.02
2024-06-18,1631.8
2024-06-17,1616.3
2024-06-14,1630.62
2024-06-13,1640.14
2024-06-12,1664.89
2024-06-11,1625.32
2024-06-10,1659.19
2024-06-07,1656.39
2024-06-06,1702.32
2024-06-05,1712.09
2024-06-04,1713.16
2024-06-03,1709.62
2024-05-31,1683.91
2024-05-30,1675.5
2024-05-29,1644.19
2024-05-28,1673.54
2024-05-27,1663.34
2024-05-24,1658.14
2024-05-23,1662.23
2024-05-22,1697.6
2024-05-21,1684.21
2024-05-20,1690.41
2024-05-17,1698.73
2024-05-16,1712.52
2024-05-15,1712.26
2024-05-14,1657.69
2024-05-13,1652.76
2024-05-10,1652.87
2024-05-09,1658.77
2024-05-08,1664.29
2024-05-07,1673.1
2024-05-06,1648.17
2024-05-03,1646.7
2024-05-02,1630.75
2024-05-01,1609.48
2024-04-30,1608.58
2024-04-29,1605.71
2024-04-26,1588.59
2024-04-25,1560.67
2024-04-24,1573.88
2024-04-23,1604.45
2024-04-22,1587.3
2024-04-19,1571.89
2024-04-18,1566.05
2024-04-17,1545.85
2024-04-16,1551.89
2024-04-15,1575.1
2024-04-12,1575.62
2024-04-11,1574.03
2024-04-10,1572.32
2024-04-09,1598.84
2024-04-08,1607.26
2024-04-05,1591.72
2024-04-04,1611.81
2024-04-03,1605.86
2024-04-02,1613.92
2024-04-01,1648.65
2024-03-29,1650.1
2024-03-28,1650.1
2024-03-27,1639.24
2024-03-26,1631.97
2024-03-25,1628.72
2024-03-22,1624.7
2024-03-21,1612.39
2024-03-20,1581.19
2024-03-19,1569.28
2024-03-18,1559.17
2024-03-15,1552.65
2024-03-14,1578.4
2024-03-13,1590.8
2024-03-12,1588.1
2024-03-11,1607.8
2024-03-08,1598.09
2024-03-07,1564.81
2024-03-06,1545.5
2024-03-05,1541.17
2024-03-04,1542.02
2024-03-01,1556.52
2024-02-29,1529.54
2024-02-28,1525.75
2024-02-27,1553.2
2024-02-26,1551.33
2024-02-23,1567.46
2024-02-22,1572.3
2024-02-21,1564.69
2024-02-20,1575.2
2024-02-19,1583.0
2024-02-16,1579.43
2024-02-15,1580.69
2024-02-14,1551.13
2024-02-13,1554.5
2024-02-12,1591.5
2024-02-09,1567.54
2024-02-08,1589.32
2024-02-07,1594.97
2024-02-06,1603.95
2024-02-05,1600.58
2024-02-02,1615.3
2024-02-01,1626.39
2024-01-31,1659.72
2024-01-30,1644.55
2024-01-29,1649.4
2024-01-26,1633.14
2024-01-25,1625.24
2024-01-24,1617.57
2024-01-23,1587.75
2024-01-22,1608.44
2024-01-19,1590.34
2024-01-18,1593.82
2024-01-17,1594.72
2024-01-16,1639.67
2024-01-15,1653.29
2024-01-12,1666.6
2024-01-11,1642.5
2024-01-10,1664.73
2024-01-09,1659.61
2024-01-08,1671.97
2024-01-05,1663.66
2024-01-04,1674.41
2024-01-03,1669.55
2024-01-02,1695.52
2024-01-01,1710.6
2023-12-29,1710.6
