Date,Price
1996-12-31,84.219
1997-01-02,83.96
1997-01-03,83.841
1997-01-06,83.861
1997-01-07,83.91
1997-01-08,84.036
1997-01-09,84.191
1997-01-10,84.419
1997-01-13,84.715
1997-01-14,84.798
1997-01-15,85.036
1997-01-16,85.145
1997-01-17,85.12
1997-01-20,85.25
1997-01-21,85.172
1997-01-22,85.312
1997-01-23,85.234
1997-01-24,85.079
1997-01-27,85.06
1997-01-28,85.012
1997-01-29,85.059
1997-01-30,85.195
1997-01-31,85.23
1997-02-03,85.389
1997-02-04,85.437
1997-02-05,85.453
1997-02-06,85.501
1997-02-07,85.577
1997-02-10,85.76
1997-02-11,85.903
1997-02-12,85.914
1997-02-13,86.012
1997-02-14,86.17
1997-02-18,86.382
1997-02-19,86.34
1997-02-20,86.354
1997-02-21,86.181
1997-02-24,86.234
1997-02-25,86.248
1997-02-26,86.153
1997-02-27,86.096
1997-02-28,86.3
1997-03-03,86.217
1997-03-04,86.231
1997-03-05,86.067
1997-03-06,85.972
1997-03-07,85.759
1997-03-10,85.745
1997-03-11,85.862
1997-03-12,85.752
1997-03-13,85.675
1997-03-14,85.639
1997-03-17,85.646
1997-03-18,85.186
1997-03-19,85.185
1997-03-20,85.199
1997-03-21,85.157
1997-03-24,85.197
1997-03-25,85.319
1997-03-26,85.308
1997-03-27,85.487
1997-03-31,85.53
1997-04-01,85.545
1997-04-02,85.261
1997-04-03,85.13
1997-04-04,85.201
1997-04-07,85.42
1997-04-08,85.601
1997-04-09,85.652
1997-04-10,85.617
1997-04-11,85.651
1997-04-14,85.575
1997-04-15,85.777
1997-04-16,85.95
1997-04-17,85.996
1997-04-18,85.962
1997-04-21,85.833
1997-04-22,85.804
1997-04-23,85.916
1997-04-24,85.932
1997-04-25,85.81
1997-04-28,85.797
1997-04-29,85.833
1997-04-30,86.092
1997-05-01,86.204
1997-05-02,86.324
1997-05-05,86.404
1997-05-06,86.44
1997-05-07,86.469
1997-05-08,86.482
1997-05-09,86.559
1997-05-12,86.669
1997-05-13,86.785
1997-05-14,86.821
1997-05-15,86.829
1997-05-16,86.831
1997-05-19,86.874
1997-05-20,86.844
1997-05-21,86.672
1997-05-22,86.425
1997-05-23,86.4
1997-05-27,86.362
1997-05-28,86.38
1997-05-29,86.383
1997-05-30,86.384
1997-05-31,86.362
1997-06-02,86.435
1997-06-03,86.627
1997-06-04,86.696
1997-06-05,86.757
1997-06-06,86.822
1997-06-09,86.984
1997-06-10,86.98
1997-06-11,87.036
1997-06-12,87.086
1997-06-13,87.281
1997-06-16,87.42
1997-06-17,87.359
1997-06-18,87.285
1997-06-19,87.347
1997-06-20,87.269
1997-06-23,87.325
1997-06-24,87.376
1997-06-25,87.504
1997-06-26,87.581
1997-06-27,87.633
1997-06-30,87.689
1997-07-01,87.654
1997-07-02,87.804
1997-07-03,87.819
1997-07-07,87.877
1997-07-08,88.141
1997-07-09,88.247
1997-07-10,88.162
1997-07-11,88.196
1997-07-14,88.205
1997-07-15,87.978
1997-07-16,88.007
1997-07-17,88.128
1997-07-18,88.157
1997-07-21,88.152
1997-07-22,88.23
1997-07-23,88.336
1997-07-24,88.273
1997-07-25,88.084
1997-07-28,88.045
1997-07-29,88.13
1997-07-30,88.272
1997-07-31,88.27
1997-08-01,88.162
1997-08-04,87.904
1997-08-05,87.746
1997-08-06,87.689
1997-08-07,87.807
1997-08-08,87.801
1997-08-11,87.898
1997-08-12,87.995
1997-08-13,87.838
1997-08-14,87.85
1997-08-15,87.866
1997-08-18,88.032
1997-08-19,88.215
1997-08-20,88.193
1997-08-21,88.13
1997-08-22,87.938
1997-08-25,87.903
1997-08-26,87.842
1997-08-27,87.895
1997-08-28,87.954
1997-08-29,87.968
1997-08-31,87.939
1997-09-02,87.951
1997-09-03,87.957
1997-09-04,88.038
1997-09-05,88.046
1997-09-08,88.159
1997-09-09,88.246
1997-09-10,88.306
1997-09-11,88.287
1997-09-12,88.315
1997-09-15,88.346
1997-09-16,88.419
1997-09-17,88.476
1997-09-18,88.59
1997-09-19,88.425
1997-09-22,88.51
1997-09-23,88.588
1997-09-24,88.628
1997-09-25,88.546
1997-09-26,88.5
1997-09-29,88.526
1997-09-30,88.595
1997-10-01,88.697
1997-10-02,88.701
1997-10-03,88.9
1997-10-06,88.935
1997-10-07,88.806
1997-10-08,88.704
1997-10-09,88.347
1997-10-10,88.172
1997-10-13,88.165
1997-10-14,88.224
1997-10-15,88.052
1997-10-16,87.786
1997-10-17,87.652
1997-10-20,87.715
1997-10-21,87.615
1997-10-22,87.427
1997-10-23,87.659
1997-10-24,87.837
1997-10-27,87.924
1997-10-28,88.026
1997-10-29,88.168
1997-10-30,88.213
1997-10-31,88.258
1997-11-03,88.216
1997-11-04,88.224
1997-11-05,88.131
1997-11-06,88.088
1997-11-07,88.213
1997-11-10,88.239
1997-11-11,88.217
1997-11-12,88.182
1997-11-13,88.21
1997-11-14,88.366
1997-11-17,88.452
1997-11-18,88.428
1997-11-19,88.61
1997-11-20,88.684
1997-11-21,88.66
1997-11-24,88.736
1997-11-25,88.853
1997-11-26,88.798
1997-11-27,88.812
1997-11-28,88.77
1997-11-30,88.799
1997-12-01,88.982
1997-12-02,89.074
1997-12-03,88.969
1997-12-04,89.131
1997-12-05,89.062
1997-12-08,89.187
1997-12-09,89.177
1997-12-10,89.196
1997-12-11,89.467
1997-12-12,89.687
1997-12-15,89.721
1997-12-16,89.732
1997-12-17,89.71
1997-12-18,89.828
1997-12-19,89.897
1997-12-22,90.001
1997-12-23,90.208
1997-12-24,90.269
1997-12-26,90.299
1997-12-29,90.193
1997-12-30,89.848
1997-12-31,89.756
1998-01-02,89.882
1998-01-05,90.379
1998-01-06,90.363
1998-01-07,90.455
1998-01-08,90.708
1998-01-09,90.917
1998-01-12,91.238
1998-01-13,91.16
1998-01-14,91.103
1998-01-15,91.132
1998-01-16,91.12
1998-01-19,91.168
1998-01-20,91.243
1998-01-21,91.09
1998-01-22,91.113
1998-01-23,91.063
1998-01-26,90.352
1998-01-27,90.479
1998-01-28,91.264
1998-01-29,91.334
1998-01-30,91.456
1998-01-31,91.457
1998-02-02,91.459
1998-02-03,91.467
1998-02-04,91.372
1998-02-05,91.37
1998-02-06,91.41
1998-02-09,91.485
1998-02-10,91.583
1998-02-11,91.789
1998-02-12,91.889
1998-02-13,91.963
1998-02-16,92.069
1998-02-17,92.21
1998-02-18,92.222
1998-02-19,92.143
1998-02-20,92.078
1998-02-23,92.272
1998-02-24,92.197
1998-02-25,92.145
1998-02-26,92.256
1998-02-27,92.181
1998-02-28,92.196
1998-03-02,92.278
1998-03-03,92.236
1998-03-04,91.975
1998-03-05,91.972
1998-03-06,92.078
1998-03-09,92.317
1998-03-10,92.476
1998-03-11,92.58
1998-03-12,92.68
1998-03-13,92.687
1998-03-16,92.736
1998-03-17,92.791
1998-03-18,92.737
1998-03-19,92.639
1998-03-20,92.64
1998-03-23,92.641
1998-03-24,92.777
1998-03-25,92.812
1998-03-26,92.743
1998-03-27,92.691
1998-03-30,92.639
1998-03-31,92.556
1998-04-01,92.506
1998-04-02,92.583
1998-04-03,92.775
1998-04-06,92.839
1998-04-07,92.761
1998-04-08,92.793
1998-04-09,92.813
1998-04-13,92.873
1998-04-14,92.86
1998-04-15,92.846
1998-04-16,92.842
1998-04-17,92.897
1998-04-20,92.848
1998-04-21,92.79
1998-04-22,92.786
1998-04-23,92.815
1998-04-24,92.814
1998-04-27,92.712
1998-04-28,92.525
1998-04-29,92.478
1998-04-30,92.492
1998-05-01,92.547
1998-05-04,92.719
1998-05-05,92.683
1998-05-06,92.68
1998-05-07,92.688
1998-05-08,92.779
1998-05-11,92.835
1998-05-12,92.657
1998-05-13,92.813
1998-05-14,92.874
1998-05-15,92.815
1998-05-18,92.871
1998-05-19,92.902
1998-05-20,93.057
1998-05-21,93.113
1998-05-22,93.162
1998-05-25,93.237
1998-05-26,93.341
1998-05-27,93.438
1998-05-28,93.45
1998-05-29,93.562
1998-05-31,93.581
1998-06-01,93.605
1998-06-02,93.681
1998-06-03,93.628
1998-06-04,93.577
1998-06-05,93.602
1998-06-08,93.641
1998-06-09,93.544
1998-06-10,93.702
1998-06-11,93.83
1998-06-12,93.965
1998-06-15,94.119
1998-06-16,94.027
1998-06-17,93.899
1998-06-18,93.867
1998-06-19,93.849
1998-06-22,94.051
1998-06-23,94.095
1998-06-24,94.153
1998-06-25,94.172
1998-06-26,94.23
1998-06-29,94.294
1998-06-30,94.256
1998-07-01,94.282
1998-07-02,94.419
1998-07-03,94.445
1998-07-06,94.626
1998-07-07,94.586
1998-07-08,94.579
1998-07-09,94.637
1998-07-10,94.707
1998-07-13,94.694
1998-07-14,94.684
1998-07-15,94.69
1998-07-16,94.65
1998-07-17,94.677
1998-07-20,94.762
1998-07-21,94.826
1998-07-22,94.808
1998-07-23,94.82
1998-07-24,94.829
1998-07-27,94.885
1998-07-28,94.904
1998-07-29,94.972
1998-07-30,94.969
1998-07-31,95.021
1998-08-03,95.114
1998-08-04,95.204
1998-08-05,95.281
1998-08-06,95.289
1998-08-07,95.421
1998-08-10,95.561
1998-08-11,95.807
1998-08-12,95.786
1998-08-13,95.811
1998-08-14,95.793
1998-08-17,96.025
1998-08-18,95.968
1998-08-19,95.943
1998-08-20,96.032
1998-08-21,96.498
1998-08-24,96.392
1998-08-25,96.676
1998-08-26,96.348
1998-08-27,96.593
1998-08-28,96.87
1998-08-31,96.649
1998-09-01,96.557
1998-09-02,96.431
1998-09-03,96.648
1998-09-04,96.624
1998-09-07,96.697
1998-09-08,96.735
1998-09-09,97.071
1998-09-10,97.439
1998-09-11,97.652
1998-09-14,97.477
1998-09-15,97.616
1998-09-16,97.46
1998-09-17,97.686
1998-09-18,97.618
1998-09-21,97.859
1998-09-22,97.63
1998-09-23,97.542
1998-09-24,97.721
1998-09-25,97.751
1998-09-28,97.839
1998-09-29,97.879
1998-09-30,98.05
1998-10-01,98.374
1998-10-02,98.41
1998-10-05,98.478
1998-10-06,98.472
1998-10-07,98.245
1998-10-08,97.841
1998-10-09,97.007
1998-10-12,96.939
1998-10-13,97.169
1998-10-14,97.337
1998-10-15,97.631
1998-10-16,97.868
1998-10-19,97.909
1998-10-20,97.802
1998-10-21,97.767
1998-10-22,97.813
1998-10-23,97.772
1998-10-26,97.603
1998-10-27,97.908
1998-10-28,97.831
1998-10-29,97.927
1998-10-30,97.899
1998-10-31,97.905
1998-11-02,97.715
1998-11-03,97.947
1998-11-04,97.86
1998-11-05,97.907
1998-11-06,97.672
1998-11-09,97.736
1998-11-10,97.949
1998-11-11,97.91
1998-11-12,97.985
1998-11-13,98.05
1998-11-16,97.944
1998-11-17,98.105
1998-11-18,98.32
1998-11-19,98.444
1998-11-20,98.486
1998-11-23,98.676
