Date,Price
2024-11-08,305.046
2024-11-07,304.496
2024-11-06,304.699
2024-11-05,303.59
2024-11-04,303.847
2024-11-01,304.051
2024-10-31,303.247
2024-10-30,303.94
2024-10-29,304.783
2024-10-28,305.365
2024-10-25,305.189
2024-10-24,305.691
2024-10-23,304.752
2024-10-22,304.622
2024-10-21,304.92
2024-10-18,305.941
2024-10-17,305.335
2024-10-16,305.199
2024-10-15,304.617
2024-10-14,303.855
2024-10-11,303.693
2024-10-10,303.712
2024-10-09,303.688
2024-10-08,303.689
2024-10-07,303.69
2024-10-04,304.032
2024-10-03,304.778
2024-10-02,304.948
2024-10-01,305.551
2024-09-30,304.459
2024-09-27,304.262
2024-09-26,303.89
2024-09-25,303.648
2024-09-24,304.238
2024-09-23,303.607
2024-09-20,302.824
2024-09-19,303.203
2024-09-18,302.526
2024-09-17,302.974
2024-09-16,303.106
2024-09-13,302.568
2024-09-12,302.398
2024-09-11,303.048
2024-09-10,302.741
2024-09-09,302.593
2024-09-06,302.43
2024-09-05,301.705
2024-09-04,301.569
2024-09-03,300.911
2024-09-02,300.201
2024-08-31,300.785
2024-08-30,300.765
2024-08-29,300.786
2024-08-28,300.82
2024-08-27,300.603
2024-08-26,300.937
2024-08-23,301.135
2024-08-22,300.751
2024-08-21,301.191
2024-08-20,300.881
2024-08-19,300.325
2024-08-16,300.29
2024-08-15,299.936
2024-08-14,300.785
2024-08-13,300.728
2024-08-12,300.018
2024-08-09,300.148
2024-08-08,299.688
2024-08-07,299.593
2024-08-06,300.017
2024-08-05,299.853
2024-08-02,300.955
2024-08-01,300.628
2024-07-31,299.882
2024-07-30,299.427
2024-07-29,299.03
2024-07-26,298.567
2024-07-25,298.341
2024-07-24,298.07
2024-07-23,297.802
2024-07-22,297.202
2024-07-19,297.372
2024-07-18,297.858
2024-07-17,297.449
2024-07-16,297.417
2024-07-15,297.09
2024-07-12,296.762
2024-07-11,297.166
2024-07-10,296.159
2024-07-09,295.767
2024-07-08,296.197
2024-07-05,295.84
2024-07-04,295.101
2024-07-03,295.375
2024-07-02,294.443
2024-07-01,294.213
2024-06-30,294.842
2024-06-28,294.803
2024-06-27,295.008
2024-06-26,294.87
2024-06-25,295.242
2024-06-24,294.941
2024-06-21,295.122
2024-06-20,294.659
2024-06-19,294.961
2024-06-18,294.925
2024-06-17,294.526
2024-06-14,295.46
2024-06-13,294.464
2024-06-12,294.255
2024-06-11,293.153
2024-06-10,292.646
2024-06-07,293.171
2024-06-06,294.041
2024-06-05,294.573
2024-06-04,294.331
2024-06-03,293.768
2024-05-31,292.655
2024-05-30,292.48
2024-05-29,292.333
2024-05-28,293.245
2024-05-27,293.443
2024-05-24,292.93
2024-05-23,292.625
2024-05-22,293.548
2024-05-21,293.843
2024-05-20,293.42
2024-05-17,293.585
2024-05-16,294.401
2024-05-15,294.558
2024-05-14,293.197
2024-05-13,293.65
2024-05-10,293.413
2024-05-09,293.703
2024-05-08,293.947
2024-05-07,294.312
2024-05-06,293.699
2024-05-03,293.256
2024-05-02,292.416
2024-05-01,291.962
2024-04-30,291.966
2024-04-29,292.807
2024-04-26,292.066
2024-04-25,291.462
2024-04-24,292.057
2024-04-23,292.917
2024-04-22,292.793
2024-04-19,292.156
2024-04-18,292.498
2024-04-17,292.656
2024-04-16,292.237
2024-04-15,293.368
2024-04-12,294.47
2024-04-11,293.217
2024-04-10,293.798
2024-04-09,294.577
2024-04-08,293.803
2024-04-05,294.142
2024-04-04,294.61
2024-04-03,293.796
2024-04-02,293.655
2024-04-01,294.435
2024-03-31,294.439
2024-03-28,294.384
2024-03-27,294.206
2024-03-26,293.406
2024-03-25,293.195
2024-03-22,293.772
2024-03-21,292.994
2024-03-20,292.339
2024-03-19,292.425
2024-03-18,292.133
2024-03-15,292.214
2024-03-14,292.481
2024-03-13,293.071
2024-03-12,293.0
2024-03-11,293.151
2024-03-08,293.421
2024-03-07,292.514
2024-03-06,291.897
2024-03-05,292.137
2024-03-04,291.209
2024-03-01,291.138
2024-02-29,290.909
2024-02-28,290.448
2024-02-27,290.776
2024-02-26,291.112
2024-02-23,291.579
2024-02-22,290.864
2024-02-21,290.693
2024-02-20,291.304
2024-02-19,290.718
2024-02-16,290.582
2024-02-15,291.182
2024-02-14,290.878
2024-02-13,290.325
2024-02-12,290.721
