Date,Price
2024-11-08,337.836
2024-11-07,336.886
2024-11-06,335.26
2024-11-05,336.404
2024-11-04,336.103
2024-11-01,333.812
2024-10-31,335.84
2024-10-30,336.28
2024-10-29,336.574
2024-10-28,336.608
2024-10-25,336.836
2024-10-24,337.319
2024-10-23,336.593
2024-10-22,337.043
2024-10-21,337.373
2024-10-18,339.392
2024-10-17,339.184
2024-10-16,340.225
2024-10-15,339.548
2024-10-14,338.354
2024-10-11,338.225
2024-10-10,338.194
2024-10-09,338.151
2024-10-08,338.594
2024-10-07,338.479
2024-10-04,339.222
2024-10-03,340.933
2024-10-02,341.734
2024-10-01,342.404
2024-09-30,341.387
2024-09-27,341.756
2024-09-26,340.966
2024-09-25,341.016
2024-09-24,342.009
2024-09-23,341.504
2024-09-20,341.244
2024-09-19,341.518
2024-09-18,341.053
2024-09-17,341.934
2024-09-16,342.131
2024-09-13,341.091
2024-09-12,340.432
2024-09-11,340.761
2024-09-10,340.766
2024-09-09,340.063
2024-09-06,339.659
2024-09-05,339.145
2024-09-04,338.591
2024-09-03,337.322
2024-09-02,336.158
2024-08-31,336.303
2024-08-30,336.287
2024-08-29,336.912
2024-08-28,337.237
2024-08-27,337.35
2024-08-26,337.534
2024-08-23,337.651
2024-08-22,336.563
2024-08-21,337.545
2024-08-20,337.085
2024-08-19,336.246
2024-08-16,335.772
2024-08-15,335.242
2024-08-14,336.082
2024-08-13,335.308
2024-08-12,334.156
2024-08-09,333.681
2024-08-08,332.715
2024-08-07,332.979
2024-08-06,333.616
2024-08-05,334.802
2024-08-02,335.728
2024-08-01,333.477
2024-07-31,332.559
2024-07-30,331.212
2024-07-29,330.832
2024-07-26,330.223
2024-07-25,329.294
2024-07-24,328.814
2024-07-23,329.479
2024-07-22,329.295
2024-07-19,329.491
2024-07-18,330.233
2024-07-17,330.667
2024-07-16,330.623
2024-07-15,329.649
2024-07-12,330.03
2024-07-11,329.623
2024-07-10,328.205
2024-07-09,327.868
2024-07-08,328.305
2024-07-05,327.934
2024-07-04,326.66
2024-07-03,326.738
2024-07-02,325.151
2024-07-01,324.373
2024-06-30,325.669
2024-06-28,325.598
2024-06-27,326.656
2024-06-26,326.175
2024-06-25,327.557
2024-06-24,327.398
2024-06-21,327.089
2024-06-20,327.014
2024-06-19,327.642
2024-06-18,327.618
2024-06-17,326.644
2024-06-14,327.838
2024-06-13,327.415
2024-06-12,326.276
2024-06-11,324.912
2024-06-10,323.932
2024-06-07,324.48
2024-06-06,326.458
2024-06-05,326.676
2024-06-04,326.105
2024-06-03,325.049
2024-05-31,323.419
2024-05-30,322.462
2024-05-29,321.498
2024-05-28,322.718
2024-05-27,323.67
2024-05-24,323.453
2024-05-23,323.18
2024-05-22,324.121
2024-05-21,324.48
2024-05-20,323.932
2024-05-17,324.099
2024-05-16,324.858
2024-05-15,325.075
2024-05-14,323.202
2024-05-13,322.827
2024-05-10,322.556
2024-05-09,323.196
2024-05-08,322.908
2024-05-07,323.529
2024-05-06,322.84
2024-05-03,322.234
2024-05-02,320.773
2024-05-01,319.769
2024-04-30,319.123
2024-04-29,320.156
2024-04-26,319.131
2024-04-25,318.32
2024-04-24,319.216
2024-04-23,320.027
2024-04-22,319.587
2024-04-19,319.211
2024-04-18,319.022
2024-04-17,319.557
2024-04-16,318.436
2024-04-15,319.69
2024-04-12,321.385
2024-04-11,320.583
2024-04-10,321.11
2024-04-09,323.717
2024-04-08,322.605
2024-04-05,322.67
2024-04-04,324.041
2024-04-03,323.197
2024-04-02,322.907
2024-04-01,323.554
2024-03-31,325.096
2024-03-28,325.022
2024-03-27,324.91
2024-03-26,324.103
2024-03-25,323.935
2024-03-22,324.539
2024-03-21,323.473
2024-03-20,322.984
2024-03-19,322.772
2024-03-18,322.224
2024-03-15,322.238
2024-03-14,322.462
2024-03-13,323.91
2024-03-12,324.085
2024-03-11,324.63
2024-03-08,324.729
2024-03-07,324.195
2024-03-06,323.72
