Date,Price
2024-11-08,369.934
2024-11-07,369.756
2024-11-06,369.846
2024-11-05,369.253
2024-11-04,369.322
2024-11-01,369.228
2024-10-31,369.242
2024-10-30,369.589
2024-10-29,369.578
2024-10-28,369.447
2024-10-25,369.134
2024-10-24,369.094
2024-10-23,368.878
2024-10-22,368.809
2024-10-21,369.152
2024-10-18,369.031
2024-10-17,368.821
2024-10-16,368.243
2024-10-15,368.131
2024-10-14,367.842
2024-10-11,367.349
2024-10-10,367.125
2024-10-09,367.052
2024-10-08,366.98
2024-10-07,367.103
2024-10-04,367.238
2024-10-03,367.314
2024-10-02,367.32
2024-10-01,367.283
2024-09-30,366.995
2024-09-27,366.929
2024-09-26,366.708
2024-09-25,366.433
2024-09-24,366.451
2024-09-23,365.957
2024-09-20,365.73
2024-09-19,365.7
2024-09-18,364.745
2024-09-17,364.635
2024-09-16,364.204
2024-09-13,363.831
2024-09-12,363.441
2024-09-11,363.003
2024-09-10,363.554
2024-09-09,363.552
2024-09-06,363.314
2024-09-05,363.124
2024-09-04,362.92
2024-09-03,363.316
2024-09-02,363.371
2024-08-31,363.248
2024-08-30,363.202
2024-08-29,362.936
2024-08-28,362.6
2024-08-27,362.219
2024-08-26,361.659
2024-08-23,361.717
2024-08-22,361.491
2024-08-21,361.344
2024-08-20,361.134
2024-08-19,360.953
2024-08-16,360.637
2024-08-15,360.144
2024-08-14,359.85
2024-08-13,359.452
2024-08-12,359.184
2024-08-09,358.766
2024-08-08,358.395
2024-08-07,358.303
2024-08-06,357.216
2024-08-05,356.69
2024-08-02,358.497
2024-08-01,359.309
2024-07-31,359.065
2024-07-30,358.634
2024-07-29,358.305
2024-07-26,358.043
2024-07-25,357.951
2024-07-24,358.191
2024-07-23,358.033
2024-07-22,357.774
2024-07-19,357.54
2024-07-18,357.555
2024-07-17,357.429
2024-07-16,357.389
2024-07-15,357.235
2024-07-12,357.075
2024-07-11,356.865
2024-07-10,356.5
2024-07-09,356.444
2024-07-08,356.41
2024-07-05,355.998
2024-07-04,355.753
2024-07-03,355.521
2024-07-02,355.104
2024-07-01,355.152
2024-06-30,354.644
2024-06-28,354.554
2024-06-27,354.62
2024-06-26,354.705
2024-06-25,354.652
2024-06-24,354.518
2024-06-21,354.403
2024-06-20,354.341
2024-06-19,354.161
2024-06-18,353.882
2024-06-17,353.292
2024-06-14,353.703
2024-06-13,354.507
2024-06-12,354.561
2024-06-11,354.089
2024-06-10,354.256
2024-06-07,354.555
2024-06-06,354.632
2024-06-05,354.323
2024-06-04,354.105
2024-06-03,353.927
2024-05-31,352.738
2024-05-30,352.734
2024-05-29,352.748
2024-05-28,353.006
2024-05-27,352.613
2024-05-24,352.55
2024-05-23,352.687
2024-05-22,352.702
2024-05-21,352.651
2024-05-20,352.48
2024-05-17,352.287
2024-05-16,352.301
2024-05-15,351.731
2024-05-14,351.169
2024-05-13,351.335
2024-05-10,351.235
2024-05-09,351.167
2024-05-08,351.145
2024-05-07,350.853
2024-05-06,349.932
2024-05-03,349.931
2024-05-02,349.446
2024-05-01,349.319
2024-04-30,349.393
2024-04-29,349.524
2024-04-26,349.193
2024-04-25,348.946
2024-04-24,349.791
2024-04-23,349.818
2024-04-22,349.182
2024-04-19,348.535
2024-04-18,348.445
2024-04-17,348.18
2024-04-16,347.8
2024-04-15,349.384
2024-04-12,349.682
2024-04-11,349.761
2024-04-10,350.46
2024-04-09,350.431
2024-04-08,349.91
2024-04-05,349.739
2024-04-04,349.784
2024-04-03,349.263
2024-04-02,349.304
2024-04-01,349.437
2024-03-31,349.483
2024-03-28,349.376
2024-03-27,349.289
2024-03-26,349.231
2024-03-25,349.345
2024-03-22,348.828
2024-03-21,349.318
2024-03-20,349.533
2024-03-19,350.194
2024-03-18,350.421
