Date,Price
2024-11-08,492.516
2024-11-07,491.586
2024-11-06,490.232
2024-11-05,489.743
2024-11-04,489.794
2024-11-01,489.398
2024-10-31,489.43
2024-10-30,490.145
2024-10-29,489.822
2024-10-28,489.793
2024-10-25,489.35
2024-10-24,489.214
2024-10-23,488.833
2024-10-22,489.581
2024-10-21,490.369
2024-10-18,490.939
2024-10-17,490.616
2024-10-16,490.773
2024-10-15,490.217
2024-10-14,489.55
2024-10-11,489.208
2024-10-10,488.873
2024-10-09,489.057
2024-10-08,489.169
2024-10-07,489.46
2024-10-04,490.325
2024-10-03,490.59
2024-10-02,490.851
2024-10-01,490.84
2024-09-30,490.672
2024-09-27,490.464
2024-09-26,489.63
2024-09-25,489.372
2024-09-24,489.418
2024-09-23,489.288
2024-09-20,489.155
2024-09-19,489.324
2024-09-18,487.806
2024-09-17,487.486
2024-09-16,486.734
2024-09-13,485.527
2024-09-12,484.631
2024-09-11,483.932
2024-09-10,484.163
2024-09-09,484.355
2024-09-06,483.926
2024-09-05,483.978
2024-09-04,483.13
2024-09-03,482.708
2024-09-02,483.332
2024-08-31,483.161
2024-08-30,483.119
2024-08-29,483.038
2024-08-28,482.846
2024-08-27,482.8
2024-08-26,482.651
2024-08-23,482.095
2024-08-22,481.054
2024-08-21,481.057
2024-08-20,480.575
2024-08-19,480.24
2024-08-16,479.203
2024-08-15,478.468
2024-08-14,477.954
2024-08-13,477.046
2024-08-12,476.32
2024-08-09,475.884
2024-08-08,475.372
2024-08-07,474.92
2024-08-06,473.683
2024-08-05,472.337
2024-08-02,474.96
2024-08-01,476.225
2024-07-31,476.072
2024-07-30,475.148
2024-07-29,475.079
2024-07-26,474.776
2024-07-25,474.25
2024-07-24,474.317
2024-07-23,474.606
2024-07-22,474.049
2024-07-19,473.467
2024-07-18,473.833
2024-07-17,473.913
2024-07-16,473.951
2024-07-15,473.024
2024-07-12,472.552
2024-07-11,471.875
2024-07-10,470.53
2024-07-09,470.052
2024-07-08,470.033
2024-07-05,469.063
2024-07-04,468.238
2024-07-03,468.116
2024-07-02,467.351
2024-07-01,467.159
2024-06-30,467.852
2024-06-28,467.691
2024-06-27,467.718
2024-06-26,467.714
2024-06-25,468.234
2024-06-24,468.121
2024-06-21,467.648
2024-06-20,467.448
2024-06-19,467.454
2024-06-18,467.323
2024-06-17,466.299
2024-06-14,466.596
2024-06-13,467.599
2024-06-12,467.595
2024-06-11,465.731
2024-06-10,465.583
2024-06-07,465.716
2024-06-06,466.508
2024-06-05,466.323
2024-06-04,465.639
2024-06-03,465.245
2024-05-31,463.757
2024-05-30,463.122
2024-05-29,462.777
2024-05-28,463.894
2024-05-27,464.067
2024-05-24,463.855
2024-05-23,463.987
2024-05-22,464.564
2024-05-21,465.061
2024-05-20,464.708
2024-05-17,464.314
2024-05-16,464.597
2024-05-15,464.25
2024-05-14,462.725
2024-05-13,462.538
2024-05-10,462.339
2024-05-09,462.504
2024-05-08,462.246
2024-05-07,462.648
2024-05-06,462.203
2024-05-03,461.42
2024-05-02,459.543
2024-05-01,458.321
2024-04-30,458.102
2024-04-29,458.7
2024-04-26,457.559
2024-04-25,456.549
2024-04-24,457.839
2024-04-23,458.026
2024-04-22,456.482
2024-04-19,455.287
2024-04-18,454.923
2024-04-17,455.02
2024-04-16,454.7
2024-04-15,456.574
2024-04-12,457.689
2024-04-11,458.129
2024-04-10,459.061
2024-04-09,460.869
2024-04-08,460.079
2024-04-05,459.936
2024-04-04,460.307
2024-04-03,459.761
2024-04-02,459.573
2024-04-01,460.614
2024-03-31,461.51
2024-03-28,461.347
2024-03-27,461.138
2024-03-26,460.782
2024-03-25,460.845
2024-03-22,460.919
2024-03-21,460.683
2024-03-20,459.905
2024-03-19,459.751
2024-03-18,459.203
2024-03-15,458.893
2024-03-14,459.223
2024-03-13,460.156
2024-03-12,459.706
2024-03-11,459.579
2024-03-08,459.524
2024-03-07,458.911
2024-03-06,458.304
2024-03-05,457.745
2024-03-04,457.418
2024-03-01,457.052
2024-02-29,456.485
2024-02-28,456.159
2024-02-27,456.32
2024-02-26,456.692
2024-02-23,456.532
2024-02-22,455.931
2024-02-21,454.887
2024-02-20,454.987
2024-02-19,454.723
2024-02-16,454.457
2024-02-15,454.788
2024-02-14,453.885
2024-02-13,453.46
2024-02-12,455.215
2024-02-09,454.962
2024-02-08,454.57
2024-02-07,454.546
2024-02-06,453.866
2024-02-05,453.235
2024-02-02,454.46
2024-02-01,455.202
2024-01-31,454.439
2024-01-30,454.612
2024-01-29,454.567
2024-01-26,453.9
2024-01-25,453.321
2024-01-24,452.536
2024-01-23,452.027
2024-01-22,452.357
2024-01-19,451.237
2024-01-18,450.96
2024-01-17,450.577
2024-01-16,451.993
2024-01-15,453.263
2024-01-12,453.098
2024-01-11,452.21
2024-01-10,451.541
2024-01-09,450.236
2024-01-08,449.69
2024-01-05,448.665
2024-01-04,448.924
2024-01-03,449.408
2024-01-02,451.087
2023-12-31,452.578
2023-12-29,452.495
2023-12-28,452.53
2023-12-27,452.495
2023-12-26,451.432
2023-12-22,451.096
2023-12-21,450.705
2023-12-20,450.32
2023-12-19,449.248
2023-12-18,448.348
2023-12-15,448.232
2023-12-14,448.199
2023-12-13,443.014
2023-12-12,440.913
2023-12-11,440.302
2023-12-08,440.338
2023-12-07,440.991
2023-12-06,440.733
2023-12-05,440.071
2023-12-04,439.188
2023-12-01,438.752
2023-11-30,437.508
2023-11-29,437.434
2023-11-28,435.083
2023-11-27,434.188
2023-11-24,433.358
2023-11-23,433.35
2023-11-22,433.179
2023-11-21,432.5
2023-11-20,432.135
2023-11-17,431.215
2023-11-16,430.834
2023-11-15,430.908
2023-11-14,430.964
2023-11-13,427.709
2023-11-10,427.559
2023-11-09,427.57
2023-11-08,428.239
2023-11-07,427.91
2023-11-06,428.232
2023-11-03,428.203
2023-11-02,425.416
2023-11-01,421.393
2023-10-31,420.362
2023-10-30,419.335
2023-10-27,419.178
2023-10-26,419.028
2023-10-25,419.441
2023-10-24,419.768
2023-10-23,418.247
2023-10-20,417.624
2023-10-19,418.292
2023-10-18,419.297
2023-10-17,420.514
2023-10-16,421.653
2023-10-13,422.109
2023-10-12,422.071
2023-10-11,422.898
2023-10-10,422.322
2023-10-09,419.67
2023-10-06,419.479
2023-10-05,419.812
2023-10-04,419.685
2023-10-03,420.294
2023-10-02,422.943
2023-09-30,424.608
2023-09-29,424.535
2023-09-28,423.635
2023-09-27,423.986
2023-09-26,424.519
2023-09-25,425.501
2023-09-22,426.273
2023-09-21,426.045
2023-09-20,427.933
2023-09-19,427.66
2023-09-18,428.094
2023-09-15,428.286
2023-09-14,428.556
2023-09-13,427.904
2023-09-12,427.609
2023-09-11,427.697
2023-09-08,427.218
2023-09-07,426.769
2023-09-06,426.352
2023-09-05,427.123
2023-09-04,427.797
2023-09-01,427.523
2023-08-31,427.463
2023-08-30,427.012
2023-08-29,426.295
2023-08-28,424.909
2023-08-25,424.087
2023-08-24,424.087
2023-08-23,424.233
2023-08-22,422.692
2023-08-21,422.261
2023-08-18,422.569
2023-08-17,423.11
2023-08-16,424.614
2023-08-15,424.903
2023-08-14,425.619
2023-08-11,425.826
2023-08-10,426.504
2023-08-09,426.05
2023-08-08,425.493
2023-08-07,425.355
2023-08-04,424.87
2023-08-03,423.815
2023-08-02,424.778
2023-08-01,426.089
2023-07-31,427.018
2023-07-28,426.267
2023-07-27,425.814
2023-07-26,425.188
2023-07-25,425.112
2023-07-24,425.425
2023-07-21,425.055
2023-07-20,424.727
