Date,Price
2024-11-08,6187.4279
2024-11-07,6147.7129
2024-11-06,6184.965
2024-11-05,5879.0661
2024-11-04,5782.8824
2024-11-01,5848.2071
2024-10-31,5856.6762
2024-10-30,5958.6407
2024-10-29,5998.7411
2024-10-28,6031.8888
2024-10-25,5972.9207
2024-10-24,6024.0467
2024-10-23,5970.0458
2024-10-22,6015.0093
2024-10-21,6044.9471
2024-10-18,6059.6337
2024-10-17,6052.0998
2024-10-16,5919.4057
2024-10-15,5878.7398
2024-10-14,5885.2462
2024-10-11,5840.9095
2024-10-10,5785.6728
2024-10-09,5800.7362
2024-10-08,5748.5633
2024-10-07,5767.6851
2024-10-04,5812.2825
2024-10-03,5724.6936
2024-10-02,5746.3627
2024-10-01,5717.9367
2024-09-30,5711.5268
2024-09-27,5755.4327
2024-09-26,5717.8848
2024-09-25,5654.471
2024-09-24,5718.4389
2024-09-23,5727.0473
2024-09-20,5710.566
2024-09-19,5735.9037
2024-09-18,5610.8871
2024-09-17,5615.4945
2024-09-16,5592.1332
2024-09-13,5545.3297
2024-09-12,5465.3924
2024-09-11,5352.2564
2024-09-10,5333.8245
2024-09-09,5326.2262
2024-09-06,5264.1507
2024-09-05,5333.8054
2024-09-04,5328.3516
2024-09-03,5372.8646
2024-09-02,5511.0592
2024-08-30,5528.2104
2024-08-29,5495.3453
2024-08-28,5465.385
2024-08-27,5478.9466
2024-08-26,5477.0644
2024-08-23,5461.725
2024-08-22,5408.9285
2024-08-21,5387.6033
2024-08-20,5374.8276
2024-08-19,5421.4052
2024-08-16,5394.9493
2024-08-15,5397.587
2024-08-14,5292.2173
2024-08-13,5261.9789
2024-08-12,5213.5674
2024-08-09,5227.7598
2024-08-08,5192.5899
2024-08-07,5147.2902
2024-08-06,5150.8735
2024-08-05,5056.6888
2024-08-02,5249.4698
2024-08-01,5616.5984
2024-07-31,5721.8165
2024-07-30,5662.2265
2024-07-29,5607.5672
2024-07-26,5610.4752
2024-07-25,5547.035
2024-07-24,5554.277
2024-07-23,5655.9806
2024-07-22,5624.4207
2024-07-19,5546.7474
2024-07-18,5555.261
2024-07-17,5565.9142
2024-07-16,5646.3197
2024-07-15,5596.0603
2024-07-12,5561.1186
2024-07-11,5535.8645
2024-07-10,5489.6108
2024-07-09,5398.3133
2024-07-08,5420.5405
2024-07-05,5456.4401
2024-07-04,5459.0773
2024-07-03,5445.2248
2024-07-02,5431.0143
2024-07-01,5382.0458
2024-06-28,5411.0165
2024-06-27,5406.9711
2024-06-26,5427.3494
2024-06-25,5455.0655
2024-06-24,5489.19
2024-06-21,5465.6794
2024-06-20,5499.3231
2024-06-19,5435.0881
2024-06-18,5445.9577
2024-06-17,5422.2195
2024-06-14,5409.943
2024-06-13,5419.5087
2024-06-12,5489.7308
2024-06-11,5428.6781
2024-06-10,5440.3449
2024-06-07,5324.0528
2024-06-06,5360.8627
2024-06-05,5435.0283
2024-06-04,5371.749
2024-06-03,5413.9552
2024-05-31,5399.0742
2024-05-30,5407.0448
2024-05-29,5362.078
2024-05-28,5428.9158
2024-05-27,5461.4158
2024-05-24,5460.1578
2024-05-23,5409.8753
2024-05-22,5441.6889
2024-05-21,5459.2671
2024-05-20,5429.8365
2024-05-17,5402.8861
2024-05-16,5430.9073
2024-05-15,5491.3983
2024-05-14,5405.0848
2024-05-13,5348.441
2024-05-10,5388.2738
2024-05-09,5349.1021
2024-05-08,5341.567
2024-05-07,5348.0535
2024-05-06,5310.0626
2024-05-03,5245.935
2024-05-02,5259.6147
2024-05-01,5232.9361
2024-04-30,5243.6129
2024-04-29,5293.9658
2024-04-26,5295.2189
2024-04-25,5227.9844
2024-04-24,5286.4993
2024-04-23,5317.0215
2024-04-22,5229.3544
2024-04-19,5175.3432
2024-04-18,5191.4642
2024-04-17,5240.226
2024-04-16,5234.8373
2024-04-15,5289.5219
2024-04-12,5316.4458
2024-04-11,5362.7043
2024-04-10,5328.85
2024-04-09,5321.7287
2024-04-08,5352.254
2024-04-05,5322.4772
2024-04-04,5267.755
2024-04-03,5295.3378
2024-04-02,5278.3679
2024-04-01,5341.6576
2024-03-29,5350.0463
2024-03-28,5349.9079
2024-03-27,5330.5222
2024-03-26,5323.8676
2024-03-25,5311.5247
2024-03-22,5308.145
2024-03-21,5328.2645
2024-03-20,5205.8799
2024-03-19,5162.7901
2024-03-18,5146.6657
2024-03-15,5185.9268
2024-03-14,5178.5348
2024-03-13,5219.3071
2024-03-12,5228.0752
2024-03-11,5174.2395
2024-03-08,5182.6183
2024-03-07,5185.916
2024-03-06,5156.4294
2024-03-05,5119.309
2024-03-04,5155.053
2024-03-01,5172.7012
2024-02-29,5164.3707
2024-02-28,5116.0094
2024-02-27,5116.055
2024-02-26,5114.6732
2024-02-23,5120.3476
2024-02-22,5128.7995
2024-02-21,5071.5872
2024-02-20,5074.154
2024-02-19,5139.4995
2024-02-16,5132.0529
2024-02-15,5124.1284
2024-02-14,5079.1359
2024-02-13,5035.3722
2024-02-12,5104.1842
2024-02-09,5058.5492
2024-02-08,5055.8222
2024-02-07,5006.1596
2024-02-06,4962.6758
2024-02-05,4915.4745
