Date,Price
2024-11-08,805.20815622
2024-11-07,798.39420104
2024-11-06,796.73361504
2024-11-05,771.43838835
2024-11-04,767.61694906
2024-11-01,770.86292206
2024-10-31,764.76993458
2024-10-30,778.3840762
2024-10-29,783.95297364
2024-10-28,784.2532317
2024-10-25,783.36999664
2024-10-24,781.14330242
2024-10-23,783.17786552
2024-10-22,788.43017478
2024-10-21,789.2542112
2024-10-18,788.4292927
2024-10-17,786.69549648
2024-10-16,784.66820352
2024-10-15,781.68009231
2024-10-14,785.7511906
2024-10-11,779.67844956
2024-10-10,775.66218759
2024-10-09,775.79182824
2024-10-08,769.38247425
2024-10-07,768.82959032
2024-10-04,772.04828092
2024-10-03,763.58226816
2024-10-02,765.51539351
2024-10-01,764.32328766
2024-09-30,765.02890145
2024-09-27,763.9866497
2024-09-26,761.17368084
2024-09-25,757.82240079
2024-09-24,755.41758645
2024-09-23,755.98709643
2024-09-20,750.2033666
2024-09-19,752.1617703
2024-09-18,743.19917704
2024-09-17,745.71919275
2024-09-16,744.17437696
2024-09-13,746.5919448
2024-09-12,741.91581388
2024-09-11,738.90523798
2024-09-10,733.71812224
2024-09-09,731.7204202
2024-09-06,724.1428596
2024-09-05,731.47524021
2024-09-04,735.46490856
2024-09-03,742.07015295
2024-09-02,752.44900062
2024-08-30,754.66562004
2024-08-29,746.90134288
2024-08-28,743.99053104
2024-08-27,742.85393356
2024-08-26,743.68848744
2024-08-23,742.93887904
2024-08-22,740.43810589
2024-08-21,742.13909396
2024-08-20,740.97090441
2024-08-19,744.40596888
2024-08-16,741.21376014
2024-08-15,740.84175369
2024-08-14,729.6202098
2024-08-13,726.7392315
2024-08-12,720.24291451
2024-08-09,721.10757222
2024-08-08,716.04061024
2024-08-07,705.70961601
2024-08-06,705.39012054
2024-08-05,695.84091948
2024-08-02,721.68080608
2024-08-01,744.5135601
2024-07-31,752.10824745
2024-07-30,741.03700912
2024-07-29,743.4616293
2024-07-26,740.0486835
2024-07-25,734.77122345
2024-07-24,740.4522822
2024-07-23,752.20939482
2024-07-22,750.20185548
2024-07-19,745.4895519
2024-07-18,750.2310865
2024-07-17,753.02938738
2024-07-16,762.82333536
2024-07-15,760.72349826
2024-07-12,759.72693615
2024-07-11,758.65262647
2024-07-10,761.56239728
2024-07-09,756.364722
2024-07-08,755.99223752
2024-07-05,754.51016295
2024-07-04,754.08838683
2024-07-03,753.58424382
2024-07-02,750.92444625
2024-07-01,748.5268879
2024-06-28,748.6362345
2024-06-27,751.0268032
2024-06-26,752.63259228
2024-06-25,750.2828403
2024-06-24,746.62748657
2024-06-21,749.46240639
2024-06-20,751.72755384
2024-06-19,749.51687811
2024-06-18,748.65540316
2024-06-17,745.6453575
2024-06-14,745.10138164
2024-06-13,744.94733559
2024-06-12,741.74267734
2024-06-11,739.29874551
2024-06-10,738.40738517
2024-06-07,735.40693948
2024-06-06,731.5741976
2024-06-05,730.96783434
2024-06-04,723.95374506
2024-06-03,723.50533568
2024-05-31,724.59503954
2024-05-30,721.1221728
2024-05-29,726.07634287
2024-05-28,730.03055596
2024-05-27,730.65672006
2024-05-24,729.88717728
2024-05-23,729.64827051
2024-05-22,733.0106747
