Date,Price
2024-11-08,3791.0
2024-11-07,3787.0
2024-11-06,3752.0
2024-11-05,3693.0
2024-11-04,3656.0
2024-11-01,3660.0
2024-10-31,3647.0
2024-10-30,3706.0
2024-10-29,3718.0
2024-10-28,3717.0
2024-10-25,3706.0
2024-10-24,3707.0
2024-10-23,3698.0
2024-10-22,3731.0
2024-10-21,3740.0
2024-10-18,3753.0
2024-10-17,3738.0
2024-10-16,3735.0
2024-10-15,3728.0
2024-10-14,3753.0
2024-10-11,3732.0
2024-10-10,3711.0
2024-10-09,3716.0
2024-10-08,3694.0
2024-10-07,3679.0
2024-10-04,3698.0
2024-10-03,3676.0
2024-10-02,3686.0
2024-10-01,3694.0
2024-09-30,3723.0
2024-09-27,3727.0
2024-09-26,3721.0
2024-09-25,3696.0
2024-09-24,3702.0
2024-09-23,3688.0
2024-09-20,3677.0
2024-09-19,3690.0
2024-09-18,3630.0
2024-09-17,3641.0
2024-09-16,3641.0
2024-09-13,3635.0
2024-09-12,3611.0
2024-09-11,3579.0
2024-09-10,3552.0
2024-09-09,3546.0
2024-09-06,3519.0
2024-09-05,3567.0
2024-09-04,3580.0
2024-09-03,3595.0
2024-09-02,3659.0
2024-08-30,3661.0
2024-08-29,3632.0
2024-08-28,3631.0
2024-08-27,3647.0
2024-08-26,3642.0
2024-08-23,3650.0
2024-08-22,3608.0
2024-08-21,3631.0
2024-08-20,3616.0
2024-08-19,3618.0
2024-08-16,3584.0
2024-08-15,3568.0
2024-08-14,3522.0
2024-08-13,3502.0
2024-08-12,3446.0
2024-08-09,3448.0
2024-08-08,3428.0
2024-08-07,3372.0
2024-08-06,3381.0
2024-08-05,3343.0
2024-08-02,3449.0
2024-08-01,3518.0
2024-07-31,3572.0
2024-07-30,3514.0
2024-07-29,3527.0
2024-07-26,3524.0
2024-07-25,3491.0
2024-07-24,3516.0
2024-07-23,3581.0
2024-07-22,3585.0
2024-07-19,3554.0
2024-07-18,3580.0
2024-07-17,3608.0
2024-07-16,3643.0
2024-07-15,3630.0
2024-07-12,3628.0
2024-07-11,3606.0
2024-07-10,3614.0
2024-07-09,3579.0
2024-07-08,3583.0
2024-07-05,3581.0
2024-07-04,3569.0
2024-07-03,3562.0
2024-07-02,3538.0
2024-07-01,3520.0
2024-06-28,3512.0
2024-06-27,3522.0
2024-06-26,3520.0
2024-06-25,3521.0
2024-06-24,3509.0
2024-06-21,3508.0
2024-06-20,3520.0
2024-06-19,3524.0
2024-06-18,3523.0
2024-06-17,3508.0
2024-06-14,3492.0
2024-06-13,3504.0
2024-06-12,3516.0
2024-06-11,3480.0
2024-06-10,3482.0
2024-06-07,3479.0
2024-06-06,3490.0
2024-06-05,3483.0
2024-06-04,3454.0
2024-06-03,3453.0
2024-05-31,3445.0
2024-05-30,3420.0
2024-05-29,3430.0
2024-05-28,3465.0
2024-05-27,3468.0
2024-05-24,3462.0
2024-05-23,3446.0
2024-05-22,3466.0
2024-05-21,3480.0
2024-05-20,3477.0
2024-05-17,3473.0
2024-05-16,3469.0
2024-05-15,3472.0
2024-05-14,3435.0
2024-05-13,3421.0
2024-05-10,3420.0
2024-05-09,3411.0
2024-05-08,3396.0
2024-05-07,3402.0
2024-05-06,3391.0
2024-05-03,3361.0
2024-05-02,3322.0
2024-05-01,3294.0
2024-04-30,3305.0
2024-04-29,3347.0
2024-04-26,3335.0
2024-04-25,3307.0
2024-04-24,3323.0
2024-04-23,3323.0
2024-04-22,3282.0
2024-04-19,3256.0
2024-04-18,3280.0
2024-04-17,3281.0
2024-04-16,3297.0
2024-04-15,3318.0
2024-04-12,3351.0
2024-04-11,3391.0
2024-04-10,3380.0
2024-04-09,3412.0
2024-04-08,3409.0
2024-04-05,3402.0
2024-04-04,3386.0
2024-04-03,3410.0
2024-04-02,3403.0
2024-04-01,3425.0
2024-03-29,3438.0
2024-03-28,3437.0
2024-03-27,3437.0
2024-03-26,3414.0
2024-03-25,3420.0
2024-03-22,3428.0
2024-03-21,3435.0
2024-03-20,3415.0
2024-03-19,3393.0
2024-03-18,3381.0
2024-03-15,3363.0
2024-03-14,3382.0
2024-03-13,3396.0
