Date,Price
2024-11-13,575.396381
2024-11-12,575.227139
2024-11-11,576.466173
2024-11-08,570.422641
2024-11-07,566.446016
2024-11-06,564.9767
2024-11-05,547.72011
2024-11-04,542.401645
2024-11-01,545.467086
2024-10-31,543.155831
2024-10-30,551.579277
2024-10-29,556.611851
2024-10-28,555.391385
2024-10-25,553.108753
2024-10-24,555.051874
2024-10-23,554.759462
2024-10-22,558.002395
2024-10-21,558.046124
2024-10-18,558.778477
2024-10-17,558.015518
2024-10-16,554.984509
2024-10-15,552.762192
2024-10-14,555.841598
2024-10-11,551.182752
2024-10-10,549.100227
2024-10-09,548.59415
2024-10-08,544.239098
2024-10-07,541.68811
2024-10-04,544.877952
2024-10-03,539.152082
2024-10-02,539.737178
2024-10-01,538.845122
2024-09-30,539.054023
2024-09-27,538.679122
2024-09-26,538.102932
2024-09-25,534.248816
2024-09-24,536.17512
2024-09-23,535.057312
2024-09-20,532.855218
2024-09-19,535.361705
2024-09-18,527.175969
2024-09-17,528.432156
2024-09-16,528.482701
2024-09-13,529.238695
2024-09-12,528.083029
2024-09-11,524.693776
2024-09-10,520.405205
2024-09-09,518.394879
2024-09-06,510.704919
2024-09-05,519.709689
2024-09-04,520.945666
2024-09-03,525.452373
2024-09-02,533.450012
2024-08-30,533.735228
2024-08-29,529.38048
2024-08-28,526.3721
2024-08-27,526.967718
2024-08-26,525.706717
2024-08-23,526.694034
2024-08-22,523.586529
2024-08-21,526.38993
2024-08-20,524.899999
2024-08-19,527.478238
2024-08-16,525.977189
2024-08-15,523.905526
2024-08-14,514.638784
2024-08-13,515.321326
2024-08-12,508.274265
2024-08-09,508.828662
2024-08-08,506.565748
2024-08-07,497.180814
2024-08-06,498.370079
2024-08-05,490.695007
2024-08-02,508.888051
2024-08-01,525.348966
2024-07-31,531.908969
2024-07-30,524.141997
2024-07-29,525.411237
2024-07-26,523.1064
2024-07-25,518.173429
2024-07-24,521.963538
2024-07-23,532.010555
2024-07-22,530.641632
2024-07-19,525.798746
2024-07-18,528.427038
2024-07-17,531.740524
2024-07-16,539.514469
2024-07-15,535.662276
2024-07-12,535.698592
2024-07-11,534.035083
2024-07-10,537.848747
2024-07-09,533.100875
2024-07-08,532.683816
2024-07-05,532.924986
2024-07-04,531.952392
2024-07-03,531.05524
2024-07-02,530.375186
2024-07-01,528.395753
2024-06-28,527.745513
2024-06-27,529.487437
2024-06-26,530.683222
2024-06-25,529.793829
2024-06-24,526.593275
2024-06-21,528.762282
2024-06-20,528.558548
2024-06-19,527.815598
2024-06-18,528.148846
2024-06-17,527.076387
2024-06-14,526.028466
2024-06-13,523.709177
2024-06-12,521.78481
2024-06-11,522.376045
2024-06-10,522.156138
2024-06-07,517.853919
2024-06-06,516.294037
2024-06-05,515.861852
2024-06-04,510.814845
2024-06-03,511.223534
2024-05-31,510.622482
2024-05-30,507.606582
2024-05-29,510.264166
2024-05-28,512.510478
2024-05-27,513.751512
2024-05-24,513.43827
2024-05-23,512.013218
2024-05-22,514.479746
2024-05-21,515.352301
2024-05-20,514.659992
2024-05-17,513.395848
2024-05-16,513.079048
2024-05-15,514.09318
2024-05-14,510.01973
2024-05-13,508.892273
2024-05-10,510.506992
2024-05-09,508.546583
2024-05-08,507.31391
2024-05-07,506.860709
2024-05-06,505.12424
2024-05-03,501.26784
2024-05-02,498.992118
2024-05-01,494.995111
2024-04-30,496.270973
2024-04-29,501.50741
2024-04-26,501.212194
2024-04-25,495.346396
2024-04-24,498.947108
2024-04-23,498.361902
2024-04-22,494.713394
2024-04-19,489.475761
2024-04-18,493.805463
2024-04-17,494.813543
2024-04-16,497.462911
2024-04-15,500.748255
2024-04-12,505.605583
2024-04-11,507.999534
2024-04-10,503.989338
2024-04-09,503.9361
2024-04-08,503.589104
2024-04-05,504.270315
2024-04-04,499.572753
2024-04-03,505.089371
2024-04-02,506.80251
2024-04-01,510.984091
2024-03-29,510.285648
2024-03-28,510.140226
2024-03-27,508.923116
2024-03-26,505.13316
2024-03-25,505.580705
2024-03-22,507.750225
2024-03-21,506.559205
2024-03-20,503.928101
2024-03-19,500.47005
2024-03-18,497.381387
2024-03-15,494.665446
2024-03-14,497.51196
2024-03-13,496.860156
2024-03-12,498.159418
2024-03-11,493.293369
2024-03-08,493.732282
2024-03-07,496.717668
2024-03-06,492.508094
2024-03-05,491.194323
2024-03-04,495.236391
2024-03-01,496.767678
2024-02-29,493.415987
2024-02-28,490.602416
2024-02-27,491.307267
2024-02-26,490.240784
2024-02-23,492.80356
2024-02-22,492.679225
2024-02-21,484.317778
2024-02-20,483.799361
2024-02-19,488.161473
2024-02-16,487.721566
2024-02-15,488.800913
2024-02-14,486.989467
2024-02-13,483.302974
2024-02-12,487.076789
2024-02-09,486.277425
2024-02-08,485.068606
2024-02-07,485.080777
2024-02-06,482.629511
2024-02-05,481.818511
2024-02-02,480.486246
2024-02-01,476.200763
2024-01-31,471.560545
2024-01-30,477.320368
2024-01-29,478.914886
2024-01-26,473.128478
2024-01-25,473.948954
2024-01-24,469.563413
2024-01-23,470.678429
2024-01-22,468.116684
2024-01-19,466.19464
2024-01-18,462.799817
2024-01-17,459.509931
2024-01-16,462.124197
2024-01-15,461.782413
2024-01-12,461.610036
2024-01-11,460.789724
2024-01-10,460.50372
2024-01-09,460.461992
2024-01-08,459.142815
2024-01-05,454.033955
2024-01-04,454.049535
2024-01-03,456.329483
2024-01-02,459.0752
2024-01-01,458.217661
2023-12-29,458.207121
2023-12-28,457.038136
2023-12-27,456.634534
2023-12-26,457.946089
2023-12-25,457.054095
2023-12-22,457.020137
2023-12-21,456.913749
2023-12-20,454.195164
2023-12-19,458.215064
2023-12-18,457.981272
2023-12-15,457.19563
2023-12-14,454.298506
2023-12-13,458.554761
2023-12-12,454.123948
2023-12-11,454.017509
2023-12-08,451.639946
2023-12-07,449.517473
2023-12-06,446.769934
2023-12-05,446.491094
2023-12-04,446.562016
2023-12-01,447.800768
2023-11-30,442.188527
2023-11-29,438.125928
2023-11-28,437.648484
2023-11-27,438.899477
2023-11-24,439.663729
2023-11-23,439.920548
2023-11-22,441.075207
2023-11-21,437.608118
2023-11-20,438.130007
2023-11-17,437.290343
2023-11-16,435.890079
2023-11-15,436.588476
2023-11-14,435.937205
2023-11-13,433.098188
2023-11-10,433.310035
2023-11-09,428.213689
2023-11-08,429.897601
2023-11-07,430.600666
2023-11-06,428.51481
2023-11-03,428.102807
2023-11-02,428.039307
2023-11-01,422.987638
2023-10-31,417.3286
2023-10-30,413.700236
2023-10-27,411.409363
2023-10-26,414.159742
2023-10-25,417.140511
2023-10-24,421.120892
2023-10-23,417.627903
2023-10-20,419.917088
2023-10-19,425.710833
2023-10-18,431.043047
2023-10-17,435.025462
2023-10-16,435.644673
2023-10-13,434.026678
2023-10-12,435.19306
2023-10-11,434.692726
2023-10-10,434.004502
2023-10-09,431.731825
2023-10-06,429.974521
2023-10-05,425.914096
2023-10-04,426.563222
2023-10-03,425.546873
2023-10-02,430.596397
2023-09-29,429.089183
2023-09-28,430.469438
2023-09-27,430.035081
2023-09-26,427.685275
2023-09-25,433.192754
2023-09-22,429.926089
2023-09-21,430.76852
2023-09-20,435.834758
2023-09-19,439.20787
2023-09-18,440.542315
2023-09-15,441.627914
2023-09-14,444.898946
2023-09-13,437.969176
2023-09-12,438.838998
2023-09-11,439.512118
2023-09-08,437.709122
2023-09-07,437.851073
2023-09-06,438.955389
2023-09-05,441.544287
2023-09-04,440.841349
2023-09-01,439.832517
2023-08-31,437.443578
2023-08-30,435.143625
2023-08-29,436.737681
2023-08-28,431.814711
2023-08-25,429.708312
2023-08-24,426.106461
2023-08-23,430.410294
2023-08-22,426.068882
2023-08-21,424.8081
2023-08-18,423.447034
2023-08-17,423.432726
2023-08-16,426.155843
2023-08-15,428.116953
2023-08-14,433.63031
2023-08-11,430.328985
2023-08-10,430.214304
2023-08-09,430.243325
2023-08-08,433.389359
2023-08-07,433.401473
2023-08-04,430.138351
2023-08-03,434.199034
2023-08-02,435.890823
2023-08-01,440.747314
2023-07-31,441.156718
2023-07-28,439.820971
2023-07-27,438.173978
2023-07-26,436.753053
2023-07-25,437.618606
2023-07-24,435.065599
2023-07-21,432.489723
2023-07-20,431.311116
2023-07-19,432.208936
2023-07-18,429.684606
2023-07-17,426.931415
2023-07-14,425.982366
2023-07-13,428.053171
2023-07-12,426.207905
2023-07-11,426.344976
2023-07-10,423.692066
2023-07-07,423.741593
2023-07-06,426.95102
2023-07-05,431.959856
2023-07-04,432.41377
2023-07-03,432.270285
2023-06-30,431.337267
2023-06-29,427.394782
2023-06-28,425.54169
2023-06-27,423.078228
2023-06-26,420.847398
2023-06-23,422.945951
2023-06-22,424.028078
2023-06-21,423.789723
2023-06-20,427.544454
2023-06-19,428.922884
2023-06-16,429.925465
2023-06-15,431.06668
2023-06-14,429.360938
2023-06-13,429.919603
2023-06-12,428.609946
2023-06-09,425.221517
2023-06-08,424.162554
2023-06-07,424.314074
2023-06-06,426.666151
2023-06-05,424.6769
2023-06-02,424.571426
2023-06-01,418.153063
2023-05-31,416.238466
2023-05-30,417.312296
2023-05-29,418.678564
2023-05-26,418.440699
2023-05-25,412.937483
2023-05-24,410.434066
2023-05-23,413.938745
2023-05-22,417.35098
2023-05-19,417.296022
2023-05-18,417.5706
2023-05-17,412.705245
2023-05-16,408.207561
2023-05-15,410.714794
2023-05-12,409.285628
2023-05-11,407.910846
2023-05-10,406.905353
2023-05-09,406.439767
2023-05-08,405.956217
2023-05-05,405.415533
2023-05-04,399.438708
2023-05-03,399.907645
2023-05-02,403.556177
2023-05-01,407.867254
2023-04-28,406.002412
2023-04-27,404.113746
2023-04-26,397.706634
2023-04-25,401.480892
2023-04-24,404.885536
2023-04-21,406.309114
2023-04-20,406.036934
2023-04-19,408.309928
2023-04-18,408.520533
2023-04-17,409.005492
2023-04-14,405.386092
2023-04-13,404.39128
2023-04-12,402.074151
2023-04-11,404.662809
2023-04-10,405.80421
2023-04-07,403.273861
2023-04-06,403.233426
2023-04-05,402.72554
2023-04-04,402.377079
2023-04-03,406.344671
2023-03-31,405.453354
2023-03-30,399.049724
2023-03-29,398.802062
2023-03-28,393.655965
2023-03-27,395.203648
2023-03-24,394.441013
2023-03-23,390.416095
2023-03-22,392.373685
2023-03-21,396.875229
2023-03-20,393.740285
2023-03-17,393.27354
2023-03-16,397.423787
2023-03-15,394.654546
2023-03-14,392.964443
2023-03-13,388.074528
2023-03-10,391.732983
2023-03-09,401.141409
2023-03-08,406.710397
2023-03-07,405.331927
2023-03-06,407.650015
2023-03-03,409.779105
2023-03-02,403.575917
2023-03-01,399.282588
2023-02-28,402.924392
2023-02-27,404.081763
2023-02-24,404.136676
2023-02-23,406.558493
2023-02-22,404.321593
2023-02-21,403.597397
2023-02-20,409.7537
2023-02-17,410.17027
2023-02-16,411.352046
2023-02-15,414.841794
2023-02-14,412.72099
2023-02-13,412.282072
2023-02-10,410.06555
2023-02-09,407.716444
2023-02-08,410.787342
2023-02-07,414.734295
2023-02-06,409.280858
2023-02-03,408.445549
2023-02-02,409.227614
2023-02-01,404.47593
2023-01-31,403.136137
2023-01-30,399.047231
2023-01-27,403.978137
2023-01-26,402.277325
2023-01-25,397.463723
2023-01-24,398.329259
2023-01-23,398.564789
2023-01-20,395.511192
2023-01-19,391.189765
2023-01-18,393.741923
2023-01-17,398.168428
2023-01-16,397.202629
2023-01-13,397.030104
2023-01-12,395.595649
2023-01-11,394.692616
2023-01-10,391.297881
2023-01-09,389.631004
2023-01-06,392.708038
2023-01-05,387.575958
2023-01-04,388.863897
2023-01-03,387.133616
2023-01-02,383.811221
2022-12-30,383.12884
2022-12-29,384.702758
2022-12-28,380.914228
2022-12-27,383.607305
2022-12-26,385.565681
2022-12-23,385.522525
2022-12-22,384.512601
2022-12-21,388.677855
2022-12-20,382.712846
2022-12-19,383.841036
2022-12-16,385.511166
2022-12-15,388.786967
2022-12-14,398.961488
2022-12-13,400.760997
2022-12-12,400.43966
2022-12-09,396.632327
2022-12-08,397.539554
2022-12-07,396.719498
2022-12-06,397.903858
2022-12-05,402.038087
2022-12-02,409.609956
2022-12-01,410.289211
2022-11-30,414.732214
2022-11-29,403.540331
2022-11-28,402.712141
2022-11-25,407.673385
2022-11-24,407.898996
2022-11-23,407.946424
2022-11-22,408.161126
2022-11-21,404.541724
2022-11-18,402.56794
2022-11-17,401.288683
2022-11-16,400.584264
2022-11-15,405.169899
2022-11-14,402.825241
2022-11-11,406.023321
2022-11-10,406.017662
2022-11-09,392.350784
2022-11-08,397.854905
2022-11-07,397.184078
2022-11-04,397.147147
2022-11-03,396.362133
2022-11-02,396.84107
2022-11-01,404.217449
2022-10-31,403.974064
2022-10-28,403.369758
2022-10-27,395.53848
2022-10-26,395.409378
2022-10-25,399.26707
2022-10-24,395.197
2022-10-21,393.844747
2022-10-20,386.680535
2022-10-19,390.354819
2022-10-18,390.928271
2022-10-17,388.124714
2022-10-14,381.765686
2022-10-13,388.862396
2022-10-12,382.366756
2022-10-11,383.414358
2022-10-10,386.788339
2022-10-07,387.045497
2022-10-06,394.493493
2022-10-05,397.317414
2022-10-04,395.100098
2022-10-03,387.626315
2022-09-30,380.25446
2022-09-29,385.049965
2022-09-28,396.312803
2022-09-27,391.006723
2022-09-26,390.61695
2022-09-23,393.168877
2022-09-22,396.864866
2022-09-21,398.636959
2022-09-20,399.836422
2022-09-19,403.259795
2022-09-16,400.774186
2022-09-15,405.726481
2022-09-14,409.652519
2022-09-13,409.118149
2022-09-12,419.812399
2022-09-09,417.886575
2022-09-08,414.133109
2022-09-07,410.950976
2022-09-06,408.163668
2022-09-05,409.335085
2022-09-02,406.278408
2022-09-01,410.7918
2022-08-31,408.427618
2022-08-30,413.938591
2022-08-29,417.776879
2022-08-26,420.416808
2022-08-25,433.4442
2022-08-24,427.886896
2022-08-23,427.229931
2022-08-22,428.980125
2022-08-19,433.769338
2022-08-18,435.964525
2022-08-17,433.913896
2022-08-16,436.437778
2022-08-15,435.48428
2022-08-12,432.130075
2022-08-11,422.987099
2022-08-10,422.618577
2022-08-09,418.962437
2022-08-08,421.482469
2022-08-05,422.599817
2022-08-04,422.135098
2022-08-03,424.47036
2022-08-02,417.469328
2022-08-01,417.665173
2022-07-29,420.353841
2022-07-28,416.39168
2022-07-27,412.443149
2022-07-26,404.121401
2022-07-25,404.879304
2022-07-22,404.294431
2022-07-21,407.812047
2022-07-20,403.935461
2022-07-19,400.177892
2022-07-18,392.928449
2022-07-15,397.589228
2022-07-14,393.442453
2022-07-13,392.686078
2022-07-12,396.502417
2022-07-11,397.96978
2022-07-08,399.243454
2022-07-07,399.122459
2022-07-06,391.872181
2022-07-05,388.946229
2022-07-04,384.19373
2022-07-01,384.195273
2022-06-30,379.823601
2022-06-29,383.128233
2022-06-28,383.196905
2022-06-27,385.924694
2022-06-24,387.305514
2022-06-23,377.460412
2022-06-22,373.28757
2022-06-21,375.315322
2022-06-20,369.136447
2022-06-17,370.54433
2022-06-16,369.885256
2022-06-15,382.79237
2022-06-14,378.173449
2022-06-13,380.538198
2022-06-10,390.93704
2022-06-09,398.25133
2022-06-08,404.138672
2022-06-07,408.315605
2022-06-06,405.475157
2022-06-03,403.844888
2022-06-02,409.110024
2022-06-01,404.585785
2022-05-31,405.829704
2022-05-30,406.714024
2022-05-27,407.563055
2022-05-26,398.723358
2022-05-25,393.725898
2022-05-24,389.138926
2022-05-23,394.40677
2022-05-20,391.61347
2022-05-19,389.796281
2022-05-18,394.557756
2022-05-17,405.727568
2022-05-16,402.918124
2022-05-13,404.35148
2022-05-12,394.401704
2022-05-11,391.170136
2022-05-10,394.895998
2022-05-09,394.567449
2022-05-06,405.820621
2022-05-05,410.999894
2022-05-04,422.073592
2022-05-03,414.411198
2022-05-02,412.986507
2022-04-29,411.788296
2022-04-28,422.780562
2022-04-27,414.709104
2022-04-26,410.006524
2022-04-25,417.464582
2022-04-22,415.494242
2022-04-21,423.92724
2022-04-20,428.027783
2022-04-19,429.728436
2022-04-18,424.999675
2022-04-15,426.465279
2022-04-14,426.604805
2022-04-13,427.299121
2022-04-12,422.628665
2022-04-11,423.498601
2022-04-08,430.051101
2022-04-07,428.779398
2022-04-06,428.133634
2022-04-05,432.650186
2022-04-04,434.848157
2022-04-01,429.846185
2022-03-31,425.806909
2022-03-30,430.384822
2022-03-29,434.483789
2022-03-28,432.795373
2022-03-25,430.425486
2022-03-24,428.418467
2022-03-23,424.566183
2022-03-22,427.636549
2022-03-21,422.312228
2022-03-18,422.410237
2022-03-17,416.001242
2022-03-16,413.966401
2022-03-15,404.745747
2022-03-14,398.93813
2022-03-11,401.297203
2022-03-10,403.815875
2022-03-09,404.159778
2022-03-08,398.389618
2022-03-07,401.532294
2022-03-04,410.822498
2022-03-03,411.924712
2022-03-02,414.747843
2022-03-01,407.326739
2022-02-28,410.540769
2022-02-25,410.328063
2022-02-24,404.805308
2022-02-23,397.616828
2022-02-22,402.76799
2022-02-21,406.289849
