Date,Price
2024-11-06,3497.529101
2024-11-05,3378.7260336
2024-11-04,3361.3454318
2024-11-01,3378.2808906
2024-10-31,3351.2110604
2024-10-30,3414.3455367
2024-10-29,3436.7526054
2024-10-28,3437.492589
2024-10-25,3433.5441393
2024-10-24,3424.0255916
2024-10-23,3429.745856
2024-10-22,3455.8739576
2024-10-21,3458.4032528
2024-10-18,3453.922712
2024-10-17,3451.1006136
2024-10-16,3439.1935617
2024-10-15,3423.677868
2024-10-14,3440.7116783
2024-10-11,3412.2155569
2024-10-10,3393.4071879
2024-10-09,3397.1739672
2024-10-08,3364.583725
2024-10-07,3352.22415
2024-10-04,3369.5473828
2024-10-03,3332.3413206
2024-10-02,3337.1951088
2024-10-01,3337.409665
2024-09-30,3343.8393945
2024-09-27,3338.541976
2024-09-26,3329.0007327
2024-09-25,3320.0549459
2024-09-24,3311.5490685
2024-09-23,3319.2388169
2024-09-20,3294.080956
2024-09-19,3305.7361296
2024-09-18,3264.6883736
2024-09-17,3275.903925
2024-09-16,3270.5041663
2024-09-13,3281.733351
2024-09-12,3261.076126
2024-09-11,3250.058357
2024-09-10,3223.5382656
2024-09-09,3214.066856
2024-09-06,3174.7443624
2024-09-05,3211.0620741
2024-09-04,3230.5029416
2024-09-03,3255.850692
2024-09-02,3305.4257744
2024-08-30,3314.2276728
2024-08-29,3278.9960555
2024-08-28,3265.465536
2024-08-27,3261.160349
2024-08-26,3262.9889238
2024-08-23,3261.4657896
2024-08-22,3246.6144659
2024-08-21,3256.1937276
2024-08-20,3248.6608719
2024-08-19,3264.2400292
2024-08-16,3250.0718082
2024-08-15,3252.287469
2024-08-14,3198.709602
2024-08-13,3185.8626225
2024-08-12,3152.8060739
2024-08-09,3158.4492975
2024-08-08,3139.5722576
2024-08-07,3087.9322544
2024-08-06,3093.2283681
2024-08-05,3052.1799084
2024-08-02,3161.721888
2024-08-01,3260.139867
2024-07-31,3299.3806503
2024-07-30,3249.5270768
2024-07-29,3259.553193
2024-07-26,3245.8891248
2024-07-25,3219.1294794
2024-07-24,3243.7987623
2024-07-23,3300.0223659
2024-07-22,3292.0083576
2024-07-19,3267.2203312
2024-07-18,3285.4697568
2024-07-17,3298.6649142
2024-07-16,3343.062356
2024-07-15,3331.7366652
2024-07-12,3326.1819136
2024-07-11,3319.0643985
2024-07-10,3336.6629296
2024-07-09,3310.522317
2024-07-08,3310.558108
2024-07-05,3304.633565
2024-07-04,3301.9078552
2024-07-03,3302.6502999
2024-07-02,3292.5374325
2024-07-01,3278.1076508
2024-06-28,3278.071041
2024-06-27,3290.86336
2024-06-26,3296.3950482
2024-06-25,3286.4254185
2024-06-24,3269.6045205
2024-06-21,3281.1002397
2024-06-20,3289.4225344
2024-06-19,3280.2808038
2024-06-18,3280.5662036
2024-06-17,3268.355865
2024-06-14,3263.600089
2024-06-13,3264.5189391
2024-06-12,3253.737879
2024-06-11,3240.4853286
2024-06-10,3235.3654242
2024-06-07,3221.032691
2024-06-06,3205.2545716
2024-06-05,3205.180842
2024-06-04,3174.9610659
2024-06-03,3167.7023744
2024-05-31,3177.8937114
2024-05-30,3157.6052208
2024-05-29,3175.9399
2024-05-28,3191.7026703
2024-05-27,3194.0783674
2024-05-24,3192.3608304
2024-05-23,3187.2836802
2024-05-22,3202.6187215
2024-05-21,3206.0461888
2024-05-20,3203.1811961
2024-05-17,3194.5794992
2024-05-16,3192.5659969
2024-05-15,3190.833327
2024-05-14,3175.4183085
2024-05-13,3171.2321256
2024-05-10,3175.7035128
2024-05-09,3164.0091916
2024-05-08,3160.2202788
2024-05-07,3163.8502062
2024-05-06,3149.2746084
2024-05-03,3124.5650514
2024-05-02,3097.255644
2024-05-01,3075.9135979
2024-04-30,3099.214545
2024-04-29,3122.5205568
2024-04-26,3119.2336224
2024-04-25,3081.991094
2024-04-24,3106.7444236
2024-04-23,3105.4784618
2024-04-22,3080.6024949
2024-04-19,3055.7574882
2024-04-18,3081.916358
2024-04-17,3074.7938032
2024-04-16,3105.5431946
2024-04-15,3123.3966592
2024-04-12,3148.8435667
2024-04-11,3162.0829149
2024-04-10,3146.2827396
2024-04-09,3143.3196707
2024-04-08,3139.2247986
2024-04-05,3140.1401148
2024-04-04,3125.3270883
2024-04-03,3146.8405866
2024-04-02,3160.669512
2024-04-01,3187.8756732
2024-03-29,3185.1877728
2024-03-28,3186.0325312
2024-03-27,3174.738426
2024-03-26,3152.6188144
2024-03-25,3156.313113
2024-03-22,3172.72506
2024-03-21,3162.6968989
2024-03-20,3127.7660488
2024-03-19,3123.2238143
2024-03-18,3109.8107196
2024-03-15,3089.0439459
2024-03-14,3108.6005944
2024-03-13,3102.6912602
2024-03-12,3109.910595
2024-03-11,3081.71997
2024-03-08,3090.5634062
2024-03-07,3098.1873108
2024-03-06,3080.6792904
2024-03-05,3074.328756
2024-03-04,3097.7358096
2024-03-01,3104.2015504
2024-02-29,3089.145924
2024-02-28,3066.298324
2024-02-27,3072.5597796
2024-02-26,3066.0790589
2024-02-23,3081.9532356
2024-02-22,3076.6574456
2024-02-21,3025.0414893
2024-02-20,3030.9490511
2024-02-19,3049.877394
2024-02-16,3049.1169792
2024-02-15,3054.2604108
2024-02-14,3044.910708
2024-02-13,3025.7223854
2024-02-12,3046.1553042
2024-02-09,3043.4186074
2024-02-08,3030.9452586
2024-02-07,3031.3562894
2024-02-06,3017.0374039
2024-02-05,3010.4487653
2024-02-02,3011.536572
2024-02-01,2967.978372
2024-01-31,2963.5106592
2024-01-30,2985.9434676
2024-01-29,2987.4793552
2024-01-26,2963.7237827
2024-01-25,2961.75904
2024-01-24,2943.613953
2024-01-23,2940.637713
2024-01-22,2930.878573
2024-01-19,2913.9643648
2024-01-18,2890.549584
2024-01-17,2867.7779732
2024-01-16,2893.1613048
2024-01-15,2891.0705274
2024-01-12,2893.7125723
2024-01-11,2878.1497656
2024-01-10,2881.675635
2024-01-09,2878.9425651
2024-01-08,2880.2957546
2024-01-05,2852.1514945
2024-01-04,2845.7762796
2024-01-03,2852.9347056
2024-01-02,2873.3097158
2024-01-01,2869.6607975
2023-12-29,2871.6890734
2023-12-28,2873.719932
2023-12-27,2860.180929
2023-12-26,2864.1907195
2023-12-25,2864.0686899
2023-12-22,2863.1031902
2023-12-21,2857.0941087
2023-12-20,2854.0652896
2023-12-19,2871.904405
2023-12-18,2867.001433
2023-12-15,2869.6089516
2023-12-14,2846.7892776
2023-12-13,2852.0942868
2023-12-12,2842.3205784
2023-12-11,2840.2699776
2023-12-08,2831.7113088
2023-12-07,2814.5315445
2023-12-06,2807.094616
2023-12-05,2800.559847
2023-12-04,2793.0885815
2023-12-01,2794.494521
2023-11-30,2777.5367543
2023-11-29,2747.9205382
2023-11-28,2741.1976944
2023-11-27,2746.2647901
2023-11-24,2756.3660904
2023-11-23,2759.2853666
2023-11-22,2759.9622028
2023-11-21,2749.8908329
2023-11-20,2747.1814912
2023-11-17,2736.9415996
2023-11-16,2740.09518
2023-11-15,2743.12518
2023-11-14,2723.920512
2023-11-13,2715.3736576
2023-11-10,2715.8075424
2023-11-09,2699.2164888
2023-11-08,2697.6882877
2023-11-07,2698.7568113
2023-11-06,2696.6276688
2023-11-03,2687.84579
2023-11-02,2686.018131
2023-11-01,2647.1249125
2023-10-31,2617.8409548
2023-10-30,2598.3116016
2023-10-27,2586.1290539
2023-10-26,2595.6068912
2023-10-25,2624.356537
2023-10-24,2646.3671612
2023-10-23,2612.243715
2023-10-20,2634.9863848
2023-10-19,2669.8678515
2023-10-18,2707.0710258
2023-10-17,2731.5657306
2023-10-16,2732.8592525
2023-10-13,2723.5265598
2023-10-12,2739.9435218
2023-10-11,2731.010055
2023-10-10,2723.6556957
2023-10-09,2705.8261892
2023-10-06,2687.7180672
2023-10-05,2670.1164615
2023-10-04,2676.2479146
2023-10-03,2675.2519948
2023-10-02,2709.7858368
2023-09-29,2699.3647668
2023-09-28,2704.6897128
2023-09-27,2705.5401516
2023-09-26,2691.4083181
2023-09-25,2719.3568991
2023-09-22,2703.5743815
2023-09-21,2707.8840382
2023-09-20,2754.8048612
2023-09-19,2764.0363103
2023-09-18,2765.321163
2023-09-15,2778.9685594
2023-09-14,2803.0033568
2023-09-13,2756.1888376
2023-09-12,2749.1364522
2023-09-11,2762.8059745
2023-09-08,2756.1642427
2023-09-07,2754.5753037
2023-09-06,2755.5040786
2023-09-05,2773.753098
2023-09-04,2770.2130948
2023-09-01,2775.0126575
2023-08-31,2754.3645684
2023-08-30,2738.4972384
2023-08-29,2735.585435
2023-08-28,2713.9758237
2023-08-25,2696.2989007
2023-08-24,2688.7171875
2023-08-23,2705.32793
2023-08-22,2682.7677423
2023-08-21,2672.4103588
2023-08-18,2666.830025
2023-08-17,2669.3445792
2023-08-16,2690.4678606
2023-08-15,2703.7830798
2023-08-14,2730.0485374
2023-08-11,2716.3023102
2023-08-10,2718.6544923
2023-08-09,2712.4005923
2023-08-08,2727.866371
2023-08-07,2730.2166661
2023-08-04,2712.5846858
2023-08-03,2732.2013862
2023-08-02,2743.7146373
2023-08-01,2775.994188
2023-07-31,2787.501781
2023-07-28,2776.060044
2023-07-27,2765.3488653
2023-07-26,2747.171916
2023-07-25,2755.2556947
2023-07-24,2745.84576
2023-07-21,2722.9314384
2023-07-20,2722.579311
2023-07-19,2721.9160298
2023-07-18,2710.2552987
2023-07-17,2689.997694
2023-07-14,2688.1093374
2023-07-13,2690.4106245
2023-07-12,2684.3785497
2023-07-11,2683.204832
2023-07-10,2664.8227285
2023-07-07,2666.3641677
2023-07-06,2686.2869115
2023-07-05,2728.5475932
2023-07-04,2732.091829
2023-07-03,2723.8952153
2023-06-30,2719.2658848
2023-06-29,2700.5301142
2023-06-28,2680.7184292
2023-06-27,2665.5566631
2023-06-26,2654.9113537
2023-06-23,2665.3929624
2023-06-22,2674.6659138
2023-06-21,2665.4548424
2023-06-20,2692.8831986
2023-06-19,2705.6487696
2023-06-16,2709.5339044
2023-06-15,2710.3084338
2023-06-14,2714.0646552
2023-06-13,2714.934456
2023-06-12,2701.5140763
2023-06-09,2685.0498587
2023-06-08,2673.3485028
2023-06-07,2679.8029956
2023-06-06,2691.9667989
2023-06-05,2679.4831531
2023-06-02,2683.8999822
2023-06-01,2631.4050048
2023-05-31,2620.2879528
2023-05-30,2632.639776
2023-05-29,2644.0178802
2023-05-26,2637.0164457
2023-05-25,2609.2466312
2023-05-24,2594.7460162
2023-05-23,2615.952258
2023-05-22,2632.2248358
2023-05-19,2631.68507
2023-05-18,2637.3070308
2023-05-17,2602.5525828
2023-05-16,2580.2445447
2023-05-15,2593.3203113
2023-05-12,2589.7431105
2023-05-11,2579.115475
2023-05-10,2570.68295
2023-05-09,2568.6987489
2023-05-08,2569.4098488
2023-05-05,2561.4921031
2023-05-04,2524.0683468
2023-05-03,2528.5353544
2023-05-02,2548.4671519
2023-05-01,2581.862976
2023-04-28,2573.4363192
2023-04-27,2553.5091822
2023-04-26,2517.861318
2023-04-25,2542.4146514
2023-04-24,2560.334582
2023-04-21,2569.4736219
2023-04-20,2573.6766482
2023-04-19,2586.6300649
2023-04-18,2584.8853761
2023-04-17,2587.63141
2023-04-14,2568.8610675
2023-04-13,2561.755724
2023-04-12,2543.8868
2023-04-11,2563.7663913
2023-04-10,2565.81158
2023-04-07,2560.6759184
2023-04-06,2555.034075
2023-04-05,2553.474979
2023-04-04,2553.6838824
2023-04-03,2573.3117955
2023-03-31,2575.3546296
2023-03-30,2531.610795
2023-03-29,2526.430095
2023-03-28,2494.46491
2023-03-27,2503.1705734
2023-03-24,2502.5905975
2023-03-23,2490.163416
2023-03-22,2474.5435399
2023-03-21,2518.6485184
2023-03-20,2498.6303068
2023-03-17,2490.3374964
2023-03-16,2525.2106705
2023-03-15,2495.0069298
2023-03-14,2491.9419044
2023-03-13,2464.004662
2023-03-10,2496.8492878
2023-03-09,2543.6400606
2023-03-08,2584.6353843
2023-03-07,2583.491872
2023-03-06,2589.08536
2023-03-03,2594.0362632
2023-03-02,2566.698
2023-03-01,2538.0216435
2023-02-28,2566.7345178
2023-02-27,2565.8711151
2023-02-24,2566.7732693
2023-02-23,2583.6770544
2023-02-22,2576.0664128
2023-02-21,2574.0937416
2023-02-20,2605.548849
2023-02-17,2599.465788
2023-02-16,2615.8807494
2023-02-15,2633.966093
2023-02-14,2619.9560709
2023-02-13,2621.3177136
2023-02-10,2607.8833707
2023-02-09,2599.2391685
2023-02-08,2616.4422284
2023-02-07,2630.3043593
2023-02-06,2603.5420723
2023-02-03,2613.4909669
2023-02-02,2610.2833338
2023-02-01,2557.0454
2023-01-31,2563.9824
2023-01-30,2544.5621244
