Date,Price
2024-11-08,506.63
2024-11-07,509.92
2024-11-06,506.78
2024-11-05,509.53
2024-11-04,509.21
2024-11-01,510.9
2024-10-31,505.39
2024-10-30,511.51
2024-10-29,517.99
2024-10-28,520.95
2024-10-25,518.81
2024-10-24,518.98
2024-10-23,518.84
2024-10-22,520.4
2024-10-21,521.52
2024-10-18,524.99
2024-10-17,523.91
2024-10-16,519.6
2024-10-15,520.57
2024-10-14,524.76
2024-10-11,521.98
2024-10-10,519.11
2024-10-09,520.05
2024-10-08,516.64
2024-10-07,519.48
2024-10-04,518.56
2024-10-03,516.29
2024-10-02,521.14
2024-10-01,520.88
2024-09-30,522.89
2024-09-27,528.08
2024-09-26,525.61
2024-09-25,519.14
2024-09-24,519.7
2024-09-23,516.32
2024-09-20,514.26
2024-09-19,521.67
2024-09-18,514.59
2024-09-17,517.19
2024-09-16,515.11
2024-09-13,515.95
2024-09-12,512.08
2024-09-11,508.02
2024-09-10,507.95
2024-09-09,510.7
2024-09-06,506.56
2024-09-05,512.05
2024-09-04,514.82
2024-09-03,519.84
2024-09-02,524.94
2024-08-30,525.05
2024-08-29,524.57
2024-08-28,520.6
2024-08-27,518.88
2024-08-26,518.05
2024-08-23,518.13
2024-08-22,515.74
2024-08-21,513.95
2024-08-20,512.27
2024-08-19,514.59
2024-08-16,511.45
2024-08-15,509.88
2024-08-14,504.1
2024-08-13,501.66
2024-08-12,499.08
2024-08-09,499.19
2024-08-08,496.37
2024-08-07,495.96
2024-08-06,488.44
2024-08-05,487.05
2024-08-02,497.85
2024-08-01,511.83
2024-07-31,518.18
2024-07-30,514.08
2024-07-29,511.79
2024-07-26,512.83
2024-07-25,508.63
2024-07-24,512.3
2024-07-23,515.47
2024-07-22,514.79
2024-07-19,510.03
2024-07-18,514.01
2024-07-17,514.83
2024-07-16,517.3
2024-07-15,518.73
2024-07-12,524.08
2024-07-11,519.51
2024-07-10,516.42
2024-07-09,511.76
2024-07-08,516.43
2024-07-05,516.6
2024-07-04,517.54
2024-07-03,514.67
2024-07-02,510.91
2024-07-01,513.04
2024-06-28,511.42
2024-06-27,512.59
2024-06-26,514.81
2024-06-25,517.7
2024-06-24,518.87
2024-06-21,515.11
2024-06-20,518.91
2024-06-19,514.13
2024-06-18,515.01
2024-06-17,511.49
2024-06-14,511.05
2024-06-13,516.04
2024-06-12,522.89
2024-06-11,517.29
2024-06-10,522.16
2024-06-07,523.55
2024-06-06,524.68
2024-06-05,521.23
2024-06-04,517.05
2024-06-03,519.85
2024-05-31,518.17
2024-05-30,516.5
2024-05-29,513.45
2024-05-28,519.08
2024-05-27,522.21
2024-05-24,520.57
2024-05-23,521.56
2024-05-22,521.18
2024-05-21,522.95
2024-05-20,523.89
2024-05-17,522.94
2024-05-16,523.62
2024-05-15,524.71
2024-05-14,521.65
2024-05-13,520.86
2024-05-10,520.76
2024-05-09,516.77
2024-05-08,515.77
2024-05-07,514.02
2024-05-06,508.22
2024-05-03,505.53
2024-05-02,503.21
2024-05-01,504.31
2024-04-30,504.89
2024-04-29,508.34
2024-04-26,507.98
2024-04-25,502.38
2024-04-24,505.61
2024-04-23,507.79
2024-04-22,502.31
2024-04-19,499.29
2024-04-18,499.7
2024-04-17,498.52
2024-04-16,498.21
2024-04-15,505.93
2024-04-12,505.25
2024-04-11,504.55
2024-04-10,506.59
2024-04-09,505.82
2024-04-08,508.93
2024-04-05,506.55
2024-04-04,510.84
2024-04-03,510.02
2024-04-02,508.57
2024-03-28,512.67
2024-03-27,511.75
2024-03-26,511.09
2024-03-25,509.86
2024-03-22,509.64
2024-03-21,509.77
2024-03-20,505.21
2024-03-19,505.23
2024-03-18,503.94
2024-03-15,504.8
2024-03-14,506.4
2024-03-13,507.33
2024-03-12,506.52
2024-03-11,501.49
2024-03-08,503.26
2024-03-07,503.16
2024-03-06,498.21
2024-03-05,496.27
2024-03-04,497.41
2024-03-01,497.58
2024-02-29,494.61
2024-02-28,494.59
2024-02-27,496.33
2024-02-26,495.43
2024-02-23,497.25
2024-02-22,495.1
2024-02-21,491.05
2024-02-20,491.9
2024-02-19,492.39
2024-02-16,491.59
2024-02-15,488.54
2024-02-14,485.24
2024-02-13,482.83
2024-02-12,487.46
2024-02-09,484.83
2024-02-08,485.27
2024-02-07,485.63
2024-02-06,486.76
2024-02-05,483.69
2024-02-02,483.93
2024-02-01,483.86
2024-01-31,485.67
2024-01-30,485.63
2024-01-29,484.84
2024-01-26,483.84
2024-01-25,478.53
2024-01-24,477.09
2024-01-23,471.53
2024-01-22,472.86
2024-01-19,469.24
2024-01-18,470.45
2024-01-17,467.71
2024-01-16,473.06
2024-01-15,474.19
2024-01-12,476.76
2024-01-11,472.77
2024-01-10,476.42
2024-01-09,477.26
2024-01-08,478.18
2024-01-05,476.38
2024-01-04,477.68
2024-01-03,474.4
2024-01-02,478.51
