Exchange Date,ACWI.World.Equities,IGOV.World.Debt,VWOB.EmergingMarkets.Debt,VEU.World.Equities,LQD.US.Debt,SPY.US.Equities,REET.World.Alternative,PSP.World.PrivateEquity
2024-10-10,119.41,40.69,65.2,62.13,110.83,576.13,25.72,67.12
2024-10-09,119.53,40.6,65.27,62.18,110.95,577.14,25.89,67.3
2024-10-08,119.04,40.99,65.3,62.28,111.17,573.17,25.82,67.2759
2024-10-07,118.73,40.9,65.28,62.81,110.95,567.8,25.84,67.25
2024-10-04,119.48,41.05,65.54,62.93,111.52,572.98,26.15,68.1424
2024-10-03,118.48,41.24,65.79,62.43,112.13,567.82,26.18,67.03
2024-10-02,119.07,41.53,66.06,63.13,112.86,568.86,26.4,67.29
2024-10-01,118.79,41.79,66.15,62.86,113.11,568.62,26.56,67.4
2024-09-30,119.55,41.82,66.37,63.0,112.98,573.76,26.69,68.22
2024-09-27,119.56,42.09,66.26,63.38,113.26,571.47,26.64,68.53
2024-09-26,119.84,41.88,66.13,63.69,112.81,572.3,26.61,68.57
2024-09-25,118.52,41.72,66.04,62.09,112.81,570.04,26.7,67.22
2024-09-24,119.02,41.99,66.25,62.57,113.48,571.3,27.1,68.1551
2024-09-23,118.21,41.77,66.17,61.71,113.29,569.67,27.08,68.0
2024-09-20,117.76,41.72,66.3,61.42,113.45,568.25,26.83,68.37
2024-09-19,118.23,41.9,66.49,62.06,113.35,570.98,26.98,69.01
2024-09-18,116.16,41.69,66.2,60.89,113.25,561.4,26.89,67.3
2024-09-17,116.49,41.82,66.39,61.07,113.72,563.07,26.97,67.58
2024-09-16,116.61,42.0,66.4,61.31,113.71,562.84,27.17,67.1322
2024-09-13,116.21,41.77,66.0,60.92,113.21,562.01,27.01,66.09
2024-09-12,115.63,41.66,65.7,60.73,112.86,559.09,26.78,65.28
2024-09-11,114.63,41.54,65.61,60.2,112.94,554.42,26.59,64.02
2024-09-10,113.63,41.45,65.42,59.83,112.89,548.79,26.6,63.42
2024-09-09,113.47,41.4,65.37,60.07,112.58,546.41,26.3,63.42
2024-09-06,112.31,41.45,65.17,59.49,112.33,540.36,26.03,62.5
2024-09-05,114.25,41.54,65.26,60.55,112.38,549.61,26.1,63.44
2024-09-04,114.39,41.49,65.07,60.49,111.83,550.95,26.12,63.17
2024-09-03,114.74,41.07,64.8,60.61,111.14,552.08,26.04,63.13
2024-09-02,,,,,,,,
2024-08-30,116.98,41.06,65.35,61.68,111.21,563.68,26.08,65.36
2024-08-29,116.16,41.26,65.27,61.51,111.52,558.35,25.92,64.9321
2024-08-28,116.06,41.48,65.33,61.35,111.71,558.3,26.02,64.94
2024-08-27,116.7,41.51,65.46,61.66,111.94,561.56,26.08,65.52
2024-08-26,116.47,41.61,65.51,61.42,112.03,560.79,25.99,65.41
2024-08-23,116.9,41.64,65.61,61.76,112.17,562.13,25.97,65.52
2024-08-22,115.34,41.2,64.99,60.69,111.53,556.22,25.51,64.25
2024-08-21,116.26,41.62,65.48,61.17,111.99,560.62,25.44,64.3179
2024-08-20,115.66,41.34,65.31,60.74,111.74,558.7,25.33,63.7896
2024-08-19,115.95,41.1,65.18,61.01,111.45,559.61,25.38,64.185
2024-08-16,114.8,40.87,64.95,60.33,111.19,554.31,25.13,63.63
2024-08-15,114.4,40.69,64.7,59.93,110.86,553.07,25.16,63.33
2024-08-14,112.61,40.93,64.66,59.21,111.2,543.75,25.13,62.4953
2024-08-13,112.31,40.96,64.56,59.11,110.71,542.04,25.03,61.907
2024-08-12,110.61,40.55,64.22,58.28,109.94,533.27,24.7,60.7867
2024-08-09,110.53,40.55,64.17,58.23,109.71,532.99,24.92,60.9683
2024-08-08,110.04,40.52,63.91,58.0,109.15,530.65,24.77,60.367
2024-08-07,107.77,40.42,63.59,56.96,109.1,518.66,24.47,59.57
2024-08-06,107.97,40.59,63.42,56.62,109.6,522.15,24.57,59.26
2024-08-05,107.24,40.82,63.69,56.47,110.32,517.38,24.12,58.86
2024-08-02,110.13,40.46,64.29,57.78,110.6,532.9,24.77,61.1009
2024-08-01,112.1,40.03,63.83,58.74,109.53,543.01,24.81,63.4495
2024-07-31,114.13,39.92,64.16,60.13,109.56,550.81,24.71,65.28
2024-07-30,112.29,39.76,63.84,59.16,108.93,542.0,24.64,64.8056
2024-07-29,112.67,39.67,63.78,59.13,108.84,544.76,24.54,64.4404
2024-07-26,112.77,39.68,63.7,59.35,108.61,544.44,24.42,64.6264
2024-07-25,111.45,39.66,63.3,58.62,108.01,538.41,24.1,63.5587
2024-07-24,112.02,39.38,63.25,58.93,107.58,541.23,24.24,63.3
2024-07-23,114.27,39.64,63.65,59.69,108.24,553.78,24.63,64.41
2024-07-22,114.66,39.42,63.61,60.08,108.32,554.65,24.71,64.7769
2024-07-19,113.49,39.55,63.41,59.5,108.38,548.99,24.45,63.8
2024-07-18,114.24,39.68,63.53,59.93,108.78,552.66,24.52,63.98
2024-07-17,115.22,39.88,63.87,60.49,109.25,556.94,24.77,64.17
2024-07-16,116.69,39.69,64.07,61.0,109.2,564.86,24.62,64.6653
2024-07-15,116.07,39.61,63.85,60.66,108.57,561.53,24.35,63.8364
2024-07-12,116.19,39.72,64.1,61.16,109.17,559.99,24.25,63.9177
2024-07-11,115.35,39.47,63.94,60.63,108.77,556.48,24.08,63.09
2024-07-10,115.8,39.17,63.56,60.37,108.19,561.32,23.54,62.3788
2024-07-09,114.63,38.99,63.32,59.69,107.93,555.82,23.32,61.11
2024-07-08,114.66,39.23,63.52,59.74,108.13,555.28,23.32,61.568
2024-07-05,114.66,39.3,63.54,59.93,108.14,554.64,23.34,62.11
2024-07-04,,,,,,,,
2024-07-03,114.01,38.93,63.15,59.65,107.58,551.46,23.23,61.68
2024-07-02,113.19,38.52,62.65,58.9,106.79,549.01,23.21,61.51
2024-07-01,112.59,38.6,62.4,58.73,106.11,545.34,23.07,60.9
2024-06-28,112.4,38.61,62.91,58.64,107.12,544.22,23.25,61.09
2024-06-27,112.62,38.67,63.36,58.58,107.81,546.37,23.06,60.91
2024-06-26,112.46,38.65,63.31,58.5,107.6,545.51,22.92,60.6986
2024-06-25,112.59,38.985,63.61,58.86,108.19,544.83,22.99,61.0
2024-06-24,112.25,39.02,63.58,58.81,108.23,542.74,23.28,61.7155
2024-06-21,112.15,38.97,63.55,58.41,108.12,544.51,23.05,64.4753
